L,lambda,d[0],d[1],Z[0],Z[1],
8,0.43,3.8028498e+654,3.8028498e+654,(7.605699526311624611555648273243339432100717458133802504990918521518179426421598245445216755195944040601537513525325588506019838958443626436651602089715504993092837619673211157419080853908119188401335537659008999336219299768581700201240329542254743467208976820392847686295020957119031697260481978478751800351714e+654 +0),(4.264517032110046209822728654387429467438976703296817732523464128249209428948908204797919962127103164621367313551925083764295228628337537239096228807555743103910455438325021215472537723354452497838909863266762767955115085563366502222256190951543766558349371494536592568752871106182037469152549741133546981010081e+628 3.473459599945140619747939822290036800388467377575747553424077145156883187334918048681723260275841817331746239921417166856689656726387161501177511191402602037004181751408311166735968136743662436610694913998798463672192079439047770502272757553226314648268821987579597734856724585334645615393819966849353648794257e+346),
8,0.48,1.3178865e+694,1.3178865e+694,(2.635773085870468749627661809696182023431989413875552275310655843319240352673278983040200774130933897178865990311273079673585438094223533718710798269685996444924354218431101015573904117557619058836869590670338051988786725692814894834873554830382823294984790729792079322166628075087990676534678964915208156444779e+694 +0),(1.860012387417825882349975472089841465321245375339297656602378520417927904441689665643809849290399979753428114564739077040582614548838056755400795297434757980514635729809661455350790834791261103096380221668627302979024731487938939731993196770488744995168938030875504636822435516825908806775916554876470726894922e+671 1.203735606004624263706591998143963483367688908117437915583994657968563145695521065519362224478241649955193623105509642498397035794626295792775949199823387883622355107246772691162418165917441192643055842791446646207088060891116610141803274268840674205248835141931888557241028088973686428467653646261384183981675e+386),
8,0.53,9.8863105e+725,9.8863105e+725,(1.977262109105314210736163695581308462042694286535336822636800128900748986725674791904579971418125993968843001370230369729306416890023893159997478946273111945695923929155100171108828152311986273468289309998382807986007393088505142440071376773559882123803039179679749337881099709014971510571593650730066180636579e+726 +0),(3.162139228382790378165392466686597142622364783939784697889835419440092641953428796258321454818516483108657806618214397726255018219891013319786915212589583454159447393501521657788645065755428683259109168529759118592525376550399004962132827336017264258070120245621723226153940146648091831435950798519133715045849e+705 9.029991298920310422604875131800209902081688704447658881304149296899915902967165723121544055183454800005778054184322779449576160750468731150462222634280814530965614500622012796067021374165971470676676691705521672279547254505770252989481686226485812156573951879244385191431440765005901205878254013570814884561517e+417),
8,0.58,2.1617051e+750,2.1617051e+750,(4.323410110682523085139816144890474832506197122243281335063221115378267637902410270177074067207418184796228271719448931106412616363327781238912462549219536914852474482197096893341251781602625301106315457031412368251219725900163054349579765294503595851156781469183910991947612583157561080680767471217239121187295e+750 +0),(5.326825119330584841661977232708230725245821659545803227497358895277192853714204411563004417467272377473912511347943789114337720346860292835787602351567254688069378839210576785905356789119987236796605180495198112004134149379009253715853084604630342454974965162564729837557877052545637035648925390844569926843697e+731 1.974465373171619658888170811546828363150424991868477242531378786643777969091976750050132498917655346708826892986362966006126343383916638274420851802889591608151721673503076852318704631840924153702562936855289506293127572344440926381205991754991870232754247075771641656764520336328929802415090479229222563632873e+442),
8,0.63,1.4187208e+767,1.4187208e+767,(2.837441557390296065538075087622048659406820966989271440433950670699274855133663065061898351995482773708405693848460835098117989406629599438135010296628154901516885710197796451354204793926934759250819525461216693415290699042408262473241151970719291370378223169481343719176600656540516912986057575768317599568121e+767 +0),(1.251170577909675608497395668372844813252765539366292567686301685265038799994209513958645132876767134932934352556815394577153142507838743964094983987960944504287025628030331495446714338658672558502201690318282212452082261650034275044816608264430272677459434967103967626432028628877878117723839400315655448750603e+750 1.295835916565605345312594365729856420798467213385038215413124601166154472895995698782546630531793413873869561239248084064989586161761234181931539127741150544812731498565645259385695662320907279849990594346056058468255431219020841518240362110815529134278917886553223156445523393872416798100026637746718709798305e+459),
8,0.68,2.2770983e+776,2.2770983e+776,(4.554196607548899775893211037053927472318625129277362349506481651182440362067157922652835469321598660230780005680432266237252628784518669056568159183292505361294352231405473845604128957798656614690668275793761474499567571887850791509086547073215392098066946779000609780933329399215389707750888644250360570412641e+776 +0),(4.049299763013157201916105950326170181183558088565938644123709063441188107759273121011618890748477142832360535762370388081883232293743493139269624660794957119451754075817684887189305600317234050242916584588171112968201536363214645833169810759000980053683783843720051804605335043152608427511448035412388244381488e+760 2.079863643285371077403580604880379978904166108671534479047653603379393929881937636079419379246121328403308434382430571205205788863184728185726059133864775843374852881641387481857196170564619756589054463582582528351815300776848254325880523768526878087870340176563779084960317041948966147405994518984849788584519e+468),
8,0.73,5.8150089e+777,5.8150089e+777,(1.163001786061625972828874765434212979402965896032016791235098531734546410802648014478737049582984649459926606108022522949780233021939088811741510666841035837575658024016958105913977011952702007595291923593023030486318847977550551596220067932808736052862198665570194319700301843778681208778097241869248953911701e+778 +0),(1.337674620260924577476196809810768137627232794147092950396499031972033938672157434201007215661679357004176404332918274200064228506749686020082649175013399803443465298063000479151777725735797124576619131497683178277552861087935665809712777025921038851956418137310145125069887512143094702734555221410413962722258e+763 5.311332250996922355149154386318904725360199931719657578523301967496392084418947678636627283147748745066088875786192146367912370894826114629120247680926995316611729958512312406999107867497262620105294120998109921758038315988528838800245194755356928687965887292423812220218061934079901086510120891661675780960160e+469),
8,0.78,1.2163141e+771,1.2163141e+771,(2.432628176414219487498123957601823804576021307036343942743257248356243425185147000629440783985031732148281843954190853039429615324526349903790328453613212383962408399741465021217266071262958937627645855243490160857480936314175810806183293917121478652997817381235422125623066452490562385562553123706056285186615e+771 +0),(2.544858873303930948818097482245181987348317595735121695126836426631177343186365833366849323025230013530971506091639921214225952917933321761158157837174717061575071641394779969693092101873729054373888057481352942834000181354568682495893503088027266598437562094337039931049864290084964356538846227956669644560508e+757 1.110961018540337296874001632037285378277007683950568100041545202886500990897302416147868498139568990820784677623138480624748010937150669017914128134318936496305919402322916905662761246981257312585000272251810480295846373149681386643885268298609807430183009172874014259941243967163255226880373078724005450855560e+463),
8,0.83,8.2759798e+755,8.2759798e+755,(1.655195959488435717580173021184019351141786184101757617356726718512662523717742261569035275379803017509043185944019709018303576661619749869267203548333590880570108642096047196755147781408943602604454603871933388975178662496583373338896719877780660590882871760266516023092606624311347782554872681386328179838017e+756 +0),(1.183649948533351857465752094938255272481242980570726244929589383935096637821158295992805113844135942402441987468519283290203249330852817330006615660125303175765296007897774952088144750638693430957598618479650637235642648579404502642344111945739179406340161484229990840039311976275335628714683346973277940308830e+743 7.559142029455375176477251377320036117962686185364366193119929503379808618295318779386228200874781315881659542280891387970737713039304713225648612302923726604933737240804605135629840539066831599822264225897495752377571506295160116832208098485474441293931521469072091335631126099917974445994828145820087930494060e+447),
8,0.88,5.3731259e+731,5.3731259e+731,(1.074625175462838768830439087565235214000249821531444368258551685168026629791824270449294596732250016830873413226692144891089428660860976555183001526965369914261948580927358866856057932235328944801835347096729688341146637078053494489878772062943275486676653671223121413009410104333844009928003430788326099128967e+732 +0),(4.148213144083552299232806707288952138791493190976088407589774835192502784222471286836222982822635715649269250845267677228604554534817888107925657786462072201183147259338460896604277137083168844292271251570077773458925556184891475413725125013790880117482612123410737997097942581610339539070143597376481323424340e+719 4.907723634281987386421980041344000962040264092677002189772551891262746665709230213012032264575189037973762582677754398507815636026474071264290266839106916740807693454842425531679635808963715855306574916503184316331139692466091563006795541632633429481758804300583684749248326489190663441453397995205709977172916e+423),
