L,lambda,d[0],d[1],Z[0],Z[1],
10,0.43,1.874609e+1028,1.874609e+1028,(3.749217960588013522193870022117606643065603131370489262990228895834603476560134525744943794489905923489888246873961436990356310391548956407023697886899306301163696483998694183361636293536965165278021148352933890300423746056444258602937870853946312518082741271744009636795325444375651086731797498117632875045314e+1028 +0),(1.524408627507055180772207292957803709358097300188016119567853070487715719499525408038619227660984836652940696166012938101491569665053140096207098196042882740423936099494824378109286830496940431896307728173892694251492414683083289844756298138206669263236820571363544353523990640792122256127145728512918947317583e+1002 1.712236602621422356419171518182150370118750831962070953473188320130528234676279948941975257623593944372169538079784434575367593455501711534953655421562675422788659916374871097453179926476535714817272718059785801172966981163013414459488227244402899184286089207483646191395243427654471557779816432349203261135636e+720),
10,0.48,3.8482993e+1089,3.8482993e+1089,(7.696598627503662902369440218726976271149045508251011157700141159328545698891190197898708184523939725299636033950308835700813683199871988879474998532664737640284343061256767132579420831313982633048757865928053119103905285272427321808619465759779557661075756608749348670242737307303714278732881092283576770155041e+1089 +0),(3.573351886919462549977850922402387665640967584409525725494302199090649223185410238728621830179099340875812730946886637695185530651912581272607012403074381206703926463869494379530860189394627321603938009074064372523726952201976314278803367710769534021176206972121341152125505864328650140910772245736390387440496e+1066 3.514972462051985536790901139688906071360965915686877305454734945807297797968733561454442086398136533655985222497175963216534273284296683176622261404106147054105605862557400205794884372961894050408614136472632415163676662724230641793413672678978437325646692034760446440660321981773440721402097556411979712010506e+781),
10,0.53,1.584227e+1139,1.584227e+1139,(3.168454007998813016738984416099385405119854943147488806363549865003452887069628954598842833023322562854460417049672452921741732281548127903238019638098190189945851161471358645623147991153484735898145329521249392753968073065875656653372080302957134342353946657123777699664304099303654753375682060764955167537553e+1139 +0),(3.192703011913954368860849269602207912698228046228994100707551017215688444930585517477556741799253548495863811126571395564393888114552852942474009417532187184891908471446731329669964243328746827416826360979157138382323024603614739620819229760905494114344035671720061076384402826191167922937640637022825168672727e+1118 1.447006544630778723976753404232978010820906078430300212918152990230128151518521165348586255550204236870020169298708212953264966427027221541777188098614212867188999481902193424507360361113125267664872858250781169967522788805145779965876877174609145374205497521972006950116060226948252861163249153323278517763743e+831),
10,0.58,1.7470795e+1177,1.7470795e+1177,(3.494158926662547575727391489947890740599903356170234201092444303850441292890778137844927706890060756289263005620419426158976542392053900053761251099333643277349646430850804454145233667014240332431868402074001982020451688057834215395069131131809096622664831718722639714222647162948053207204540513898952297607943e+1177 +0),(2.671784208157893665676144586871702270540528673063017850277073361623921873567586543762647834027885205420212375922104496065901061052890173230797415226283635591950228843416408397954212557651249350193895750188388010967731455318812102164194612904682068754071552157095232601219056332292308856114511903329637289212610e+1158 1.595753267081242626942457197390497238132855319453580272986328699030756440657132193889719829844842349427827965687541443103407836598284168954735189266440017981313624867826423552108094177791467719226809651598257929770918899094883757031112153749880117297962106905910952579950614239425439086070327538096243315032182e+869),
10,0.63,4.8124926e+1203,4.8124926e+1203,(9.624985162209953381969825673905961660419432977760898243688335043215282620475318788323973455942647341127843862298620501071834025509781089850997296384719795512736285170886326530539953885416514840661886256725857721562462052154388423703807217913648353616279571980385203032968976720923783433151084310948743792197106e+1203 +0),(2.634330049586734288832115793351427550843357171370611185768107914277190355911739225651695553317264256042273198695216537844348260783606955223697700905210845988750595562520865213717122094927778362472211899838244536119011716905146372675132856156143412265436968187928090505480735497196271006185001680650962952076980e+1186 4.395650524366758436484791839204471094313334117672618922525493576581332889754236114642042281563078444854325025919226585497316371892462162737561799235666794485453225167170845653194596488631670643834267633863050540146088835569974297216230681107301120013444228307031745209899930144276401221437652701752092902310750e+895),
10,0.68,2.2192491e+1218,2.2192491e+1218,(4.438498272650206876374841884499219095023020829394482362061469968604624728636543774635130542797092603389517034302630456472662850322359526222457122617140479546978111174141205873809134773060429557029926117165223500238348959499927269486492405003955607906654447799964944255007484769380901053693930443712425061886627e+1218 +0),(2.471191901320047097422766416208690984679255360517935900577145522894646994715781938701349694313406970835506238750192936945825053422726114776793506141495857095348174013573095409539181607928669236723056070661414559157547146777335349733142728959352295870079661982163819356115137394000336368982413218000107245365474e+1202 2.027025177781801507924109094871701044885846536918492743755348708967692803413841105377240158974530346738174522840729578339783297349723160524212050765391060296554567972461161806815787552134420693956950726378952918307613837947900473685494709420985292097547300737459849085025624676104383544764680328069668484118596e+910),
10,0.73,8.2619375e+1220,8.2619375e+1220,(1.652387506546822022330630561129905473337115468829058206416197434237137375348010885371818006016261366580149406225573410262087536046747903169653431813479647879134590839728143464452682093187657853718076193601637122466410102421299400354049892746796949404798222200645986727841039995350564460534152569809335518655369e+1221 +0),(1.206772396880763582096973760627739606956391423538502269953602424558198488224248121907826733288050471946516306742965220393083249243005285258724319997856043883416808646709294590963809708303130123253171689430788988964646546431179120018440383926615122513540787160549185314129968612034274876930269817261425478837268e+1206 7.546316058883058846312109976116218839855643998195986549049801340052974791597383779768640656084932787235859073790738106495933732521217070044980068434404216604957471135717834630803955347539396918965291589443772053664152762530399054134882399381335580838577927375997426070065823256801073776540703295584677016321574e+912),
10,0.78,8.4300967e+1210,8.4300967e+1210,(1.686019347251419173266833183186672965159542320255808811805091722894969069148758185294693027827668657464446032381156342147962768549637797551064182788612684004405365304537103511017350107623098923167042308850649824134942885397202982198190549932608061959299751210671818653566605318818392095396797583579189701324890e+1211 +0),(1.139317980745354177966098038283236693409056039551288559173553307642934724176019585096698345830313292081921240173417584546712262722910288191654613450674068212441753209232674827197473841843275969231189038893663685570095956292468711996833139944751372039236733521612465313935147026310490925007042424617578906501673e+1197 7.699909873041826302164592117706564443864825759738773713768823541389677115699378424512561221705078335539142519665118086562405160146043606084359328175292407266867312881022933395837354429668677325620825257253941360091951648228353142177770251286071766548848498034076806679137518903069092519005964978990006374711510e+902),
10,0.83,5.3891271e+1187,5.3891271e+1187,(1.077825410627647158446943778835402751753436309288681541956019422519829613550648666661349229121534373300254479258734087985694986279553754203670622704905051747416052141404898370347625679545141480332934824654574863068716645744030749445350567462539248445701916572502096502738465390270878747866249990858935520858320e+1188 +0),(5.076915832340420967816422637192112107260139308055469229904735880342045141139468222220444436636938832683512124792516548589530491319121867671870191937508385166932660757427942677186875277691557716704501589640155036825161416249558071091676884634846154434119316356011530624746555727155745972318025748301098378473525e+1174 4.922338841624974386749494612836047233801855459773845741002770144069055565162661903539090717759688099683467057024336465345212650374474529879443986634773011508002154852158636040407377300805658579287538660665924184924262045827767280851819409636758654635970883907524081752946881293458350970692326053762907050556985e+879),
10,0.88,3.0936921e+1150,3.0936921e+1150,(6.187384115640405217219528561862888803769388100744592456778316619712090305658101424094527043707774847774606000479840152516560633547549156590943108791360944806558721421366256989826424628075404232594133691760587762456756649374265322976672233887034773588697767096727094045544027133500580265206008552880718163523857e+1150 +0),(1.607699541636819867579238258961317726318084684153591161177878629794695864735623373871710278901259271151937172151529887736116749422870612479364141511497457696984972798786331991080712471188993810787386289996931733040058843855468759045429428159074509436583245344628387648051001259394233540601473403980838151287240e+1138 2.825726769860443906425353499696920255632824837865291009598165773924873399107783379701922626484476069542930095662361051937469146008968845252358162661340902665957569804051839475314309127027798871346422297403937613551723243798039760020165046515408459184591625998714993255105393689438448057240819165185362981429058e+842),
