L,lambda,d[0],d[1],Z[0],Z[1],
6,0.43,1.2168907e+364,1.2168907e+364,(2.433781358088283196898484522422573107976017488965181840443855428318706120397809759926855392114547678108607718176970822220412257512746779276683570634379893761132534257565803327319689734428393542045400246645074807324864352645947337044646090129668429654954116427384042466050963911731338702290881550029521228724916e+364 +0),(1.825141715908120889727997893669329920796402270072031305696865554560374806254437572213246058438500896250503437641756367911303723328549915737841732941164974427151856387211643497453316896514850971276936593262421838853819933960378994259630456571305135032003391856660521193028971535499190129803860294885155077448900e+338 1.111487667002124252513306558611845216498638644011535940643284810136310681693794433773619389213133347506269362153221629319608737378107660195724817067464576577007889305941380004089196040259064640965632904382051176731469105575000097327640472965490236608880605997252742829792474522043725929842132757291806224591431e+56),
6,0.48,4.8435726e+386,4.8435726e+386,(9.687145150814736894932704984891624775818832874985713831988733324587937650037319604128704758965709098377852521649070663138995484173671841824267366857524370955598285175532252204769811676433966569124872899388392498065717006218532107214342252823522630294933830010071979666875544918868579313800455870171383253621513e+386 +0),(1.186512414177161047355426869797426468106189509612888107952759227666399437118589988913627265862749398116625520201493848434848208212560332247862450752916030759578157607194493703978281144495080800641080334777905324421940676053318736003743616943157904128970718666908698625863455990262068292942488292325082353439493e+364 4.424038473220750482625321297539108634723212022512842801249720598423906800873550034058082302782154203316075528359653717309745658431547028979349341608106509633215522121263798176730091095147696096893373340355702728189332205621542391882876979795992241449445748676509408081653858248915394268705993286912692112182595e+78),
6,0.53,5.6783062e+404,5.6783062e+404,(1.135661230894707496453524578125840998942599267141067674356968586540072604220427470745831767500823030169317831098170600072303682980230754148967258377485945973588100156274426697330284628610924737233329292117226060987630909340801187801764530610329422282880074247403722100103945019070441124659456240448973693340563e+405 +0),(3.556413437849271350588778528995571567178820317651791844133124175552435934734709902544678246655148629411617399052691021983371020294227572710772166733294835878806060027149936710084916329507393484701832433404316130550676008876364860659329086982629051323016148899660000744795351579836336147542190413303636123319618e+384 5.186470213673694233269703700822090299868562875759360625971596820245920509188103291573181296593114435585875853247083407507599323092351106619171614340577234186770697291696184888335083963859952468576255075886444438095319949471295080386625182604266183721962215274367877059321910397377883406870716289712399508533082e+96),
6,0.58,2.6733841e+418,2.6733841e+418,(5.346768164299784853813412183662162011600958793850373212946152182373699805445958325606944832068548419181824938247214679799304259077736782649273371876592613823919428008332309036580424053818479660571956352995466536151754513619043923229412850795479957503402105130970583135386989009434421196103956469266960771402487e+418 +0),(1.355402549488707209176360934908343655714410370707866881544655802842995727080836302595805355162485349877202510158789414068062330495694122938664740505215868257177746030709818112791536769556991923293476783387412794417049628129976494022616048732243513694547063965318500112856768498794481690792953480357714391600645e+400 2.441824469231235836248399370914859160210071646033510139090215856297520448798201768866446127937968353016370872128208071666455099858267539384895856672689856620210888213216316189742452810545210775997620156509159780141474341280517449076200750092293180897752170819504698205262493168182124322430783838244560121432161e+110),
6,0.63,5.6366685e+427,5.6366685e+427,(1.127333706887864651423358866973682517438390111109053243739667031432364831988513419105729446460374312463083382629340398229715857140073960641251568736235925496500378576635868507772363700403275688572531567096302275003496899115381415275910735339623229879841737183615070506487579345957215935103364526974665271690684e+428 +0),(1.034374649814940519088437814966576167362615109832935319763841359610857589448716340926721549523868985713370844892951577208197843256377164332318349389429297459054343282566106035083913413497666383097518307612623485959448560648318603532027634295358262095521076281979358672239733232238916595401185402167146600495365e+411 5.148439105416950833835848001885070638187688079440053115193599575446850581327676730315542389580655909143208007969671209477459551738869148636573711542439147752929962315653688119797818887770873640140326878122660824027279598516461778140622310792642342209679523702173505619045001759618692763985829309573176725591756e+119),
6,0.68,5.0527479e+432,5.0527479e+432,(1.010549574173682986667709675122941825393200840715887997921114840426705973237246016351469314749838223398231007731134365426429541158806881001507614005359845716731646683428414587604022675938299925965792484925387447600922633464690897716602009434735788638381113283338904961769283420308492759937625990109491997683774e+433 +0),(1.850639940505846778504643989602103955348682485875355803679476432722831790359863860017364583129513135992135823019908269232147256854963843870053679190681548913251718678952357486342949561503616355263830906819449708554158689090328616522214312038890036041373310815701745314098666788647621304397948746392528508704523e+417 4.615095702230920252478804885113185718205073302037559702604552500212859935726499065163781433069768811957595767459519438174841124091205789458269556429181250537573219806968276396866372715503266891478838024759207767552652071065925254757835314475594971470946876271157140741303488455678881345783398435903459768750890e+124),
6,0.73,1.5819332e+433,1.5819332e+433,(3.163866402964639286658182335939453269031000253337998453121393745795140749545383550465559690978767436336796087693175603434965210735631980810327193120083810450182558624772678131813005321788978084411019752203390472899113412467479286176338658390937673879336126080114594697341573565851551187726875152363197099007518e+433 +0),(7.325169052270849842402537025922629228527955634965917102335660750571933830775556411705172522177158223442163092971110470984215890589919563691167565720875112402582783035446104361344473678729036711620575358827424996949272608922488897435545868771969153344966807428946394838578467323637911741453828202316090393365224e+418 1.444911423637422780289698755350393479047941380197104460651895542846980680550359635952858844773110829050537490140477584239511770672994259577919013051731706561905332362775946246544171537691011950226451863252508214038969386560988515947493187175801373750332191925615945724624449498004090379423323987088216790999609e+125),
6,0.78,1.2314162e+429,1.2314162e+429,(2.462832417110485643472512329421701612119762943633354038235327441673160803292974278619556226732944163959507429670428377865901301185661967521969289438591754438142798813830500503122461159056620715498429197082320801042777006765551623684474779114507829401075090215752106188083557017027537898744908397644328124654040e+429 +0),(5.027571866138384148781537626381054918592515713321464578330427505769577595047058891798721388477905780250659545047887140544798791543472821303302523278660489283106940868286247601789335652878589741896178479182082374289081075617548889614267342988579159452104519196466786962812259614144167047456579816851744316528553e+415 1.124755043592532684373890023861764607858291543925927781992458750349011863358892556722389265792871191175746921384432365490421855515571756861263975173599767219244065777470651225909680109995963174960695890748757003128547726486236574250452740750828742241056830795984282602322884986436446136810029228948268628407841e+121),
6,0.83,1.4550985e+420,1.4550985e+420,(2.910197015149553882686953187651342940485480770156770448258535180966444662726097334421617993069007728441889070653723028820563270714687241737951665290030487137643798706268188346358539988761374381752364416452675664820962312613349223607195994453511475216066916042795088763895593611017319607873899445326398043766488e+420 +0),(3.913626533848094793650065965448250414264177681682092366512060266067959389033512875129060883826369062066960425828785877146340291322393901407738465586263131611867392447468967699547159480328998088906431777743394711304513839331961176611709481127654357176138447252084294086685717174210120126313653537667440423536900e+407 1.329062727896592917046358477997341439674777428877112904455492226347432739732123624794169336460842316859433700453988156057086240280426965681152021035145024581900367121871323741070189661191518959768711779440248806354378747830337530628137699850688782166170977361970801309116026227801642627831079458455821190455966e+112),
6,0.88,1.3371971e+406,1.3371971e+406,(2.674394291759566830453544459815846381834097202484351208015984737873182100838069882722227290541749488519953000345551537483074674543784452572775302917392517304331129722543705178582809660850715490767768860713431103399746953231568817691836842605842701040044803738801953222432238535920826450948575941175102011945805e+406 +0),(1.861561603528923528822634933296848103368781061154849331867548165834689329917869791402651118357284803497664975780501234750805311401395577814468328253016360731832395330892577206586833704523506982305668375444143048103175455718047700642276513513276105826566857500769411943323230336152137646451686268533830917731813e+394 1.221373588926036749725890777907045143388327134526876971420346474130143571951274625186025020366626772576932530939819035765885174580493974613627967589724363341480075484322589895648909663063631636690614914111553321763085387167024954349575893597448141464439008815867238946726694839665031032624979949808623662949254e+98),
6,0.93,3.9649843e+386,3.9649843e+386,(7.929968673523090756469084525038543836439141439198095761855971114807056880836303023052996134103368916933554241717919104510896534481490717672565680452561721708466903009630354798920872031575297037360807738255715093159920022288270457318819657276354888358693913103852367968551544158146993728585692194379967927237333e+386 +0),(2.329992842891958144245343697392577524185717427962957163452418655255712296066277134148754375887679652166194318908318340205605056562784997510004685224990413061472959588146093570448398326280222275396049613922549291804621445035983746182735267520319614409683499454255336321237569594764574554211693699922879138639971e+375 3.621550617526132937898276720474217447956925078723721508633076549849263457482402329130251270919738844719421042677570119304817027721291083794618219946112934197214594920714978896070649927307344572069785620679498401985314813700952069968317963176179027853583312491598311775723864395551897809729570472824697565492034e+78),
6,0.98,1.2073276e+361,1.2073276e+361,(2.414655299790842036825025284106982875887896129117579753634120092558453852710149198146752473538346161620966059481648745830081138280443873331537810267756581534034586888282012448630435339934102409813401400253130445377200229399547330947174374087781320728532680045912036943248780079110169118426177345399266306127366e+361 +0),(2.511404446286816365946921594213143470853690303163760163812342208023923876254918019163721291143350064718991651077567591627870451008573482354899262776724716096605503536529954928737081090985558997691275942403908460787268556232982116234076381112210556748023726645794911319404903560843349823405690309509381830707151e+350 1.102752955532158133192863803264955405995277394687686816343176682291947146511638574915534939593745194475331679712973080738756966073698430264139519450164921518507965456590525983157264636709910845861197057196004877283378860757050085347299394645232476736441516127412934324545231885884815242779242161061245081317823e+53),
6,1.03,8.4967612e+328,8.4967612e+328,(1.699352234820865251115506997076425133155027783408898033511850031978382748738561619092969026763535094345046509369815531671718319936987569997417661630060993463549572780731563453042578109010077128996801524318152439528617740149508386272153486904501501996465717061704428722295866611825275652610113267675118089453683e+329 +0),(5.358766937219378245213474681281872343326293507634172564244696635386288122693696889181396419233360522551537474022210145010025174799007028194975528131722358990950761928026133585763872132240226588846485738938050644931347576529295180400497048297670525964427386987856156717781169212252828439231324240199023466187336e+318 7.760800059377448303044301460314089345215018295196594416223835602618039606151433194618805219231994907551403649083456806151205153712529871235568807610953293072514865660195255709699065877531467893577729911289529348228566794335893223749023146819477821817365989482292345308973969531132485645886263367458382263589477e+20),
6,1.08,1.9435462e+289,1.9435462e+289,(3.887092391424432568178690085995198972553154792071200125033258852670020504252097194081921926557355902984250348600333145885109904744656394246171912766076865800950896369083972008084435689240295616239838365600612377581150888905089285929315907711956956172819923266963504968409461161057786486955166074566832638803289e+289 +0),(3.235789643598989347459729911170785675864918894295892753494453552113258448707462346971590348228940891707046071996802690292314504087231156736338431471882303616925326724589529831213022061113439905227186859828506836841653543088962676247619953155807300277867319420634130127459666110778168597179608719928314668201619e+279 1.775202706211901196406120817227938988718690310430546732921981882489074506474934536737117574881584273066490437999318472105876467667631591459071058403785703204403621998108648608940674666206713998137860527117261317404061378526372300738675424881471112255692332195779393408847829075199076693757994293499365905033604e-19),
6,1.13,1.0468859e+241,1.0468859e+241,(2.093771733669016058861424689968218656713233055716447930880852180382294667122295201872212795604415060883040347044433157122925789643524914807185509126101897819170535856726516307661283309019194134528180219172505885164497474683298365994139497413863315660858914095066931701662792773400020575542796633507693450425844e+241 +0),(4.058325700796074942882451625570949140430618121513922762120282463969608253627496238114774625161596403199057904772199365622533009131349862701553800545162973408505471701136514233399356142652563892529947450353072698497135098013652555520212534500939520098861211737696843909632204813908154812966688294618472729471990e+231 9.562081044402809105769595837677215545236893429310841456870502006490217851134626820199917729726127628677574764715077150899408247886602914478706893629919231273805978475952627513039960121892911325898399817239267911551020083237483138921919367508336811532907312286053211269994782289577124321235788489215105088152769e-68),
6,1.18,3.6293219e+182,3.6293219e+182,(7.258643722233770372086278567901992740372777138269683660026987357339457731910610908153937974882180198698450109340749399388475243629290180084017674707559274985286820920538171133983432737309409107102912193979685574577754975317378094428025367488958960013661068629352138631421906605800548345834671646051791068636324e+182 +0),(2.920122643838122463310915980003796050412973029849708343557234361726219440123577494613520272043555420159643476747981588643140170095338529002364735973093279418397302414671230166794501192535337407939074284041210410088266355645553659914352153071144627314384880164386792985421971111088377867406649411043660152717463e+173 3.314962104696543942668494347104158518396698812247704931236059842420496046875398734938429789625025489824073256331905160720821125638052767480585852551923368230901823335234946444167802085337216331197889647597318083540091777839812491831073406376636107541350684282289721653023524888783196629869654169939750699597069e-126),
