L,lambda,d[0],Z[0],
5,0.43,8.2458638e+255,(8.2458638e+255 +0),
5,0.48,4.1553596e+272,(4.1553596e+272 +0),
5,0.53,1.0066294e+286,(1.0066294e+286 +0),
5,0.58,1.6279707e+296,(1.6279707e+296 +0),
5,0.63,2.0360853e+303,(2.0360853e+303 +0),
5,0.68,1.9916901e+307,(1.9916901e+307 +0),
5,0.73,1.3735745e+308,(1.3735745e+308 +0),
5,0.78,5.3987352e+305,(5.3987352e+305 +0),
5,0.83,8.7293455e+299,(8.7293455e+299 +0),
5,0.88,3.6926248e+290,(3.6926248e+290 +0),
5,0.93,2.2357295e+277,(2.2357295e+277 +0),
5,0.98,8.7872861e+259,(8.7872861e+259 +0),
5,1.03,7.9693368e+237,(7.9693368e+237 +0),
5,1.08,4.2647172e+210,(4.2647172e+210 +0),
5,1.13,2.1678694e+177,(2.1678694e+177 +0),
5,1.18,8.5483585e+136,(8.5483585e+136 +0),
