L,lambda,d[0],Z[0],
12,0.43,1.577303e+1491,(1.577302996851484279684283677407372433215072254350701194306263104740912473622979629184635329322989132163461412728042664179185765804259686455387270017561040154755202338769468317874606992846847786936146406512466159756035206963764342958543902383644040846342040195523971824346565985699595526210272022203667312913925e+1491 +0),
12,0.48,7.3209279e+1579,(7.320927882581830327033989158588768258187941600259820114666198546310217489018314129247856314410192198995893275457377419431957127215168078548829539393154877746155449801680047322699202133779870550550336222721391756839377586616098370147990532211002410009017685830947367636687231352210308423686378314003955114840727e+1579 +0),
12,0.53,7.8762053e+1651,(7.876205283052179648363161103342699314662873759922609737877506614143863721482967774652536584784762411058875156010645763791320504496583829858161165488921482248435722691699422636431662061603381510903011427446008761604454811168036655330053695350696654544539753943593661764860556090368179421373220961352414284636722e+1651 +0),
12,0.58,2.6131931e+1707,(2.613193103128269055010351034409286209900099820450751325956753787637735561081501022541521970614492557110171535782152553370107994361489617800206686580769803614053942105807181740009494649454500418294694644832949319733329697238441017707673518901683319708025464123670557273684113771604885646584366655058841406258403e+1707 +0),
12,0.63,2.2141367e+1746,(2.214136659705213196399363671492029456436869971351552204943619331951146294222982946711705948810474048457101938995468404927189113885756938445997767629349749316595163722745119798466566889653677486628275678132359198658185332525863568299297731995983903086313881497848604417648399646695246230307673555094651724966146e+1746 +0),
12,0.68,2.5322343e+1768,(2.532234291448858298055987927499189803245548615877165908112540183511851206713333101203095967701759633597289666446517155255444800358940447109166792019644812161345583410646286387112317425960893265077383029252822374136444555257675248709716144193745492414400124444554646512725265473655668732984780778387965140128393e+1768 +0),
12,0.73,1.3080924e+1773,(1.308092403882144521241028332484251048563813457574899440985161153940517125979234840003508351306117339204319016800413947306608736376616761449320117833484484623044089925563345412332034436897399483192631162416742808603450349269586670085635028522877019886982477091633273997841903447696830992409948306056478970000077e+1773 +0),
12,0.78,6.2303796e+1759,(6.230379635673297561717183188477588410369760187568111661501206170325407034190708063502463036117439734813307915343718735888577353415387247900879240527918534712044158322765539157918085456841659856122068913029158142677558924790660535114953514349745660241033971361442739337290446815356195747929985192215572846922398e+1759 +0),
12,0.83,3.1835836e+1727,(3.183583626378903192033406733041732428512390001139015840516801779048708285738017387204855890900210285596912893294004123004946763006163473808807977598447040579363689911343739115786599544335855101276393775793902261499406038745002604490800233838159909155531182291692609519122949224333151918792718592534864229051191e+1727 +0),
12,0.88,1.0419247e+1675,(1.041924697557376415109715698109243384293273044219335572378577712307375097660863856205723471922002683061107705898099215926385938011468010226526084208654907901972506771998951545856578022104490413643376349814801081705415384048416376248566144173842928841013692570349382363892243731733866996599965178558245796164096e+1675 +0),
12,0.93,5.7294727e+1600,(5.729472673111646914743355129393548052931445955105495744324852139960308117812416634737936861456973497449843216148677013988067920584631105711751203690697029399273201138445575887237696548965266717598953290118436273880766649142609307957231891927103559986557285495947395086171579580270997630525692032688110405186510e+1600 +0),
12,0.98,4.8652673e+1502,(4.865267275271201199244009083683308533691933899499185045449514355775690875023753346463297779983108069854809276335664009108215182521149259045703938888020955650499519584579795631931234912746941545437789490296571204471043224936745383764693572988758674400016683211244533331579210783526314181692423632196389950657508e+1502 +0),
12,1.03,1.471956e+1378,(1.471955990738789274475493319327449383252153759370636799157612482788893817262879854267316603988255569243341193042518668121100205196647009114389182741289711945902627105783972737851311392739913935030298868352663307311996079335272865827386929289367470520628804055786384432872143690798940399334084400028182047744610e+1378 +0),
12,1.08,5.5677321e+1223,(5.567732089399144886363702545239771516817531917981302911566173147725143206283085396634204228114424926274563073218605200779383770840486507694391569898243441499510853589409172460802488948948771878838763936025985308189432426586084311887767650660761196333014421091540155046492333423407521115960780050598460101238030e+1223 +0),
12,1.13,6.4684629e+1034,(6.468462864333868398613321071509595374553500257838644278770154806075529059759868145265385951132811777140113233045547825229852595338786692322035244276088083675443139968321728606757159509130915052818050694230846662034083524948306910676838302553150420415787333109668417879607251598266162786877969755840611363599057e+1034 +0),
12,1.18,1.138119e+805,(1.138119042090930340700705195323736710715649150892113462544294203910029514094754949550533339023776127645871288224410734576473154225852507734619465629236313626193023015602221025716424607361257925792566969284999196671963030593270670985583755831991122970955418866313327302555572848330954400364742960151141080179971e+805 +0),
