L,lambda,d[0],d[1],d[2],d[3],Z[0],Z[1],Z[2],Z[3],
12,0.43,3.8304657e+1436,3.8304657e+1436,3.8304657e+1436,3.8304657e+1436,(1.532186274261011553564454721935017437913567875116168609525360525727879161751991446504788152956036925414587233682238711048107365535564938517058124148962675254875392382846270607190015373118111297984451096396173298698654822572129284602720199984995140713478116636493128999765977730898775733974164573282219294566871e+1437 +0),(1.365261961353973150298935610980869573638978285422978249256323634762218926769306969804181675794974008132808760077070826393265248080838283430704403338362856522570085309952468647498270776260838735587048875034597169005960554981169030573944215071628651696864180735936480458082895740243683761779183720230819834601885e+1425 7.285908954166457700414893610051377100761015127206022342834003676493767749532239115870894263820546609000969770766271532369925924763814487834809631181124233558458805869532680250502121614314795029312656717054764607265418814132438492380040808344666106680943009541857260509695527649084268562485964470565797389759452e+1128),(5.371773089808112357823623078150122050159595179137142744007707786310529267399611430887313516953027924643461878101716959839682135162985095028600785698105573886137073604967662488596360060398972590115524967659901454964384690682914747819877667733062878523666122361379337894589432255711531071656019881706577599199678e+1388 -1.004877107941637179073426948855246210123897070412906053338174709825086289244699054012919322059188832589841955233267447830560582813314445332211232003145273789958969663839444133320482363536498392412175324858653383786025630099973846947050174771896620949784486211562059300561791755929740808265480928797491982643447e+1129),(1.365261961353973150298935610980869573638978285422978249256323634762218926769306969804181675794974008132808760077070826393265248080838283430704403338362856522570085309952468647498270776260838735587048875034597169005960554981169030573944215071628651696864180735936480458082895740243683761779183720255454890219005e+1425 -1.092886343124968655062234041507706565114152269080903351425100551474065162429835867380634139573081991350145465614940729855488888714572173175221444677168635033768820880429902037575318242147219254396898507558214691089812822119865773857006121251699916002141451431278589076454329147362640284372894670584869608463918e+1129),
12,0.48,2.8168156e+1516,2.8168156e+1516,2.8168156e+1516,2.8168156e+1516,(1.126726239907758651257886248146688992857580361115733227547461623999254662825510431910472569521813019725488197983489823078935154523668087801347658081198514204159867496981202812623996001094604459156131344471967107222534662046164794870972881466111345775367243297623471806192292750251793340856637028223920126657646e+1517 +0),(1.814912942034747468590317205677989909690984093538369219855392359164314064866278961608748299537466444775114363471714569332798290245676377841907298855788216964924656074607894358413218055358448157369718221264111315114606207272457574269759401775497078339085963827691616571236972699536550836736358855965310534148674e+1506 2.159745586677257175210213038877231289440696993535218104881649172876094551020067971248906587860520473909811733541800644286619126611024376837198817272219596232875159460968347886604938550111763485497194340831109040453850264926521889976421582321241720249730832560743068125309409840100659296018502721091109459802657e+1208),(6.344112403817575317289208744293171276814592009823791787008626645666679505727764498908851797803706470927491689857810369217506907121804377536460371065912223290904481089517947751370114470911146184856738919894712887247109866736258558189359638858854183514088001398301625850629244554247688104850409271034192842767815e+1473 -7.389580656063186986976200873596264312547213870662204628102592277431252450371954481603479935517876683496496862336194162768124740710552047184099698151165252475998007932930773118064994461961284092308566179849282920358219686014298416951800434375030476063757344883397896558572514023698954528070817945537120285614965e+1208),(1.814912942034747468590317205677989909690984093538369219855392359164314064866278961608748299537466444775114363471714569332798290245676377841907298855788216964924656074607894358413218055358448157369718221264111315114606207272457574269759401775497078339085963827691616571236972699536550836736358855966854233604964e+1506 -4.319491173354514350420426077754462578881393987070436209763298345752189102040135942497813175721040947819623467083601288573238253222048753674397634544439192465750318921936695773209877100223526970994388681662218080907700529853043779952843164642483440499461665121486136250618819680201318592037005442182218919605313e+1208),
12,0.53,1.5160216e+1580,1.5160216e+1580,1.5160216e+1580,1.5160216e+1580,(6.064086512060711072784794122035370814272263222947843036348651005594491781930831558126221205719166772937403411042987099501270179545005018297917350959498004074824067753981709651232223536392680590913779526986349112003961170008647911785209473124902534494639806242303251400463082498964983321333452031957942933573007e+1580 +0),(1.012791765972787874310410517843980557408519009636493760042429000170638864776206660082558350538840089584087327925331108578094161106730688970536489491766892474061530109842629350244120198816107757095600704532335109430743120233456928044178750430657758934939460495149569397469698381129636703826398707193482267253899e+1571 1.421548482212715400811046682071158093730784913524539600273533781420655397973992330628395451869926603468533575199177188618199425274313605046361090368811355583077256874511869409645270842588286029176180541014960446894579657572440152365919448489765023347281606920386571570168186908215101080950073558764854514846974e+1272),(5.107279607150480838641620248596588179631941402764008138765371603713857664585139792351224948188994989238400345717728115979024000725751086441542702563074560071538037678618793519682287739478633603162319568312375534466260014075582422033104924095550099510240149791826781000021281910242021335231741231806853854596742e+1541 -3.977102404260002140358288430602681292441803807322921343530149546625781485506828810917590571006543301095648634099238172047263296563666987136281264699425107610497503649492531993959040626336249006933121062806020081627372272728682871589482608175198213100926748974677518921196054243622855968941685199071916317280476e+1272),(1.012791765972787874310410517843980557408519009636493760042429000170638864776206660082558350538840089584087327925331108578094161106730688970536489491766892474061530109842629350244120198816107757095600704532335109430743120233456928044178750430657758934939460495149569397469698381129636703826398707193579565272172e+1571 -2.843096964425430801622093364142316187461569827049079200547067562841310795947984661256790903739853206937067150398354377236398850548627210092722180737622711166154513749023738819290541685176572058352361082029920893789159315144880304731838896979530046694563213840773143140336373816430202161900147117529709029693948e+1272),
12,0.58,5.9432996e+1627,5.9432996e+1627,5.9432996e+1627,5.9432996e+1627,(2.377319839365115865972789038628727817990310469216829082676137809100938914768538205145536870091594077461811339910748987971553506000645883543453758975412894328990925844264912593709607464914864938479452639759712036634123428109272637189625423540582174156056556226894292409459581948159614520699322717600925373923963e+1628 +0),(2.730863562249989005452607796128871604116797344078436898402449112796674212867056571082678841570610005587436176805607651398820872615725530309883968648638192264241317984680856792865660445008876040634006905609756701977567329535844395320979425006403328574697525865060542288894927023198783899301572080749973331726292e+1619 -5.193988585747858704081655852899784955773870727074661575884373753111220146649441701373772439283854387026704242378330496610549732887303824739678879652419505713591224566289953858618587619567897671087606545461114088825259795710899604169709861753763186859771533202075739925702089406487948257351706595803548828292988e+1319),(5.316553021659760739316685340840129597529890171420528473814095004892189736268253338068908604151340959533223000443883766925459343117000918436973098639971988087518080655439795811942514207399759627211275315013424374725333218802736575109312682831976090180900178988486246449860966708646847209332636364761533866445453e+1592 -1.559153949585461106029146891131378315712011786314922113738061722298346430797822374496178321232306158354812250772922642399672664004433337615432410117545598069335965294425769832956589411240916105163122834357733671780138521381537949182472419201555323848706509504576653408134514626814571084159566187630840746509291e+1320),(2.730863562249989005452607796128871604116797344078436898402449112796674212867056571082678841570610005587436176805607651398820872615725530309883968648638192264241317984680856792865660445008876040634006905609756701977567329535844395320979425006403328574697525865060542288894927023198783899301572080750005902791142e+1619 +0),
12,0.63,1.1589887e+1659,1.1589886e+1659,1.1589886e+1659,1.1589886e+1659,(4.635954553936111546166928636631562185657756378498191702575486028731809231473692148388902999698256911171127435248748898885999397718076721024633819270774971131097441666847258731997669885364814088759398323357840081965928010950581110523062634032184159377152827774566595109786011649768383181614154040570855939785715e+1659 +0),(2.680980799373826608737391492865554887015963311500500543769900804168638878437133764739224601841846866156493157266359595217023196094993845935026750511758261308687346309402875422223827447488093404431104026491734106667587038511131158312213297564979581044000919609903090476002021403984674387315783860595171071239767e+1651 2.106932079456590541200088063748619250527642445299439145917580928403883783992684904953972477722164807881053618510483128713289659886189791033946266843727258440813812563906085045195941177225354125176254799447235982419469677988000889117925221374211747258937659193727988712159658081847005769188864997488575138285799e+1351),(7.493374922117142206118911007303328399512064737394889922591969213058074310950306119702137906389109467734993443382146857363758586708051723877943556463494234653880583819377025452604282792561731774147155874476073734075433186967553086929344748965195377272461988022570106577362395239703022567511300646341252360474846e+1626 -3.040468802947096881230825477111622778089043179682316034440174492426182047290319336968373727105256137888675204312003135714157489532632597992552240153660330533343633752209646518852345235874221356426310448947808806044864142372194826160014843325222373687137048586476873165049497148085262003985186059707342742232983e+1351),(2.680980799373826608737391492865554887015963311500500543769900804168638878437133764739224601841846866156493157266359595217023196094993845935026750511758261308687346309402875422223827447488093404431104026491734106667587038511131158312213297564979581044000919609903090476002021403984674387315783860595177422845220e+1651 -3.160398119184885811800132095622928875791463667949158718876371392605825675989027357430958716583247211821580427765724693069934489829284686550919400265590887661220718845859127567793911765838031187764382199170853973629204516982001333676887832061317620888406488790591983068239487122770508653783297496232862707428698e+1351),
12,0.68,5.211607e+1673,5.2116068e+1673,5.2116065e+1673,5.2116068e+1673,(2.084642707082133359146680129114579789173426830764701828404223008759405531243351024030016921946798599650179859400915217221574948468339803918054661512493080798039462463749184766456754752933955238815635872356875978204240791729672213906276578657981108604818805161764165871972307883634731652710513081178182155882161e+1674 +0),(4.759403558523825637884776260642875850254957386652046766471557531233200186065760933789404025458353091731802117999834583960331152347030195904351769555066504378506952870824407168123338396690774240398333361144814685968804187187002313410859495443896127035670027434588978338672543963061009407463897378464168514133040e+1666 8.895729869939667592266369098829282849101173600953198240259947232226179479928809032918807521297157086417303977517041520787460243245775160482076991732217660454045558296134168036485938480535276083266228649383281382607473758000363830490311340696338070493090503006475491578920523194769389375510445698160281864676492e+1365),(8.903167962019842341666803320852338915655246595638000072318899693617387297526644362120333097206043645654213105851061160570239304420034393448282798371373977386393926494400590936481858415852853532442943121593769274763657160008690926979738424835720216028064162424242727257302638923158595744941388489943467781343215e+1643 -1.367202998206389232677811324986363581760363925397730303281291842734344104190925563382413889633677927988957460912741743457528900964212201521911397744636888988208560500799149293607704863266697883982803310670528681242084978416547709075071431986534139656375104004629460859293026201468536416296995094570925740162163e+1366),(4.759403558523825637884776260642875850254957386652046766471557531233200186065760933789404025458353091731802117999834583960331152347030195904351769555066504378506952870824407168123338396690774240398333361144814685968804187187002313410859495443896127035670027434588978338672543963061009407463897378464171666774253e+1666 -1.186097315991955678968849213177237713213489813460426432034659630963490597323841204389174336172954278188973863668938869438328032432770021397610265564295688060539407772817889071531458464071370144435497153251104184347663167733381844065374845426178409399078733734196732210522736425969251916734726093088037581956866e+1366),
12,0.73,1.6529845e+1671,1.6529843e+1671,1.652984e+1671,1.6529843e+1671,(6.611937150166842343031225744560097943918372671725384211227608195621674904552787901341952468914467188528864109981726168960177823533186209673142251081978580116720931528124875240476659614291610811183213589113382384381044425065019155449222190671858304934866971033990177881790050702564219058251047882689074925201410e+1671 +0),(4.911257991237431577011093100150369413599921222354520196907714594765012770571100976828589918772985058376074216658049663820532621471292994576014502094958805836938651544361994830295456195535844972664237646213968754873499875961772006124948569319756886141763079632782513372250981095157905044885670001771116072954871e+1664 +0),(3.365189482479062193950659455811801469622600629941403607507427329800960339791737219621308567836965431582472941761569264908479779104291607120866535700832853339540911873243531225526215213135794538389538868777477130134626999884141000897428060137806380012410795491471801693900440784757088560318884912697447386413031e+1643 -4.336407201694082784548413034162162212696650830060119906716398431665328010324142123546168385806156670648105337760274213557711340012575108134714212584838685799025374979968892242769820150703547881461641642996900913378517208927489642194795028775354706531471728435705438339041518004858732372179171624510330326402387e+1363),(4.911257991237431577011093100150369413599921222354520196907714594765012770571100976828589918772985058376074216658049663820532621471292994576014502094958805836938651544361994830295456195535844972664237646213968754873499875961772006124948569319756886141763079632782513372250981095157905044885670001771116978839852e+1664 -1.158298160148394217743016809743396204310048645957447687533847295862783786449063676161303062668900662293919788739198114685867219172626974021103774965132507871620515403142469796417439906319697406675290188721781430027014812239630707095092622486502352928787825912301496299338609790985597574936255950281286701129752e+1363),
12,0.78,7.1098856e+1650,7.1098827e+1650,7.1098797e+1650,7.1098827e+1650,(2.843953071249977802645503476542163337033193984565957974291395534414787898957565174813323580469762808639789458043344015125125971946736925587686159777970512002683700881194892164297054541104456368494600854919566096496222169976718873571547401317921001797263273805532542197733506927309434796143859470945898393420345e+1651 +0),(5.874287705300228072159600211916994221481616385704549585471086109149099914815178583630158193457666942099586143466104267829115418237791649014011719132092790554344599481269413486258868467882019605015027812985244994807117337339951866344468107892515043177354474848558686118283670306570809398500763340494529676741105e+1644 7.848933635117823411524623869913143107770541479063924945583868505075140982839036378838019362547117501054158875757765504394805654459408637262680630548772433552197413757093567569538731788193263579816575346318021351171544484749439690701384922020926130037522536492824512392877258665289751325506214043082949289254095e+1342),(9.067557869333982936278274435491145057415369080579106538574536096672271883516797593153754890303606167782405967212990487934208469333973958249493620277819692786446363354730943240208747249682929643285495851363646245946488879142998655787136721435913108304454668753334766071030758987023095012480891459689968547758673e+1624 -1.865192609593355416024959865173011463868895844081425833789759307527940960440431938133115714991830941363947577417699153642530523214656961365798782762370799932492256797030898805431945023707370827929978790476971065602551440505426493896958274222845518481389709623597904827348732840328119246728651109778200433206262e+1343),(5.874287705300228072159600211916994221481616385704549585471086109149099914815178583630158193457666942099586143466104267829115418237791649014011719132092790554344599481269413486258868467882019605015027812985244994807117337339951866344468107892515043177354474848558686118283670306570809398500763340494530144873345e+1644 -1.569786727023564682304924773982628621554108295812784989116773701015028196567807275767603872509423500210831775151553100878961130891881727452536126109754486710439482751418713513907746357638652715963315069263604270234308896949887938140276984404185226007504507298564902478575451733057950265101242808616589857850819e+1343),
12,0.83,4.6542485e+1611,4.6542438e+1611,4.6542391e+1611,4.6542438e+1611,(1.861697518715349425742047013280083461584774548536917750874854350863928292835845887563619130960425534948954494060884178715839628425721531246074488923277786193055568438711660572146139439776520010128576001967592933018603606424916696057378826655467496291398787231004934813683409118888475229384582986931017036320457e+1612 +0),(9.392383150809303024984146178440988253417144075584840271731167660436540478985177532150179560233432188796142966392903780785168123788818518043875292498072219707016331925023274484881490481160483908974946978138350505329465402840797160901798473068728984063905988307374143082338517191822949291568495272905359127372337e+1605 5.766485717537526927236219812411316349736035399369995042433838242769384037799620058988039827156784497027235672359879999471831949361737362491274616230118594499377798275097044398827636623803158578791102135087236578520353042732637498712599934684600796308297546934968624749664566804794261509039217767695394232566594e+1303),(2.190099444275684536724548364931310310288394939970836457480047805136935292644837681635042938605921638178263732911371288243791255912032055805074145602473396279911104237219767869983484317786331482784612312747914997964568769085231383857354079010450447112337747584968807022388106746334839469626496535635098134992131e+1587 -1.220984638394812924323046826071040429163939173458641584314355165659599797458971451061973763271895002397895413203473705166670308979709564299902973763922011829186181556572289752871299600586236939930094208720083037132525501233462772536210787555774439888878246208413799376625722411385668452272742294273197697237382e+1304),(9.392383150809303024984146178440988253417144075584840271731167660436540478985177532150179560233432188796142966392903780785168123788818518043875292498072219707016331925023274484881490481160483908974946978138350505329465402840797160901798473068728984063905988307374143082338517191822949291568495272905359382438867e+1605 -1.153297143507505385447243962482263269947207079873999008486767648553876807559924011797607965431356899405447134471975999894366389872347472498254923246023718899875559655019408879765527324760631715758220427017447315704070608546527499742519986936920159261659509386993724949932913360958852301807843553539078846513319e+1304),
12,0.88,2.7274617e+1552,2.7274557e+1552,2.7274497e+1552,2.7274557e+1552,(1.090982274965673129197802582878414788807254948967328879788272446872340968686174347338770691560658056542503285580257872913049759666463436648174169661485022619536214697139445562698104482348561246255174876503443717438430197208125961761676697578911184662887246680509366553598965143657712061316602817261114348880913e+1553 +0),(1.205380644785309557768893772434477700796152579894631369430900912044853480249451350871515338080444427494100182257300302609103293598760135912605396493130216415106640722625600016599643314264725630789382950719037520970588493469247365310804081369255864149332701898590875599181570920860121410379370265102808553708590e+1547 +0),(3.037776887320340636513156936118673154516773277608072398086141604292900165926446392939836224589748717593287224787534994471681890999106225476072909848419185921731125900322182291280848150599638216892468211892796929409101443110823981055151855095877238775627175703090317921647755013296783204083894806932398668975899e+1529 -7.155144546083670428680016159393469486633574037495168499552610455221499400370706890153015276158214764502478198823369081280778068260488138195825821186986025928037048955843192852688927121299245919603307970679198062286366710321388063341303866290495930942947950566604069546984666921797545799397175240556828385756044e+1244),(1.205380644785309557768893772434477700796152579894631369430900912044853480249451350871515338080444427494100182257300302609103293598760135912605396493130216415106640722625600016599643314264725630789382950719037520970588493469247365310804081369255864149332701898590875599181570920860121410379370265102808571526660e+1547 -2.870794297584327859520959389086240285886168674884935994311122639828956618437909104224411118866404474184944017835818652715203055597700007113600938918687101937745814572594095076723243076122709961776220675613004557635469377282612385651113627520784948938744352865462771580404369306921778834756894390412677183868019e+1244),
