L,lambda,d[0],d[1],Z[0],Z[1],
5,0.43,6.8235522e+247,6.8235522e+247,(1.364710446212051314547609369179781878555201223398314895097909168365577694132213718993732336533586962100814076855925319463946326293813771673742469543252547047754760988818885367590514198530447723519206352313116346717983591012171960375854399306874656469044969277528161824087090124576603128471757087481150731412228e+248 +0),(9.783391850746523502414429358351330001657162121866833072397253583103407351852301172526785570536801652566149887954966923567977684296136309565227423998430848733768598927924745406463725737960878924197676768755754266530050629803518614807962537241787903741266804837684024674040581857107095050611999226952193272607859e+196 6.232518894734003559617923813325809503536858570827841065538753488095247715582920276535910471007443486428658884650641886768879839946302910778359994813751637094887414569058012789175169475121344760220601935185438238693785401919338973189255138481829573841668866745503662752180355642992974720854825881149545486907925e-61),
5,0.48,1.4669887e+261,1.4669887e+261,(2.933977466799651540439928815711314438188266212730931731272688499915044958472399953745006377590035204881356524401186643407983483245821653276984162441064813201658704607762546468079594570517759053729543393185508775044612886620522709137743321361328682159065923390536322232990266304306312438032518226703128817043584e+261 +0),(5.498842202410220846921148703494606438562308649138520079719445544984757855074174153112580929018063489668255291388826483354142477145850587009996542082795375359838070607559130248815740684845173190676939420859766649287132654669953848546307218552974665536782517527206524165248485617136348835066850344669944518197954e+216 1.339923062017165169111910399857571468391722838892381658175221035206464881719306800842133850083771124004501245372793395787530618490787214244475303863914989196631452659948749736711066187277113752038901926864337293528225830979699504119331213667055200689664406925129403778971131308009455091957794855574312413043484e-47),
5,0.53,5.0117882e+271,5.0117882e+271,(1.002357641384515903671635045041583067743031354564697271553443030664673212168093928726411854646904154461289912930212212259974894891864948210410233948358587908864640077625680065929302466700898109932331486464565801335707492137058169186703734583158868123680006069739945764167923541624431728967302563788741290710628e+272 +0),(1.247433773814888937524423142051883587760476317758830447111829081475030063939214457991999062735469690353194140370004054925176726842782646124100807474218240997198234702209402588886957906849546529078735187968752205055516631292842836231703324386544919915935241601320648714200044456648586265305966549357795515828818e+232 4.577683827767301996750468032313992478974303654462194751505713146030603610467358126478041632687665025559450413061894439808024923510549702639545974176776744771050162491431353453494958580823555669158380399179891230067089624565194720257007076984179631702687621478503308861266713399255884512376575094980534791468464e-37),
5,0.58,2.7106444e+279,2.7106444e+279,(5.421288818076106276251269599100613449111111334374809532293673312051490145135939944777143437057499276624515124924378578795407281710260160222875409332670350627613996050208956669078359435584231032774277147821154167097122314692058563550800611043019341209592142906948954853368261531957465684116834852421938488325301e+279 +0),(4.276478095695072010508682969989073610862482365741744404218538250479991438527196184930838668038092730692474195863492190052024700202478765827287342818629473244626481073864570166844464914905524065228510561710183216228242046404284317449231006792071638833315443690147583980285830692118341078243717233399109889369072e+243 2.475857430875077962023415074754865973915929886514471219354806289909447835836377739621722110794883462666583295611042116972846589799766162213633136838677160368573700952344280640614479039675769209597720025804099971042017379305982739487652812451342647555236720243892197169352550307672680723447043758799851151135954e-29),
5,0.63,2.1721205e+284,2.1721205e+284,(4.344240923360775574607299750022896564255445630783445664494368346838649599035024425121389474106082409593304624790099757064193278972313121586825232580184258128932490255660734459713203439485932092613428805005744944694439130918181858868869281656318125451384795217602591745138618668118696091347161322314001501785433e+284 +0),(4.205211524179700324512263393628962324462818073412870192937944038408389751072591121154760278405219714643114388062068805324157486002178088959986578817742394428541628322355567186534356713323662997194568581260594634251592155358611557983854353526161190618380668510884224348028942587252414762356844679658252061926760e+251 1.983978631751139631845860589475719051043443657915729553621484406449711359165136366199512836975705995452338995229966675748102049457254312772175357318048238276696738826920854844575725829890132553090242298374425667801481458591139025650632442690599181926487464119756742753760381161266078631066931252382630648228206e-24),
5,0.68,2.2582652e+286,2.2582652e+286,(4.516530491975242868550255523854433975505623795488181605271418059858864710865292616180120728397754587019709975669259138955940654876255058757708751070776023130229688091423250530170836571458397893165190446323215540426326763740012829412997197805737300269200302896873740590378979446979469305021420519305780270339011e+286 +0),(1.603871804594152981496691549637983611782307424593576340861696176531037332238063720830130767512098899694194247391341631783289470577436376902872347642775957084662829586615531110274131851211374119230846980275518393367555210645256504023943756155954892657322301180639012758462372075008413123929640331510881878784858e+256 2.062661842151977230908932589331540011636521555578751609337997860293361221192766269576438297779262326772290292255284163614098881136624307335358142287525426003061254831972650782085718633967379530467510371383000214665717991324574666278464612806400977466368653001336871126632235403026046471342628607584203157589633e-22),
5,0.73,2.4827517e+285,2.4827517e+285,(4.965503355641250414545960941344510000099685023366908692476502926421617616985204942083095232674886241236513773270873749856370873777845831364184993978571188871641486334244272345898305300895301819646420245653040416546385457088656302660602726029629929200975886923772041768047632753284342891071393063618564147988551e+285 +0),(2.573538578947440136665708305363483693312237686852006407554653935609159152251946365116015332917336258558952008375399534049369770982674743868404427350603651732041330733823627129283480274652350527163249342646522506747057028700072307478230212661895324961343116520895941589871154823160570529965536154537453228385857e+257 2.267704007967305884741132908783445684662242542330154415216675153806485822909911085884727532853891447243939852750432426060728491198692573833182063319028642642986980373690550327298553950653170798963484889501284188241172747497825695129328793476729072209671347037209287017602733814511629565951938597478407609725236e-23),
5,0.78,2.1715879e+281,2.1715879e+281,(4.343175744241295637831872263372454784186911313065081248018055969942440854620614446679242711477745583925532528376345446731868520237876881787804097424692012917706797237252743559967976302004559409110327410201710569812414301812778544025643323818681195834083955655570283018546751100324443725010130123861830222701969e+281 +0),(1.590657131213978014596338279477727371482410864295544543436513725806686817851337681142742221203867878874037049191966988591052977690549675791606992204734678725074195469994539959873419547899558797346497637006047188526036134993227330874100409670917409823093101829907116709903955326889678548686667868720197218518342e+255 1.983492173322770329748496738992051732435662086925366032339608467698533998019733653617452382340366165214661299952721215782089542024129945481551932094720912652333073213114231748512288034103450184892584334593733126702803516016843517698441313478121052982473851007104599124910705763129174618821034844772897623867962e-27),
5,0.83,1.0363758e+274,1.0363758e+274,(2.072751520101458652540945442763680852060336240901008261895313253451882270089743583083562188418251855846524058958912331002940617999855482834021390723692311281767834511195739179123375919784598301820073251261480557332025940031189170971222628114638343907184718847803280876599826000716318330314395536079300647779905e+274 +0),(2.984769022324662580435694730518202474321513026049500896188339394802452174286349407289043993206117972852905958474911835888196213573509151839009914020465825164497223817841603054502216732548628916173038080372192697935295445148726141389433898729936764841279397194967952744035796405610063147301758313503489952070211e+249 9.466083482381194726212867825330645891989434253636261564243307819119175450527187586329765337990451558629073437747843014552322994391419944556540031761653766854068942464594118268512692414193983974830177261186366127654415026537096499548953034209502711012504632265707681635753568602122249804710623053002151024572001e-35),
5,0.88,1.6565615e+263,1.6565615e+263,(3.313122932779815091116212734962754622320698881896497824303430054132093797361957381367121669714299470878353494075363299606554175875627125835622935703176816744628617669679358824461715261472930382890446391256997398879608883067508257715536156559010201225133927319551651388728720846490778226979763034668258452185371e+263 +0),(1.154351173550536976810000488963124905555511074538500464371682426750812779474628559875228471615469516264644574657357798926633537430389058601474892195171458335832937830187730140459730859867733451803356478767421528562380510936108934271890216488169799453064114673589371480551008606668006523859778382932394123992740e+240 1.513075637139091462971563981526240384706610455258187358040537416328473199110624585110966495049123175913976925568014844695796846377438119342479057683122116762416951013399435269857148896301255310154259474646490930290579505412822104421177482453506182719932077966278343510822128364987068759355322014534660733665848e-45),
