L,lambda,d[0],Z[0],
9,0.43,1.011359e+837,(1.011358987497223071506745404807652410633158723819873828061496610948342639217771624856277616070776796726771626357161622371766656554229924091013326340096718478978703959490459950537324275533514367713387084682563274458271414755135350909481566820055488023956795390552887446240550133773383322530990223042178820203095e+837 +0),
9,0.48,3.7439094e+887,(3.743909379390419156556320938461411327954003300333984401782365281451340191968638761972777745381403841862090254606172568983286890324281954645308933530464422932786096631496356763122697650023912247662771195857047653505521801352827092447617359362196644969123653599001430946026239489482745390885734782976343853150781e+887 +0),
9,0.53,3.6734312e+928,(3.673431187125949942243750225158552627991599517074111577906067433711759421352405733696441397330548022381327581963841576761180428815725853959908206619952411623362539045887946556352116273298301701236195346376491117028674557091398769134646582035858046890132693660081937025238401454562145311420450004639118896563955e+928 +0),
9,0.58,1.2852084e+960,(1.285208409267030321894110356174391548787253478931035989320439958883183414966224710543665940944047376201793955274758130282598311014016579508052159960889882314368918047321927678734197379543791354563486685677841031363163085872481499442545929501282352970347074572076716701029889822689870175512372260742323488764655e+960 +0),
9,0.63,1.578235e+982,(1.578235048451190573359284027834351168713530141636396496895584728958645605017311176560535798763368574463513198947395494927758632296129806953732022506803118218455411537073021911848781273453083005686140991567000441437524194025273923750880202241910357505301392445819651335555289598777385313360842630154674029787446e+982 +0),
9,0.68,5.0592875e+994,(5.059287474597966097726123720656269799293701049030168097184235511820257043932036024345777470804088725601310509042454836819113292245275668160289699906474640291987827240377510479946465732647654529478004050798873612314436810497737713614312503452463525695793798838640299137620236012756389151339230635409976296453144e+994 +0),
9,0.73,2.3922019e+997,(2.392201913245178839325757406676966805273172223779533309845746394955062412013127539645023920806365168355936193684022369649238186448471849458175939590670806265804489601321169213500463955410532239267656308840717759996886758140842823864918712656816126078486961062776371009135625127068157449700529936965093060036646e+997 +0),
9,0.78,7.0552364e+989,(7.055236448896134413764511250417932245874441330243993487789999779528168826488453926765783741250986094925751123672731461765887191415787140974479639149382783680911335990927791969659723947483064638684226823950567064721762249240871645186489033103140179199358629007782821497610342865779741875000972891598070101029148e+989 +0),
9,0.83,3.9684011e+971,(3.968401091257898450880649263825113089663205834230382199314213806271864922003943157589573620054150185788253793904254437891469986418819372058541620378889690371560653363875150772346891951397001298971071440362976477025345245753323912787015798202238383491445227752022139301511287517698935235738346860073634952984617e+971 +0),
9,0.88,8.8922249e+941,(8.892224906060717269574006096100847965998570384303199494708897149804875542740101616640935529688683346926415414495502940874778737274456834337802458135003514090701418664990624408441985731967194817710004261777071535289416321134907610584029446852642402538017826576662274019000851465998983267696556880983486730799278e+941 +0),
9,0.93,1.0397204e+900,(1.039720397049863470868083651502083446102857148065537070985103052500149803814721092931643547854374551552620403332817606538155450406440180775713991946428364503647180295425043609099882187946423865283050033749868374669248456630700466463697333377239770193116557906151946309793016931248667482203374492644926918742252e+900 +0),
9,0.98,4.5925131e+844,(4.592513095004628153009993843542197294544842791234752112799938007250653548081271188244499848538944685449930464315333544017532097090880246673485691818908053219824627473551798501967067975359422661428407964031861861443994261721524035364826130768234274644909243608983320073250109596959347282643137248866989750611559e+844 +0),
9,1.03,2.544176e+774,(2.544175996678772219744933557408062156688863637223682008608266227926288028274410456692528483999346753411795147740398941828684447433067631544443196085953128045909187418379873785486356859236461250012928871200907412449115833092958880489604821332034031944360534079873999613565905798212308490279615491592399690196000e+774 +0),
9,1.08,2.0316971e+687,(2.031697117472841958557886009981687827928694664950992973736316840571827030533422777688730465012155355172767183995282444848484397701554341691342578659858299995568081215879153941650279057583072234023602431855524692535160557946876911804780380554675212960618207976305829650204511645760396515387650195416659883289685e+687 +0),
9,1.13,6.0185281e+580,(6.018528070347952522998678883365564934983379386230439546176774669542406079543692312704892845595363118306315984087175844211532714034944769662887163357569316441092804863993273208728863413710939076920733335870355177629319675387289097583823784601424864285541263646652833713942413888180172960378161908059795776769451e+580 +0),
9,1.18,1.8883754e+451,(1.888375372253468999517220859584209515794011993403956884646794823833963065163580638974840090361232518794615537851089268975706684709603960199533766983314859763202538148625890922373522849190398773597236833194997023136702598585251295827112363648549990607865746932525107525104131128422931747541607176841678445757270e+451 +0),
