L,lambda,d[0],Z[0],
4,0.43,4.2771688e+162,(4.2771688e+162 +0),
4,0.48,7.8638443e+173,(7.8638443e+173 +0),
4,0.53,6.9494418e+182,(6.9494418e+182 +0),
4,0.58,4.1506935e+189,(4.1506935e+189 +0),
4,0.63,2.0000846e+194,(2.0000846e+194 +0),
4,0.68,8.277244e+196,(8.2772440e+196 +0),
4,0.73,2.8606716e+197,(2.8606716e+197 +0),
4,0.78,7.4078266e+195,(7.4078266e+195 +0),
4,0.83,1.1910378e+192,(1.1910378e+192 +0),
4,0.88,9.0418149e+185,(9.0418149e+185 +0),
4,0.93,2.2311244e+177,(2.2311244e+177 +0),
4,0.98,1.0901637e+166,(1.0901637e+166 +0),
4,1.03,5.4899685e+151,(5.4899685e+151 +0),
4,1.08,1.2002726e+134,(1.2002726e+134 +0),
4,1.13,3.5671696e+112,(3.5671696e+112 +0),
4,1.18,2.9222157e+86,(2.9222157e+86 +0),
