L,lambda,
11,0.43,
11,0.48,
11,0.53,
11,0.58,
11,0.63,
11,0.68,
11,0.73,
11,0.78,
11,0.83,
11,0.88,
11,0.93,
11,0.98,
11,1.03,
11,1.08,
11,1.13,
11,1.18,
