L,lambda,
10,0.43,
10,0.48,
10,0.53,
10,0.58,
10,0.63,
10,0.68,
10,0.73,
10,0.78,
10,0.83,
10,0.88,
10,0.93,
10,0.98,
10,1.03,
10,1.08,
10,1.13,
10,1.18,
