L,lambda,d[0],d[1],Z[0],Z[1],
12,0.43,1.0743648e+1483,1.0743648e+1483,(2.148729666333319268299820022139401056553187001305145292841032277999282210389933845961009962173720294859919060276850871084625860681120123633358260720670740292473087656048678879218229049061560802899454414160666243992361448876776972731220384484207527663866403083081632039816128469687364920007689865584138182454063e+1483 +0),(6.084539276191248578341935792453130004150304726543130771479910279260068841528299396471029111204118105708338599981672762425678363856286815494200910355584372826508207705874954465525068642233332789690889393818819072305184664593697072503786000031607760657889934642042157315051635409976114050485182288845996463074394e+1432 9.813069345419980034882079473005101437941699007034573512168174449628605110143939265021599110508278377124286236830276856063413889709596509180660450095091965121690499823825425586229718270508504961444121161760567632117846421259945852925815544113619101797048533431019058504535219162790596700402618811460533359679954e+1174),
12,0.48,2.2642034e+1568,2.2642034e+1568,(4.528406826922794651335008421604315617619466209186177909621215428852575839967059853882992624793305330895343816763879546662167647533012774176603110302126182782812825665887549219872407506432050373576020065928389808643804245828819607092398005618343018311404009723803269795583484525529110545486633709897341838479666e+1568 +0),(6.369065049381113342960115431745480227743436110792493781376566546758600721766076085956533903474563432766220733321224566722780031983845981912778420931455697870136629131745077461808134168672671686917906356989977463566537504771368318221246670868611428454831164200738427181892451337011997996139140095607280713230226e+1523 2.068085665364165420531384610858192958291277537731951345043914829977888494206884175339454484835251546782871607487567116047558096406027997908621674080447630572800940178879069580351322062728823214916636307289638821622782901806907380633890319605281983220048272570663968266504229126982495875526551205986193953554134e+1260),
12,0.53,3.4016848e+1637,3.4016848e+1637,(6.803369520798239387542682085373245343096615404839109940804140463012282458016411741210443089711534137670399197098319780622497181082255396828001837995350009538323470363056087468432039148536575922012194506853721712690839329302166580571633848545105839427130572076555674105100195230448347758294092776063662788678321e+1637 +0),(2.790220951119304354434663340119420752237501984318345404201525491487639734670854052257113954815721652070216252123752997868431076663289271193404072167848062873481411108059584733052242488792498817059164656887364140762436115255764144267148803762504939436907023126640329237336080942235938362760627427526713840186827e+1597 3.107042171760728694655974988246616730990537455574362379230606326163283124756248720249939412830883348174541974057302740233547870778792477129215041245989598514560144647881156333923814180975067733570436406641177605393355060631660876885273790645377062483705919395062079792174149144540077942223075455485395568933953e+1329),
12,0.58,3.6030106e+1690,3.6030106e+1690,(7.206021126881357558505989711544489751522330632874900403149801525155022181594617659056909294770404147139497057511832772617550165921602976879752941554923239595694075410425207480572027212209509549856356330796204144506942355085614428283294682138569314915521957520407595493363653346168846618064953124070683244005326e+1690 +0),(1.270895296797910278001897421858773433416230827825888328539683498073629279123820177869288309138691952697023042434639335728340983904809328436414636867450659011947926801721185269511715506602914121226993438387129372719979325294483061903880651259011967602143426660519187044967808912792802034018095811474741392795338e+1654 3.290929805205141481330361818637465615437947215662372002399867299006011609925740036081958173259920024029816799125711454390112058952472120377170585034610088272568550466757650935527304459372800795049024745254013615247295226717564142602420866678640867473729667972799521006957396725735181758019964519257618096231661e+1382),
12,0.63,1.8242917e+1727,1.8242917e+1727,(3.648583429889801747901468067383309982655008502772166107110149874541686320409198187543552376638324831088286285046769519846516451678477103485196053933914313120105742611968579692691632736142161028553358398406163070336637192653716816882906810926244071038732384114841088207756066105667058395294374266097996228185391e+1727 +0),(6.792042252418939704527903996104349584713123958109230247158531554263160767982922700664516070455475329720445603820859480077173688426631518974983252539533281999428352123543021436846048007771905532430195963487388159606199239435882193259459679684000364458169280200553464589460506545508668347065287636065152949206980e+1693 1.666277650978588852532245405963824481357260136776927705736775342720001946227814475739689952605868787157893041575846270539677020537369682212288275492720049270754371217653970881892220464469608361277390846062116517434122155214778761896680106060410644940062807480925575331013753689946608446692230342394603141495584e+1419),
12,0.68,2.029623e+1747,2.029623e+1747,(4.059245944716022719914040899287670777435434753359008595663951853689137556442067362799737220278974248615761676486264581336335006837577903061281317509028071471070351130204325404305484886851527562460589912465092328106991786472402141703052500718506825667689243481695054348253584630020057796855442356938741060715473e+1747 +0),(2.731525204860944425130442190673649188650796825450131853077512794293755755184553021537754002738262022843488183828944808258614353263186131025643464271221012197786363431485335866051137487088491359500056892188155494184641111553245165192964128220575000222932214649962031333001380935552849303200532847397233014331130e+1716 1.853823799695890530505409198404263957928719980123602461405034203020048194351851222310520764341538233665286474035868088795111656150267691227653723073592121769731386788542079392410829436135361312671389263859841860850443449360480313617389687565947754128793208897488722293702229953205511843157620912883775764788002e+1439),
12,0.73,1.5016719e+1750,1.5016719e+1750,(3.003343740739405824804429006052543234976563274433356150248072199755378171730679307572083990316325378894330957596962907502366077872578993771906106911718719963662888143422056208194411641597818972366669653946686965095074649000934432016006488120904470993795242930400554512459510095514152592155269213654101191181141e+1750 +0),(3.155154983675739121294654552603574474021167246351512734416629193678717599388090616470964482996891691661924430082295239972301388566789053434208821210863872814665912380158835495636632919295298505684679808102856965287244559417650000334337963654854199888474135107558893210363348720132084115413015132875991093728380e+1721 1.371602061337995292845942356286272401889792464348300401172301990991731353292546169106663779772053381080690995012151984583681197491956701303356776363921458822084107827261234913102709412538423598019810261243841826262555315439381490801880221239928200177498672443740083441124617134192300978809460283738017777452031e+1442),
12,0.78,1.400815e+1735,1.400815e+1735,(2.801629942796366074513664912269173292024863304204532010224629866481463410786491404723284037409027972853975790810050748293882966645073499628336003649304752791947857824772432142151755817791869540000168798136108547268361605094779835637069020083358128970754196259550128765127848286381599282364351054569530274654686e+1735 +0),(2.347049113769551382310079578963455315573602010824457173809538423354290099093942328661216361270086019322723827406463581982413330909706008736332163306872778090774041729188435528785352155243883352737034753982903104553813408229275196113338395923237207354728561907861162614652315145038140812913503971614641258926456e+1708 1.279481050577210919770096266358479296036308549543824719006368148603152035571412152347139776622382507898472385931069483629952765043754114855257686257080191668241437584984170611661315287914548152233205493857372679503631910278537915433505152539886410580256795828049635099300995071642920104125253477916742527082636e+1427),
12,0.83,1.8138479e+1701,1.8138479e+1701,(3.627695801915992263685770510663091818541710901299825747551968857893026782320528009045976552865221736247770104621579506225315443403892418912846348603456523048375662242825389404591009788993454997001706034421451943856425593845215855086874054837210617094777117357913133344270328083285873621417154494388243687396828e+1701 +0),(1.402137133714046607325004856543903333055928204287628746465921056310848769012326412105236558249805230990070157643773780335427446001662733328099518385755980666493882336573954353090777607550253626419949226457152704805495567057186158448522063256246238993950038871482763594580426102202249442512058032370710501600802e+1676 1.656738445326995699134936492651841742053026642907203989708168139834913193720828044945311513456782335008147439861493324024917735720793849340711532669480051640358489696628099115526707642249553353296237564919019168455095045279148921137587222492154325112522128434742308107564188673297401452980544921160054899106270e+1393),
12,0.88,1.8668668e+1647,1.8668668e+1647,(3.733733576677494121857194947022160571603927498433755129655280843947742461727786343676522625533725520090223782870031150039742023742953688469755999537492059094983925855664011377411430591134662126328340874643514750081058021797279040895766479876628250816280728574591857050560119766349267454704341526363829357900511e+1647 +0),(4.232945147754730554212831670320641712706651535134091913887299023292020715709304691076687224139584690777838195943154249152834504308786232894755765341070667682349458034389829976334499660035938498582945635660991521034818314375743183857926569160524857247749180835904292860567912330868460836123154697029500561419635e+1623 1.705165013511549597139814127946716199451723814455455001452511411680742709765480124661241102237932490214687029331140081536217897330735594380602717928673207200401325571676005079946860235787038282170614252845675060257337676392294278234104769649874928406678157260648212176601275671828131098138302108007833964147498e+1339),
