L,lambda,d[000],d[001],d[100],d[101],d[200],d[201],Z[000],Z[001],Z[100],Z[101],Z[200],Z[201],
6,0.43,2.3971139e+351,2.3971139e+351,2.3971139e+351,2.3971139e+351,2.3971139e+351,2.3971139e+351,(1.438268358063927182939677705093791852448359343344990518962674786800787965456642380010543070995834561473836797160014970392258631660497206743781849056163215971228660030166142506291406672484735464598092665740334062272198632689468010700886929603881009879147480584616628315888463786010754819261237925718441286704086e+352 +0),(-3.201736776735403664033467452524184885606296440971943083472036347349723904375871352830296566620993477550615220195173163225930298171697188809846458005641224484814005535535064765319560273100411387639824763716488808867797344175705862758602998575770618147702415068684503869015068778633960663005271233668927172631840e+326 6.568451749022978237021290198937681045768441453493260499948906749083632076764888107555231626393325059956430263022033956408150407101509793505224099175120366037979269612962915795300538279966160244121826291826787470371171267561246851106191187146023177933450992230948770647318219645642043840870997739100423416975906e+43),(2.862978762207569220434285417010930532221282901878814715437995961948610127128966128108564675275580892854379194634533906765270014250099300845561311821191330205631684269507247078888010010713651253976809390799914807228070490185657714028185198532835502125359940918767226810463735375501145788284955236528262407794998e+341 4.958824677134164979432765279565866212472378791323866411990402707612643191787485504818865591969586788187639196484479354645321895602873021786413272196592758533549782159787039905608233004918068866281691286851223972373909522174081713405971807056548732838364405602656362290033360423177794454013461819690416696462462e+341),(-3.358460802266983327249944119855804164651375672957888791411130174690036998137779804061503999349781407981185743879039395422472958595934017911093054599187707782912678871611143064923299740575425319653274612520148210347303827743458673988606938248613986907683901639835870517806965346610337375251430940153546146984189e+314 -2.003235635652800201856429377242977339079200574558823088846813744126726533139174949739585855710400917160788775810718640294275874636269295343617219800509304282028315416571852091630476803366544437553812647672850065279599729656536022272259829495506348925833690630152993484586668041126286496410467506018314426711139e+316),(2.862978762207569220434285417010930532221282901878814715437995961948610127128966128108564675275580892854379194634533906765270014250099300845561311821191330205631684269507247078888010010713651253976809390799914807228070490185657714028185198532835502125359940918767226810463735375501145788284955236528931430150954e+341 -4.958824677134164979432765279565866212472378791323866411990402707612643191787485504818865591969586788187639196484479354645321895602873021786413272196592758533549782159787039905608233004918068866281691286851223972373909522174081713405971807056548732838364405602656362290033360423177794454013461819688855644298565e+341),(-3.358460802266983327249944119855804164651375672957888791411130174690036998137779804061503999349781407981185743879039395422472958595934017911093054599187707782912678871611143064923299740575425319653274612520148210347303827743458673988606938248613986907683901639835870517806965346610337375251430940153546146984189e+314 2.003235635652800201856429377242977339079200574558823088846813744126726533139174949739585855710400917160788775810718640294275874636269295343617219800509304282028315416571852091630476803366544437553812647672850065279599729656536022272259829495506348925833690630152993484586685881722445320908980734592932545400344e+316),
6,0.48,1.6596671e+370,1.6596671e+370,1.6596671e+370,1.6596671e+370,1.6596671e+370,1.6596671e+370,(9.958002711934224536444736165535208965051751580220875761845943134618678779812359810185565093551079870678652390547058581080361747922492991168531228878212402266859948423647647792616812769104008327035200058086114494546666626027269323892157232757728059800544221499275284781958665306103871141836760549481555986452018e+370 +0),(-2.515999491272070520360699510041079598822831590723910084839019515961934144614866623689461990466817161382861906617408841579396112966234922910607098145812221616666856600942809781942658737106555954623107590132844566378133504628820011875265552275482272470518448826865956813091638886046395199328432658065920147791927e+348 4.547736864490811360181926780560547463114793742562276741152640006341869804314312743670576559362534251983844761850955493581389317218286356434983468269594644801626767522857723119944273741759917403147368738111811059127765818102962017675856224895159522929741108666345696989671995462477432170988274798203131768342013e+62),(2.493932687264460344712940872174082138719629927493936098577634125282779464427919677372748044300428133687035989614423831801103634848345498200683264200633866567245390496518229580529302490847033947040501281811729930475190557900133776612324464177306019218319185354692390874846505956108462603455322687297411944258206e+361 4.319618124998828839850184840511633470614096785693179026736885895498134967978410917323346246149127801694839083553207794161253145848795602322122543643797934567743543045218202990025910820742006249628759076225293840364096622032702652467252393683183311251649705788826997379769064394992180504901777898326544508460866e+361),(-1.258052710725976568479501340754185104512921856651096464336803605892771952917399893581274052191961183766941746744608817974489155821005461046684109429235484067297043764390775350294603487359170865594715297004280257786946636201190153505281831409979146484304607966223276904329291270190261830862262347545244226081313e+338 -1.754631399188601588418925948419148593445541716903611148823442148048781535904552839272440672567709626117446387150734123985184055950629840026742405781828348679375411463662408518582827578507714999766664407755737949571622885548902147717139553867958267345913317859532719842862431281060196878382434666123554153330498e+339),(2.493932687264460344712940872174082138719629927493936098577634125282779464427919677372748044300428133687035989614423831801103634848345498200683264200633866567245390496518229580529302490847033947040501281811729930475190557900133776612324464177306019218319185354692390874846505956108462603455322687297463366275622e+361 -4.319618124998828839850184840511633470614096785693179026736885895498134967978410917323346246149127801694839083553207794161253145848795602322122543643797934567743543045218202990025910820742006249628759076225293840364096622032702652467252393683183311251649705788826997379769064394992180504901777898326441664426034e+361),(-1.258052710725976568479501340754185104512921856651096464336803605892771952917399893581274052191961183766941746744608817974489155821005461046684109429235484067297043764390775350294603487359170865594715297004280257786946636201190153505281831409979146484304607966223276904329291270190261830862262347545244226081313e+338 1.754631399188601588418925948419148593445541716903611148823442148048781535904552839272440672567709626117446387150734123985184055950629840026742405781828348679375411463662408518582827578507714999766664407755737949571622885548902147717139553867958267345913317859532719842862431282397169331205914575374466614158345e+339),
6,0.53,1.0857121e+385,1.0857121e+385,1.0857121e+385,1.0857121e+385,1.0857121e+385,1.0857121e+385,(6.514272653964124044364271881359377584368109548136923934907418485255287728470034489986332495107789174957545157072485849735099351684399506607678532886245231737716671524762145913622948416122408133990351752766557316879433413135938565591206738905798918687053595028957088639943561996721976496497098812278830471168464e+385 +0),(-3.802750175840017109293736187808079466835796175972124227658289485432543814348699459998225484620448054094982378345120733738687253111828926998125876613866338657198772532620858183957683882873351430630830325139049628513782363149279020234693164673418875175766015402181164999479224288069581322965972139904255381517171e+365 2.975014041547965848731399642278364613427868786449633810139330110713542821244796015413206069349752400432163155810563252281471113294204117575680877402233523201256523686582093668409991338529174140873951194900345654977302198935851555135851025613035774987271200076393507119172371610395664671540678883930659672484487e+77),(1.232636776908048564406152051897935814235460455561802903046668262823729555979966202114399263101264386038708277352098295810328005665703205601677401320038738474194078280930974200990715912233447013330705197066598223126474755915421217635578025661065264656821789696701977438874024387575015555619754833546947678117552e+377 2.134989524882683554324712455316433565084256675152068803957048814583030461889232826826411690673885639471086005702030134955466975116568612030797015823429763655962679350395425520450027262409886856842979455205837515620062131450931648743622757043586185156869669312146663410060901573150962318467096798830477360772991e+377),(-2.092938072259706610643104739187806528320315187892269001677997837301945327676761720089777552125974122136225020680320328285812739261728161427424705440209019015747845476272665468266529163403607451466064664035231879693100107242056466417265249536667735746357924964316680281269661567960403522613349751829318877403685e+356 -1.874457290687819787553658427506581864492164225647587813443811216563042007519650056630154926176531377737772223603644551031014591126449886145308367263851185161023229772794922084516612044823923350564563291234856185513736511431760752115381226839103639975168399729768929932624229452189782602185460314533825613287346e+357),(1.232636776908048564406152051897935814235460455561802903046668262823729555979966202114399263101264386038708277352098295810328005665703205601677401320038738474194078280930974200990715912233447013330705197066598223126474755915421217635578025661065264656821789696701977438874024387575015555619754833546949993959337e+377 -2.134989524882683554324712455316433565084256675152068803957048814583030461889232826826411690673885639471086005702030134955466975116568612030797015823429763655962679350395425520450027262409886856842979455205837515620062131450931648743622757043586185156869669312146663410060901573150962318467096798830471571168529e+377),(-2.092938072259706610643104739187806528320315187892269001677997837301945327676761720089777552125974122136225020680320328285812739261728161427424705440209019015747845476272665468266529163403607451466064664035231879693100107242056466417265249536667735746357924964316680281269661567960403522613349751829318877403685e+356 1.874457290687819787553658427506581864492164225647587813443811216563042007519650056630154926176531377737772223603644551031014591126449886145308367263851185161023229772794922084516612044823923350564563291234856185513736511431760752115381226839103639975168399729768929932624229452190708938899358844097214181167416e+357),
6,0.58,6.6891569e+395,6.6891569e+395,6.6891569e+395,6.6891569e+395,6.6891565e+395,6.6891565e+395,(4.013494038921186760675200832423397922867402701644987962814896591244175939288249386075096787046040744769405769450182663675734452231454290128196873511817216631583839744584966560147320363762289824440351956103296393594474700586159960144734571167804538627262391847535470985163655990543787458398346399838348027755336e+396 +0),(-1.829468151205824366274518601045927819297424292263702520695102260242914091855200167892831899579229886737262771337237377059630330587150813841093118775599810805469388202960433433389006611907058785445621569349821852522058128435873405358826837249236094996041212726797698992237641606034235030960624192896227949214933e+378 1.832929285542512520679094078127414551013546875099048925073971249551916862149854895940121356513058145650168774652825437149644028365405173936417645423230395090871759314810473923867455632189182871207438895630376717149394906104955237257688203717891648935276112815015065717700847300718294533806854190801474554837939e+88),(3.963874511806426193612757700596070557807930638109714900119051697082901829470916619428465687272952193348362199033908978339044123721300049575253407241586631759514426952745770191068762540165135386758991209159072096875303138935885037254325443405696238105904085461241427152779225544221513444546250358262422651780918e+388 6.865632049276009720591782536636694868554156636756701578611892521099337751930027206214770229650020777869568049250304569686846455716121676974439373607379707017127517458809127878103810740357162452544927909913598442629366875923407022480488994631990518388885138206220657946007446499125448787424594934694174840035361e+388),(-6.416903457891674653985567914248354190053682664435116587845085680658003772488764261033401455719065280889141402638771268543957226655605040054091870996334107012661205431116446223410138168635303893040249108997540630634230173416000035529234175029502265540032498095796799690656732721758494898175895779932123136364189e+369 -4.506356228313944324560860486844173125327778821449589356336916551840217865790183970850840895771780580616987007886311921639696596992137025881876035372088242591518125114916320732450080032440147346611138985771233618101449161987478328504661643535288653754847883568984884170559179393720341380717850865210412466801969e+370),(3.963874511806426193612757700596070557807930638109714900119051697082901829470916619428465687272952193348362199033908978339044123721300049575253407241586631759514426952745770191068762540165135386758991209159072096875303138935885037254325443405696238105904085461241427152779225544221513444546250358262424243215275e+388 -6.865632049276009720591782536636694868554156636756701578611892521099337751930027206214770229650020777869568049250304569686846455716121676974439373607379707017127517458809127878103810740357162452544927909913598442629366875923407022480488994631990518388885138206220657946007446499125448787424594934694170861449470e+388),(-6.416903457891674653985567914248354190053682664435116587845085680658003772488764261033401455719065280889141402638771268543957226655605040054091870996334107012661205431116446223410138168635303893040249108997540630634230173416000035529234175029502265540032498095796799690656732721758494898175895779932123136364189e+369 4.506356228313944324560860486844173125327778821449589356336916551840217865790183970850840895771780580616987007886311921639696596992137025881876035372088242591518125114916320732450080032440147346611138985771233618101449161987478328504661643535288653754847883568984884170559179393720347348596687782650118331388947e+370),
6,0.63,3.5293116e+402,3.5293116e+402,3.5293116e+402,3.5293116e+402,3.5293108e+402,3.5293108e+402,(2.117586798755245226784556582423339032893064419124480702995905122805206266747939706743935122050116824456415930154784900647356512404491634456242754635245753911176175777206799430373347380693190285254130453914349183560075784826131189968723092179326055123421729654155435779913200957768270378076840472202831613920832e+403 +0),(-3.451042289938944058017723307661964502257708656454368082671055441496752440933378729834268604144612631416500366629919500397951901296668013239822864028378269988960553533068719422293378395468305804139749801476276801400544243150677052046279972877918033547416937516149737606617270977563775570594894429589541910100799e+386 9.670842464138831075824944392568449040173882394951604944361456172668335017395174169067836493982550004058533210769021740510746543090914855949827669954492124168336659645467650882972867606948811085465703951527632010066005750314746269355967367810177001932198647923845384127879913720932054932324334860098985000875138e+94),(8.267848198655251373308477572185176290650287757949679955034931370658794548964470708930326806765664695333347292037054754887159369857209649891479283651347958192431004575826784100971578171836226408897024703358269868900707818895325587260334867234993439487251626411616534441405499631139974262345315453808425316069548e+395 1.432033314933771556247357860579470326753961825497932753622484723689055091193788755963318646549523866063500309395512345064831404673777379408146518999471441747861131805812082053072251603594410253542817846984420967277189864800247220284265840258872482514060458852841729129230664788865802234348563423216291141313562e+396),(-5.437466226946583581629628896921379868739303626310844951255709787905871672387900328931132329646837289550226839804961856761747658194759707177348134262401347423657157587246159820191963306146056960084854467143669983701882791249887631690986069346204935107175496922789170745297701358165294697074018037961104762003354e+378 -3.256723125418503271004149964431003347886508324456270915736468839511884698815187029609616606825481766064068608841454412056117750053176185259915772091232518493400590698147842519446934888048187825207881513629893815868680206970453010842830070605724735458893282345125795425407073058725315249802073602610004659254559e+379),(8.267848198655251373308477572185176290650287757949679955034931370658794548964470708930326806765664695333347292037054754887159369857209649891479283651347958192431004575826784100971578171836226408897024703358269868900707818895325587260334867234993439487251626411616534441405499631139974262345315453808426984809420e+395 -1.432033314933771556247357860579470326753961825497932753622484723689055091193788755963318646549523866063500309395512345064831404673777379408146518999471441747861131805812082053072251603594410253542817846984420967277189864800247220284265840258872482514060458852841729129230664788865802234348563423216291007814372e+396),(-5.437466226946583581629628896921379868739303626310844951255709787905871672387900328931132329646837289550226839804961856761747658194759707177348134262401347423657157587246159820191963306146056960084854467143669983701882791249887631690986069346204935107175496922789170745297701358165294697074018037961104762003354e+378 3.256723125418503271004149964431003347886508324456270915736468839511884698815187029609616606825481766064068608841454412056117750053176185259915772091232518493400590698147842519446934888048187825207881513629893815868680206970453010842830070605724735458893282345125795425407073058725315283176871038874224696676773e+379),
6,0.68,1.3182495e+405,1.3182495e+405,1.3182495e+405,1.3182495e+405,1.3182485e+405,1.3182485e+405,(7.909495159863071984270817708969117296141099896858179850785610874769056455005215465796708437669910436129807204541831305650388784628264785232491728680562987865793684466298660113244699655925844831669052192586521147743613025528227085488256327632646370118031410708835227468015805642059087483544058573251785913999464e+405 +0),(-2.566785611316553807200064519480663779700304430454742532592139835206729087883684376858101978779868535565577180399691790664709966416688569433954226179801270929722749037236926801157107827944995930292011119385195404173084126052719439630849370299999216852672710741648691251518815646355090361465961463776268256802983e+390 3.612200534441724459192023346278606069406821409296244991162091515895191476368723989176216796534879325014669194445653226850499874890345865444857653733728330237466327677067169916751621027019660688078404868190098965197160516774650760156960708463987641232453033157009532521557563684816792378656204965669881490947958e+97),(9.846437834770899199748891108023088238357914597521154669024747840579394993299035652678376824109330776551781533524954214495990784506191780531022031140574759149498653265626461675984126787780057052330046081354967784140783419853080230313255535234815934517087192118880735090180994769418187016936704873896879983656872e+398 1.705453060339168352537143885108270651048698121034001067050219257509076020332705304057292735008077373319933265819552550700811258437621544549647401338267299961469309070505829262473760240430918162217701592863886552963644992288947736315696735011639241915903136513897405362017998071415976605098563838141811153051686e+399),(-1.410674925326306492319105583018074875634916601349354757545168644991872591362076528044952626773304000421997007225480628967849610702039215059305250578889326876565049053097334945330543204074769560212314626802954761759548002316657489674418271983774417232623517158261880210527147553955210514063141993610724516672437e+383 -7.540129517277023436565850813468181482687744505618801052222393318337074942863443667525533755969932191356419128780670286238861500384498855841527617313462370843460186692955124870301766899760541519799449984347660959898093226389432176063940790397800375689603379256094185249662024952744323088163048190953499568778073e+383),(9.846437834770899199748891108023088238357914597521154669024747840579394993299035652678376824109330776551781533524954214495990784506191780531022031140574759149498653265626461675984126787780057052330046081354967784140783419853080230313255535234815934517087192118880735090180994769418187016936704873896880496293760e+398 -1.705453060339168352537143885108270651048698121034001067050219257509076020332705304057292735008077373319933265819552550700811258437621544549647401338267299961469309070505829262473760240430918162217701592863886552963644992288947736315696735011639241915903136513897405362017998071415976605098563838141811076156152e+399),(-1.410674925326306492319105583018074875634916601349354757545168644991872591362076528044952626773304000421997007225480628967849610702039215059305250578889326876565049053097334945330543204074769560212314626802954761759548002316657489674418271983774417232623517158261880210527147553955210514105861734329142718320337e+383 7.540129517277023436565850813468181482687744505618801052222393318337074942863443667525533755969932191356419128780670286238861500384498855841527617313462370843460186692955124870301766899760541519799449984347660959898093226389432176063940790397800375689603379256094185249662024952744323089188321968195536408327684e+383),
6,0.73,2.6013126e+403,2.6013126e+403,2.6013126e+403,2.6013126e+403,2.6013074e+403,2.6013074e+403,(1.560786544735219205461414892393651916224880247415262935251781879900044615240044972844207559195436939274105635451460958611003111753118008608055488810018636280281666700779989377632085581101304913895020941728904630088731125241175007342308546528155807848793516738942266931234571620722721100172307234832296858994279e+404 +0),(-6.416853291035079059632715162831774166050501008719972213103719007816762304167940954605587008918768904387990503346664484265293161786243097869753893447003918608573001301416602317766121730640842243336385414895618441289957922974062734291189066340422688680705369449105421365270841527380173573538599640966641631021650e+389 7.127982098846918933847166708458497030882227184163323982591543271747853556787481171310312002813764838341196904153456783938490676273921789598903569526369679172602584626695523950680851348831026332520529165133692554561648609317153669308271116900398248878886869996749051947629564079957564120774841418402569366102988e+95),(5.223105320165028893126010014656975076599970380967866824566170237829062046651906895233993130305320647140425552476872429696439671654269377235745804225890179700402017456357439331119222637053268836289383351143974962104884559877441102879981500902836559977350329537197072899769130493213468692819741708619479199083793e+397 9.046683787809137685861510010904092356212914523493755057031665954963768291883569479176795489393335142329095689795657709830033836682903311887126719374927904853117241231788104342457326775167084746001035293715141064068559438421345647921110779489636239003054824973932419218035157158766281550332320068570226349363971e+397),(-1.013458875418237581127421097754565629015530315899189750995601647827082997826724006471624967611343022022323541921081736436366955130372319819815321962752704844069768836451376871684900934425186627981120866661331316969490020970534571976836326884671503502585165783830727656560947429845548605661984914960232791809557e+383 -4.971611718282036290340600484328150448966915077629934073227986475336437251744797683389558573531607959881763735310391615742617580809896237410672055329440885561906220177929838040957109085000933326331041272548711447022778425245149866775806863865216457943874306356244973255274669133856088553623107298328946876003674e+383),(5.223105320165028893126010014656975076599970380967866824566170237829062046651906895233993130305320647140425552476872429696439671654269377235745804225890179700402017456357439331119222637053268836289383351143974962104884559877441102879981500902836559977350329537197072899769130493213468692819741708619479279183307e+397 -9.046683787809137685861510010904092356212914523493755057031665954963768291883569479176795489393335142329095689795657709830033836682903311887126719374927904853117241231788104342457326775167084746001035293715141064068559438421345647921110779489636239003054824973932419218035157158766281550332320068570226189164944e+397),(-1.013458875418237581127421097754565629015530315899189750995601647827082997826724006471624967611343022022323541921081736436366955130372319819815321962752704844069768836451376871684900934425186627981120866661331316969490020970534571976836326884671503502585165783830727656560947429845548605661984914960232791809557e+383 4.971611718282036290340600484328150448966915077629934073227986475336437251744797683389558573531607959881763735310391615742617580809896237410672055329440885561906220177929838040957109085000933326331041272548711447022778425245149866775806863865216457943874306356244973255274669133856088553645802160585606545629121e+383),
6,0.78,1.8054563e+397,1.8054563e+397,1.8054563e+397,1.8054563e+397,1.8054478e+397,1.8054478e+397,(1.083272092083617559216926633303896508124423947857000438398449208188804121681703370634683766870975527699938047264726905715231990717872273481699064742875090804936165547254433389874053395558168154056050934152585236659657728537677006948757389175212459547703801023545918221106470205179727033734543531150905733661721e+398 +0),(-3.942254351328032670418051141669710851675444193853764228415350602169984060970126546944412311224478446235021878511910495304593930151362075758144395825422899230757821933843584493687087407304974960685810185296997823572761344368487966357401776717506171654270794096905205992721956101985228607598270570379900108925716e+384 4.947213381995584459724599110760093125577859705239669189611472569973274477445194959905308533508095685542764909066372666814498480134242711212913230563973495139463065214254141644751990969757465078663973405883187115853232927979452416413800909626064261774761745194921038929499998206127775707395163472051279962702825e+89),(8.483612368315181141705268948173313364062185617803017314660897027755309920121385298355123607170869496136239830645759637564221231301636380502170234965120633341984157418051923357728137225137506108235526470606307697751477090798408767634069723355009534384201089977434361923252528169862881742252484599709424305311136e+391 1.469404765364162517026490171628453666106888451612914873993911209997600286241182789413286042807945205516265690733049748239801663328148267210746858121175428619812829021932217414925992377954163871513925510432047463734286391034109757880947805706276225380689170120714591059952960392063918257079229208939952538049430e+392),(-1.533921004871505369459898822951998489327130700963373461860430879040310938974237718420856857099709753692991665697796613669754085849871351203842121895406804829195888101027190091838619972247536375834076691619739277162300430436643344593689674362713657547983839865273969083126369449227764541553416306430231202889041e+378 -7.038231202136248137193920956926137962180335492471139560610379820261760672033807840976912429407736087744179604283901783940408965299647447732844613469817254011162119849117893773437706224667526650247281446070584206983719126738506627311769177890470110495347608386551653976115570409588049729745595142946365354229773e+378),(8.483612368315181141705268948173313364062185617803017314660897027755309920121385298355123607170869496136239830645759637564221231301636380502170234965120633341984157418051923357728137225137506108235526470606307697751477090798408767634069723355009534384201089977434361923252528169862881742252484599709424356237035e+391 -1.469404765364162517026490171628453666106888451612914873993911209997600286241182789413286042807945205516265690733049748239801663328148267210746858121175428619812829021932217414925992377954163871513925510432047463734286391034109757880947805706276225380689170120714591059952960392063918257079229208939952526591103e+392),(-1.533921004871505369459898822951998489327130700963373461860430879040310938974237718420856857099709753692991665697796613669754085849871351203842121895406804829195888101027190091838619972247536375834076691619739277162300430436643344593689674362713657547983839865273969083126369449227764541553479963804491655579237e+378 7.038231202136248137193920956926137962180335492471139560610379820261760672033807840976912429407736087744179604283901783940408965299647447732844613469817254011162119849117893773437706224667526650247281446070584206983719126738506627311769177890470110495347608386551653976115570409588049729747122919928616218794474e+378),
6,0.83,2.5705735e+386,2.5705735e+386,2.5705735e+386,2.5705735e+386,2.5705483e+386,2.5705483e+386,(1.542339074655296566291402537849775411656221413982797378356147242354506382763005833620226914165369612018962159559919425444279893093590850876400879700340384783375435410956074866798555678136827966475931150012825921668808738309893830858046567849826618358422286483202167992548078737592486844299748419332921778714743e+387 +0),(-3.714369826026746410530733571369796959017884512789505050671528283089613556658689364346486661089237177003706994063200021172108910335087035658092841902729614086104160947936549655701544634834480421643144972269320986645722358656904811951630851461734639721626762276346216118274725501049877991569850522877184971089135e+374 7.043734040110349300427662567882254018840504021775136780628414717085916471020437689917483001451964995264789286320015046576213490954975080719607478891095254774201432362804141657299817070982880953090690661468186355485748341849944396879941501897183077671118970906519550385784579111222104521896266929421177555728699e+78),(2.519942840683129348898061839842424616589363117975644957305823282495690323780835592987646150131878290019570809856307591986282597472797399502736838953562657035803645699747964755016846736942983979860151338114881347853002813049056526278418734498992059934004651420031996315978903141568029226029806065822397375411228e+381 4.364669032232624883095956008991606280255168315239748506887452327546397216129954222588649150292249753196163635149086057386512251963634424232786956744764916153055828646632374212396326506636467696024718152624916720062785030114457001911274158440838623732829969853965771357521812785591691805541271427831417148782916e+381),(-3.139689647271514205881735927546930437766706250848498417874131166134945350910420008446792618261751795350849559021753761345179401417508171934365840772527473589797791510156673558205728099080700417979126164964402512789683052817287911922753780758542534225964493473715809644435985132594957563476512459549279715478424e+368 -1.365973383890865996937333301269003067804759329610210697398226230050540857252995846200910518312907791803930939931156226394343004074680778173647931863424533388704974654186889280305381763104577928164212506878912302650960206332135166469016607623471324803612692264380597371073198890675888182584373401197327865636761e+369),(2.519942840683129348898061839842424616589363117975644957305823282495690323780835592987646150131878290019570809856307591986282597472797399502736838953562657035803645699747964755016846736942983979860151338114881347853002813049056526278418734498992059934004651420031996315978903141568029226029806065822397382821922e+381 -4.364669032232624883095956008991606280255168315239748506887452327546397216129954222588649150292249753196163635149086057386512251963634424232786956744764916153055828646632374212396326506636467696024718152624916720062785030114457001911274158440838623732829969853965771357521812785591691805541271427831417141372222e+381),(-3.139689647271514205881735927546930437766706250848498417874131166134945350910420008446792618261751795350849559021753761345179401417508171934365840772527473589797791510156673558205728099080700417979126164964402512789683052817287911922753780758542534225964493473715809644435985132594957563476521722916418700774058e+368 1.365973383890865996937333301269003067804759329610210697398226230050540857252995846200910518312907791803930939931156226394343004074680778173647931863424533388704974654186889280305381763104577928164212506878912302650960206332135166469016607623471324803612692264380597371073198890675888182584391927931605836228029e+369),
6,0.88,3.7354178e+370,3.7354178e+370,3.7354178e+370,3.7354178e+370,3.7353485e+370,3.7353485e+370,(2.241236808513428246798217429617571046014430588959414930252346741627370320695086356592996309452853419807885820071973636847230498058533317638222920823606799380370965670928948306259973907024311805741097507819259744093470170405952779856585643691741759531862185806344231498058623170332903653924290291417846014837108e+371 +0),(-2.806333280240745653051522291199674390603258202379025094567187722522259228015052021635315614361659451615715415753744999674491565831937887977209245788252068828786626087555169522085675273082688677914872615408356531730954547983968167850837862707286001437567144705613780520470862123166608633132084621740765469347598e+359 1.023554175570537681446640524335520650301127443620046520539370267571769220857095193234277014685808539740197551333413802788622789073655480161970130482056697362535527435377953010094853983512988854048828458382805192759026443723157261799619363724091074740395664876076505836450334438736570097355147846018209273225989e+63),(6.933809944463020486570709172021464977578733383599145932721128800692688135690549755237080419941184498815789458455254988589297887020861472671940376566127317554122700081969340393750114135567303433382164891201369665912456803856324317864416387198644497125992944092843290453765323025913623019065636088797928936447258e+365 1.200971111383628685046214530034723139603196658801526782237385981359959144489987770430722586777636636998592213242862483160157674677800883371209773554814123414216972711278570951863730520816025694419324703151612966689189354191068480447667444205955627639675888158505913983242465640183212776115006186457104817755238e+366),(-4.639428140736128272071108820623821789934553910236519900440430987801160425703407231745507102972457256303753054808445927346324283350172020696150306283064131471002139570093941639674292905998746198556274861438449175210248811676984080373224754080458387117752824632133668133046542437486743008055161835895586712683433e+353 -1.933650753225769029563250354317149662640013806641150646391988079664640131569323285473765210736199030845558371072191026971609971258730971544127064359513500762005501212619226739700508438883028981622550851211521703068170715331211630328379963167501674191952006366997152919906766015687970962725970909594772924622761e+354),(6.933809944463020486570709172021464977578733383599145932721128800692688135690549755237080419941184498815789458455254988589297887020861472671940376566127317554122700081969340393750114135567303433382164891201369665912456803856324317864416387198644497125992944092843290453765323025913623019065636088797928948788542e+365 -1.200971111383628685046214530034723139603196658801526782237385981359959144489987770430722586777636636998592213242862483160157674677800883371209773554814123414216972711278570951863730520816025694419324703151612966689189354191068480447667444205955627639675888158505913983242465640183212776115006186457104815698357e+366),(-4.639428140736128272071108820623821789934553910236519900440430987801160425703407231745507102972457256303753054808445927346324283350172020696150306283064131471002139570093941639674292905998746198556274861438449175210248811676984080373224754080458387117752824632133668133046542437486743008055161835895586712683433e+353 1.933650753225769029563250354317149662640013806641150646391988079664640131569323285473765210736199030845558371072191026971609971258730971544127064359513500762005501212619226739700508438883028981622550851211521703068170715331211630328379963167501674191952006366997152919906766015687970962725974200603887567034845e+354),
