L,lambda,Z
11,0.43,7.1761229e+1248
11,0.48,8.6269542e+1325
11,0.53,1.897915e+1388
11,0.58,1.807038e+1436
11,0.63,8.6745499e+1469
11,0.68,1.4959873e+1489
11,0.73,4.2293627e+1493
11,0.78,5.6847163e+1482
11,0.83,6.4068354e+1455
11,0.88,5.9906749e+1411
11,0.93,2.275785e+1349
11,0.98,7.0610295e+1266
11,1.03,1.1183654e+1162
11,1.08,1.1550897e+1032
11,1.13,1.0592437e+873
11,1.18,4.3826266e+679
