L,lambda,Z
6,0.43,3.8680766e+366
6,0.48,1.6673674e+392
6,0.53,4.3204989e+412
6,0.58,1.6463526e+428
6,0.63,1.3640516e+439
6,0.68,2.7767652e+445
6,0.73,1.283316e+447
6,0.78,1.0417027e+444
6,0.83,9.6319678e+435
6,0.88,5.4325463e+422
6,0.93,8.0061462e+403
6,0.98,1.0030672e+379
6,1.03,2.4369542e+347
6,1.08,1.6235928e+308
6,1.13,2.1457738e+260
6,1.18,1.5250972e+202
