L,lambda,d[0],d[1],Z[0],Z[1],
12,0.43,1.4749077e+1485,1.4749077e+1485,(2.949815379186722600849464794550354217913492151711406130078822392560483098993911066745510846630236003553753635914689099395741575882600440550316095823159022984691132327936882458089034584549349185146171085116672211222567719201331648407447454353869167349466097702236024526266542300891017102497247404597768222776146e+1485 +0),(8.896854023772865137714807310078974907441933902233042590143870086455657737937221799337247956598181185860496916806951717900188906421073658612830285166539752179777333393617239430625610827162829779360588087942258270233290382679415254833356285784850908616750449207505369563601852483847991003058044677197431475279083e+1458 1.347156104636538828353022751944749175624683241030770036702923145617441426714037400013948667789199493002652568268579442149155865430075322838226848893814736052362037290320603545277839344978607820804735790943522065791385810111135443749956095678598382880458579960345871359564484612684351473544823793136648151987100e+1177),
12,0.48,1.2176707e+1573,1.2176707e+1573,(2.435341309520933243571464852303624529981075288358497902758756784106486869416189223982246949582716734828963732709647938624618395301170339510280144132855801387211695539921001489601628204795740085082800085059380488951397225748232461256493176219396771502135729785403054354459902483252729928156322065255254988024823e+1573 +0),(8.039714195100490827636827422277674877044271862606927208898745227582302707574604280767731479389423006398928697509270935114956370089530740902328180076964730159226934452462773150902211373692081179305372808544430805155908237321308894833147174715967894216050501997635800854242640488648055440530962497134860204099696e+1549 1.112200083823278130091918049428072194334199218090582899801148470964674620534679129820762258113373125768957920652820838890587412237926182345847035562868699711693856192176614446410721810005945904415230564597263373011722702625379204378866458231169765567630250524760760101096107294944127138282779448409720268816927e+1265),
12,0.53,2.3623558e+1644,2.3623558e+1644,(4.724711599184103992491845081739313057043145948093884940465522287399951446090940932540370863161063409946793849953148275894036494370009216357361136079356638180093615970135337159731106763873465238874368151503208307989144133680120145885126337248724795683919227584808359499637493563659602771920787097035518430719086e+1644 +0),(3.329547153388687258432729925000791370400156710894187777029600042408117490911307868056847809191661154759416872762184575938747655954449348291223085518066058173217355536417577068459112873878469724075526046071965001910985854518449387455335338358737059120502950418336487533772883619015828634919931961056450595630610e+1623 2.157736419166262453324854128927926086930915795993319923741406889530277290064891086431052141883944021213258153832954842981012787362029601740435775546586750446650808193773496758396204847817061523464089825285953498653765104116156550642287492378271451897547514162456927803242796840654814087712396530758894457902006e+1336),
12,0.58,1.4296028e+1699,1.4296028e+1699,(2.859205669135512847099062902508551800249452302835664665142218965296320739596408893770860087167560593872442069341171669914653747486433819711965362658507643509774567337154244575036170705717786841812437379968241434838508993145124413493567128488443092343815490252796198639900141731356488488811379228579437479092059e+1699 +0),(1.524027292939615955832207123942501417623188218696299253024750896046595648851370345589426340857570871022897754907540265248775267908270454736968934766256503306527975640761345247181989111555531433816899916326365537473089895124180451777893786721134564658555350820886677254723609807487260723241661325251322480211418e+1680 1.305775405052387918216832090211255328902071448995591203725270589536188820466560302214777326799141338381772273912292200240941229011454414732525230357598169547209623479872646045776342328258228053185274967934449448288723037867572756527623665703974661495936548244468915460489995198320047392754236486401948538586183e+1391),
12,0.63,2.2316549e+1737,2.2316549e+1737,(4.463309845645462723272796776935444931351468635489677934082176933991745911761246430859911385020348581103370379417318733370674385521635134385958155165735562549343617113435338826513077123572971004338297975943470106621297776148842347053183405090118180346016871114483293289266158546553803298435190634502026108443079e+1737 +0),(8.549122841530250956416586273577333118358119303287358614140968215165463238000930690481623547265878622154797569697692227744062123788896404219518569159719858901411058900333572708636142130133190338494283315990353922492719332397037547630415164940484475832955252444138911245337882169775379546634146164125653034063835e+1719 2.038356416428814653703213571998217572107116959762804705843927887326267937412709897717862576992371493739357125412028808295890367825851670915862187200844156004495919416158284842759160438571160060577361394562431753138953305476841790367233310090225057496644532381478503623859862793859866450524816112706941432477009e+1429),
12,0.68,4.7461838e+1758,4.7461838e+1758,(9.492367696828141747106356914282169195177623631848447720550915340332362016342151522050973565340077686772550553959931578030329858960216255281845216697936313902248376968207390465499562546341895483897623480083251965814061815681834328666358883214370172766310796565469900063920794042438497057642003550330217294865538e+1758 +0),(3.727921465407948810008137902175711403269680879736497745993417949785641285199208775961336074754789577105989424399562921604693476323317362526094339330607775561922154809174842506726358352969688133387887344271653129739325842092885835648060092615079735604840547384336677805421525111972036552151748255681275391817298e+1742 4.335085232948490337983675378700394898228203334764893468589458134658899996170995674126716627954250508329536120883976212887582159577656169782080036503426251342652453770436621717900791713033024519794161023992330287286269001215917427709796887233648778271432846326343500022750550668162609854425065849879276849583803e+1450),
12,0.73,4.6004752e+1762,4.6004752e+1762,(9.200950491123379932860526674452569764525029490900741430866519515019469933732700702405874355159345476697878002120945170076079174365965734892876796447064860008293540076426193039493978074428150018337254025192963592806535165831587194910342993730157050663970657263971525900958187809470334971550097526831023683317786e+1762 +0),(4.788266036870218765766770401453569588746473042864565700480829871011629357521223738942148141211543280630721827012983444929406677141599481288402338762994451766238227043569803410292025597842594137415579050293992264534570810854554465926969244061746763778595666495137063808076229239824548696003632358487285985417750e+1747 4.201997423307489984048072201594462862414087581329796686060219155786815779119837551436826631666967504980592463334739465262514594222524824750143115431157751653402877431610901483709301978599825242658573356474845966864587143522479539638900653296517938694572675274514688771921435651191588759744573035011209123442762e+1454),
12,0.78,4.1488932e+1748,4.1488932e+1748,(8.297786368134250535136509824514504349972976122433187631803875564606733396514263361833720524661401353548395035104604057293918024467882605573518871403721634769794607386274112116866798160714702415238275947168012475240316843228082046182756646895903201114997293098990511571000038659694403158079165510375869129578336e+1748 +0),(4.041940216273823769797232665024063814165328280365494603157223303386672747822530092056404244300383973033265005137797403102179905036245816610582251734866736372600792385796700166889629605972868387900052004438900408121787484079255132279183064177599799835441885315562219147916522798183490688894231298098885163114973e+1734 3.789529893861965855439118872252737630752175850479987471882930270919553517630685945168637551834856764940217784655468448642408752038514455886341789119764665020274475551407110741887470920544797079774469859546566730185263765282486836681608472425839339690166347755740608360016437938584669668118557775866442560215592e+1440),
12,0.83,4.0522816e+1715,4.0522816e+1715,(8.104563266812975275807302289680042594616037553711502539145123133352387711209793819985550571892406825893813848938365414100472365377611028104744522836137852718786077257204067642947090576551661762909605051718260634065322590140511787734180254257179122750904793416513059355853545873967343081327127411435227841454423e+1715 +0),(2.786615609317225598883350978436791696007101111550762829325907817379809518347349741589598459558186574809503635757274388462312352382804745934915523919692080306730139458714697289118599706675218664021887761408581912093335800090831536299235828108852948270674164770298346210005547067877398784332917600057025719905482e+1702 3.701286513500362434194969517096129058763004791991801117492994695160592213490662787272587557208305628359049062870629517951048864440756972521205836159467776994886478759712362621137065200877315220911043901216412421020417396191544206501680820996376510656986825587020025354031835346654796881837776412281830384185068e+1407),
12,0.88,2.5613693e+1662,2.5613693e+1662,(5.122738608416568031200055295188567992621631941300176948010094599288567648295383598094376875074175032512752879143032523801931911851212504765201530762868125008616558930372046599922769686632954441886152142925198534484722851233678399624664804010223937610386023288282525689561656115281462448318897594485690010123096e+1662 +0),(9.848382114687337596235193538322076185315196976664822557417622903013424547048912033508575451108980779038345930505969134466357268491234294999330428955256849392776668811126580917974597328704767429174759239800025824487219209875425099779674726299798554073867771449840515937504290311021426505580342306778620857049692e+1649 2.339512037762516840720690240005843175341832614120442671147703282653519046149219748298146830557229463466659516533113113602500358361468682410724505827421392403526769879120877707825683641176750108259280774633335602923440033624209010132787326137674518050298301302621748806801587945079002641082082743756823070774604e+1354),
