L,lambda,d[0],Z[0],
11,0.43,7.6632642e+1255,(7.663264244512541494479348931290329772083156105066140257502683412379059213193047923739746307295220857907141089140725077468657049437614159230473518178222922704915888631937890672835338428135882011069517638504598788386098355040416497100930425568781060753966075270402168581523336182880467865760834684672499597815620e+1255 +0),
11,0.48,4.9146304e+1328,(4.914630442991757651176273871655149647063070101938589895512158884766575860822880100839628098345835993304021097648312247084745349265469764725438059720813353039539123724265269460494860212032356659925151719394459357856914322674368208391805287002591178731944917789427305572875088621896912628556255961575035425818402e+1328 +0),
11,0.53,8.5251183e+1387,(8.525118347476162686413063500765987074781014112398650352598786435129554824976544318838389261548131348610719891415580811032622824664742310600511641460195162392827409144504116865535452698746038090211784277747336900874855869423521490915236138133096780503186957432471625744093575065443476569192666900844638175901710e+1387 +0),
11,0.58,3.9569205e+1433,(3.956920471642944099339682705228948639829490073404862425449295858077519991958796599864236947931184287442750063912981342565475854425085488914124921534135757965796483234575970539478017771604905015073518427138120677915520122782512029226505159753129951062935215224646036499383665733698252431824021228865112766035826e+1433 +0),
11,0.63,3.5408368e+1465,(3.540836832393111991647647572034333868889735109456409783111435259699092820576375624703206901701881744352821036495203992994798313069264731066352967026391090318439098618198621346817297528541666099823926375525737501269954016997409742914888561836044180312711282730892337822706110511560187843392940862626865752460733e+1465 +0),
11,0.68,3.1750629e+1483,(3.175062879893962938324231926561234944193528338257119740165225000014344523779147362804111077882042932566887324830711272855568768345806428703049514548001367775739243994940916183548353943996575916797010906146344189458735804996640512187625133047837961834858593288719483198093958623940154124080697272996971516714720e+1483 +0),
11,0.73,1.0437382e+1487,(1.043738233499079275870808237441086538587168114300859152339442713996155970112953810528223290181745671470979093119778916550224710202567671416306618659655597828693637381190965093636129968897723850893675862179221143445921625052763805903805802913065175047396602143437948258869895630166194419748982835685719550421155e+1487 +0),
11,0.78,3.1058091e+1475,(3.105809131344174790044160470567576005334282680857517398533638687607799778147794373371332371238761059245945791293812302303381021538173488099564215837185734928034142259614180476143784953980263426548186129490807227125213854180410351498306496349560266832406121027144055217921008389418539721964532274724512160476031e+1475 +0),
11,0.83,1.3079961e+1448,(1.307996086947059920567678677363477450201907151331683451378292347154950066855535506984150390301556639436311132295808309736304739345694542717531230664019979187178568920809366488327598406725230533155238134108456136446857942504519507179258714551752271255383359502493997327175992589424741014844091599456729249372047e+1448 +0),
11,0.88,7.0346701e+1403,(7.034670135807245395582514943584948898661451377552605301567275724034360419839804926447173920927860709437456015310672433917610747250223719015583930064673092584046754184333091964776543130910332526752716516605401824657191654200079976129984932555830835494279227492552539700384459369417025675801685131687428979491947e+1403 +0),
11,0.93,2.2019067e+1341,(2.201906723881715695628477563107026954026984635149279181271832723834754273892296853385472995102336860156344836099226934811479843176935058438740657108306917866970900818451865604196423902206588314451346391321130644881447339712459459589895524549887392485388963325466037216747411249587205372044368604257348405089808e+1341 +0),
11,0.98,7.6177358e+1258,(7.617735786457710880529872386505254680041990154366137481624807222396488765486571346797366207920683944023816716367206865751475277606221064483837110301908255511345105300982213387698717235963872805065220895388381386886655033948490553374155313707682639797625678928131830297305385929863294004267662485176939606236383e+1258 +0),
11,1.03,1.739609e+1154,(1.739609008431279826052873346666030249551407020484550760681550625363838099562496561989409280846516467552711910961472502577702117424198222063125382257478632985939806525532643819448596142649612985986461849387981484864984933783878709592186070564111190776727347161264030978916372664907456523521930157358013328470210e+1154 +0),
11,1.08,3.2295063e+1024,(3.229506340728050042875333029504342269482114572967455427629853535002591144119203139293892378529502145965192875674827853547192329797632143869269824089528944773313260916321626152174066360457986248784433413274101689519464235531000112566138864273902563376122467202059058759884639707037650939785965784182515211734586e+1024 +0),
11,1.13,6.4466064e+865,(6.446606443855318633179386430623840582785188178268601812114379359633978762236567794388285005269673566571260807932135377926694537332117045514857520332366727219305007160848591239130172647755670135766823550851610047915953466939851660108556880160310927544381965669469926621086742102956470903423179068472630122334527e+865 +0),
11,1.18,6.8797908e+672,(6.879790759060354339288721479699133738075619832114299484056091812665274647266233305886337393370789861527695456708753976014137285406492462283049972074780480756819513758454810362593355545265871911603301909445413233790273837694962745059781470359422566198317244927700013852317997128543511898538183331154693408759585e+672 +0),
