L,lambda,d[0],Z[0],
4,0.43,1.8717243e+166,(1.871724344781581988586476321940259847601064416057941618888232287695213079394980395377944636299001910358493650881688805913273202626786984084746324154747031464361466089419626409438474503979751693098649712229929353440488813688641029338032726865647586884196842600856823933492427643619339312904807333271248177945461e+166 +0),
4,0.48,3.2959927e+175,(3.295992705072766520373838672978928171944537567376601775563575747366361678613934682930625458368238331833398348389823836780817307824218470221004667234006291282504372905106051370599194695015905714975951688021827758227580021726614320021107239027598157142765474011358805797761639335923204181220893942064170624214676e+175 +0),
4,0.53,9.4626843e+182,(9.462684312588384823016259369141232944140476319949007718871740688437795074249128450084246855937415296411028798255310869320508442679092513794545330991316952549499045807519121740241845847413891460061688847890240978455539008711878687536150192380066947793008905692751334731925735275853572602831179257981299315170084e+182 +0),
4,0.58,4.3741253e+188,(4.374125336796501070927125371220123637293079247458752166471685571979494311801593899989516591093969671778200998851103240723729785242514346807219081982331052878400445861589943900125537375307851710165436630569003656696439390561560745652827423915634427319285106982891414840113034607475596658598703532960755209358492e+188 +0),
4,0.63,3.1069605e+192,(3.106960454505149510791432315397313430231776773934513656478611214209704327381427122422175137035293709536538413352424698248280337103397821884354256033457464285961667961638302336054921936227753360722208885119601999648313344560299672975840442630897223275012763143397371579073276312874874779306575100706269780823479e+192 +0),
4,0.68,3.1071401e+194,(3.107140094164440842654647020840326825583449944795710052914902788930155740045481472314572155899423145714087215541256454480527744363088960587289992532840940328717901769373510144420274542992675645856057399801618418718843324609231420167884252559011159519128292634242316346503973585838626118036275121043265305342049e+194 +0),
4,0.73,3.8291945e+194,(3.829194549053720304179356674832623718703756906567531704340111283426636286779947757915995144694538248952461685018254629940195136196579115420088191201909512043927705823888437223710838645282061026392243556867446188253142385231674917426095943966268314804434840667831944322717653127379473209824209535723483374168684e+194 +0),
4,0.78,4.8331439e+192,(4.833143883152903216466757236311509826894551238564663819957356091573272519489030857165908736346762312170667893380696467651745068132344406313792066188334338871413854548765141501550411525413151384300492241611220606445493517181954356252327308709260942594902174009792749902956399609643519697601119722499169165401943e+192 +0),
4,0.83,4.8887345e+188,(4.888734502017599875654143627864975037754062420549825277169006236140673365437379755287860729090800815424981405646693353253975160885535425778577750770237789855091305186824818842568983799463673987927420968534051246192907207328095242649411725694274713543569389471142407124022457291840847783139275072270460242261715e+188 +0),
4,0.88,2.8839786e+182,(2.883978561582787320064555881300418283618862606167404096333030588145893470168897761347546991302211755433613736555084256516646118385365018400758067095918822233373598409652436846154690573577785770469140068171747105333661314812880667401521194387277984884360537573882279828529923157074079739157035043193584528498518e+182 +0),
4,0.93,6.6002047e+173,(6.600204659088329323073341240193646719989922538694563331848895963880864058869397835633701049410505924769076608321747863468683898284369076831557563335431591366956154562478015310682356109930089917716911968288808909946009905178194843587667311344183689021259640788128594370386843992361608459219050357073888761816033e+173 +0),
4,0.98,3.4747521e+162,(3.474752125235097178743064839776580644625205586503870243857355010582402833631520484724902794317012581116268725679393001294323182436569979821746394701760251354821101238899006968415707339528936928849695088748806339011306836724085277190151230056303384519817616171666762955857578586157963686150867426504040592299748e+162 +0),
4,1.03,2.144329e+148,(2.144328976457395290879254060930576619034668176671779830045818962622682232248206191946089831533435349237505762425121563131210158918545681958666984558279887009764014791726240797310291059959057477088731147821096889027044142559308181496259108702377376350852347850086532554110851787454021392120524860624434980905461e+148 +0),
4,1.08,6.4279593e+130,(6.427959274355925432132107210458053093221575974118113122589427456843592048351309161185247139124723219106870556731967626053813716804793306756192686783480902208114622411837929217744299578962375093389978608009182690909245391635522040629005138071974335153605870093189235583716502997986410423307465531479847986439313e+130 +0),
4,1.13,2.8951254e+109,(2.895125406436776417597766463276321303116140550165267793773970433256250954036334779315111304025941406974431611955286508884602019101579313022669443281333380745276797672835410978186940758350922697353111599018215167039967213537636068441642322143079451242323920169382953523173746963247894316228613500906334457350775e+109 +0),
4,1.18,3.9383161e+83,(3.938316097305107970722932643632009714846899721320806752424467358941588308009011972470144200171146665851713576368187075735833632702629007042179896599031357477254171816117674607447521353654189083329045154447236734596592447581163736621207699828915101058346412803509998012155284797352052249776542318850137657110744e+83 +0),
