L,lambda,d[0],Z[0],
6,0.43,3.8506994e+373,(3.850699434299166547619720650499185287029576510338858316795721880149562350786366375379942259535276617634789642296532011640420433111684246670780541969419621424859609876439425167144097059100049043767889069400805334069638308856435168743243733672779232605660212839090830089279514619044604796232073393222032909182583e+373 +0),
6,0.48,9.0534992e+394,(9.053499198202884535178487262279057885720509503387374521228779330983496552182618368908456947032760002806274726751298685116061681519249787304447739444781214180490909366581020162665120819210922770204785479165884805902889852233410917837535239305541328415813998997155893509523184975244730675422586541147230800605534e+394 +0),
6,0.53,1.9559349e+412,(1.955934876538660293085830741472238128623843642511200355394447252665569218296103902080661307807483922810164837426070921366355337335853300907528770318868912779891195849087569160620656339482136764059406886831996970552170865246912324832576505892149639207904574397384280651460730316430162364173021572946236302636176e+412 +0),
6,0.58,3.8670272e+425,(3.867027239339197141753605337201315989172126042900416879691406367888817387585958358140969364627788714851742850911766326618777462769864013291990935871617543159332771225217499946063414202373933465471068660456572683960804092343181623183449131903685908827998932561775822555944925481069778764356924262943570475727417e+425 +0),
6,0.63,6.3432119e+434,(6.343211939002502989566559963032942204454051817714229803788337163900985233119143587415185797620621288186146444042258736740172945701189892363036144146555953206639393912927366662818846434220589993477390162019046922205468032674872547327461489552282254994886013348785075996281097258237925479418803162271721850362653e+434 +0),
6,0.68,7.1028016e+439,(7.102801579687064438575808334782748010217610756195514176737649325050905614481868347430734693839093025495821058223004029847334674135203995740391674931126607512636614999794577226908109349012725451927282434663890213107681305997573182097592854215254719058400963410994682145083111067201629326966128077663557112939613e+439 +0),
6,0.73,4.0242609e+440,(4.024260857501186124785611435849432045480310157781358586818100779988430231049020163448310316839263637987475687198809001571895535650799619870564551523123491848898367433142728949836137182077505413086965826272651523986460336815920490215513294838157088648690546818709070365830675667677987745775887174296417238771895e+440 +0),
6,0.78,7.6079461e+436,(7.607946084032840152079145726916465684202799594890532830678915873668297305945778847925259750051098900447663502799153073295454306220764432171905420529429520119161803671611286969266422724508224840411886853545320167076500816005600684752256699485730638693569747201627289852169820812971601987497273568125370983380761e+436 +0),
6,0.83,2.7628768e+428,(2.762876751774301876424934119465419727199976280177129332809253633017616858697397068675436637261841719670170207848866555198621935684915481594306405016404806203378928360096550969809682658738747468509485971163321108738611091649501796627366862263179401515904786519140451421858950393698923299113847289556567266446015e+428 +0),
6,0.88,9.4226259e+414,(9.422625895866381243991367618387963235676992641158295407225292763234984162566149170907120139736102418701246469832567212139703405234663156540340876890516806089042235813624212764879260569260379431924154262368148215677034460931463541575770733118549237787248355253693850420086255038535232100073436673483307277337625e+414 +0),
6,0.93,1.2042603e+396,(1.204260302576412364955962129744623334175862395742676348344805099691356352521216988937170241173206360552182397260866837676345339866609162409300203509929233482382605163531095464881593588557596075064680316826208580242654652768749307391393696604326689061390434266362275153309234114371669913903878643473746865961396e+396 +0),
6,0.98,1.7744852e+371,(1.774485155724953204250228422249225402484168959681293575359410783914831922927967645604160150172630145562862389466650546070383147767118154725056626902341112525721033640361016992819862137539338827454890780724884474687810897881213623875488300617852690739777532013564470193277861965414046828310812588649100634644687e+371 +0),
6,1.03,6.5781748e+339,(6.578174835445787978510321768958283171928137296302146125577105052845843873988360877275152820239209826208739376405552784001498666628044947650127079454926574765895672744739612176403831040030204900753688508511211935354580013327254012630286317599811815091855706030587949367480526326464400672003575757370315915624283e+339 +0),
6,1.08,8.3796359e+300,(8.379635914379871487438465277055771288595178700857301000570313166562515013435600891460440632228084199020659470920149838795999580051341178229571079206228253369987935866508906019193460475308078452895960432947187308963359316006396451757630694926578900131404820265857670620156653427637025965530835931086183502369761e+300 +0),
6,1.13,2.5844799e+253,(2.584479885159678297595905418684468313231236592019991673294133217305612124307010210993905768781377517239715416256996087801614212995752018832069214382439112476423931763993258532405342583920486925684835209781679541676212549098961637847328542443113967679658838443014053904725900587275368911341351162646800715131380e+253 +0),
6,1.18,5.1369745e+195,(5.136974463294335883005191795018494226182934906548734424853552864043460272350108075670723067551997047974545343585946665043220239160178611684578933513226909212200440965493643183034318806531982433680699676525629732218673245588507291530610583631687593472070057905187108976576880937141205547221201255798891913368381e+195 +0),
