L,lambda,d[0],Z[0],
12,0.43,5.5543585e+1494,(5.554358480107331115211726026749862501695780862556436353379634200556097020796884115954347490238749064566865575659979794709394390102182067642197744764900842074909686606554791966973761078756577491737499714545902570818803052939589565042395050810159481548059357941153115475116656916101996347184611221920411850591841e+1494 +0),
12,0.48,2.8967514e+1581,(2.896751395386637621552374968293565226944381506916117168603489662603190889325978492332773255550920297585528821332473598617812036326723222061303095719320222888965118834901631905571930514332892963235913078503931113442237301120957557835319310718865488082567017260345780473982904264580308866487765637390634583832351e+1581 +0),
12,0.53,1.0777778e+1652,(1.077777782954547057633919060677467558421487028988673361358122831533566719984893765783182158973159750790614620013559280975939270934171482026426006176105396625644035407149100211681500997179358960283211393115041365807758956899343219317487829385402962091560229574249930665195845129458131798065563604155577208643796e+1652 +0),
12,0.58,2.8251138e+1706,(2.825113802221561218001719205778902867017231431773667805063566752959433753013380533334959192103247671653071796047205070289682979938595778691420374624571175705565143580696817291772476551526009727377272251202747814651883934819181071684804453343881072021779276066368024915769016114506726932500891734254988864316323e+1706 +0),
12,0.63,3.532737e+1744,(3.532737013397977007585495116668497180432420143351571897800855829381843089959636657047504062154465041221063434789818569851599398786657279958057019726414039725769303982815769998807726752404186719708389440043914030962493719776550339249659603943063004458318139157986325403950877157398941427686050603997255595631029e+1744 +0),
12,0.68,9.6741946e+1765,(9.674194636472138046288154295372505329430432779543921503344848068741759613764714815222895446305267559372911435159554519353522768463853382430459788763571962137216699867743786779642087129330720621953807711128548970690252465266408307597874195085425297055021559169661305572495247936970343989494018849735767430481826e+1765 +0),
12,0.73,1.7534332e+1770,(1.753433237149904256348000769324254904457893145549694222263662343049793393733483009396729717273946274227169715418155427679310259095879628585743806590952796939364925033844272541833912433260146767077572531137822152464047126223130613520873782328878931428648114238650022999058816817092993728579132476990806606652427e+1770 +0),
12,0.78,3.9816702e+1756,(3.981670198310704487273316952666169808246880943619856778049476563430339796506955613219790903058024157924373901098890246841407132194348089397220079508868068295474307905348310205944031793208541377237289516750530802741901063483394589313758652435163532165696085242229979479690396273229322252854010969008345030804048e+1756 +0),
12,0.83,1.2447873e+1724,(1.244787317924017161109919752549248285699358034786579266032301447319820359806077795000451477367905080900589969411915311272440772922834556040633359542096135428966191521558535091903357571871190182133669540198961558766809706843111871068765103274603984426294484120660931112333358777011266019192486339626165736380759e+1724 +0),
12,0.88,3.0604908e+1671,(3.060490848453262683447882250451057914646436601727058017986913735784759237203409500584943997770408547680019759988451376136486492931317385407055529397045124505202029481233334103205403751517361105334514903387100022111414294006903013364346638184473861193822242495492385003406937153627589069786928302697280915828284e+1671 +0),
12,0.93,1.4994106e+1597,(1.499410563270452550775882865613886706243783919909428638028563468903055121499164321929140911648897748779992721576792588332889582909505637661166100554330562142437563249085209328580044537734492960092028207244916404062491756525160853028426387388378558453725327380772892962828133154301904236380251432648372462990983e+1597 +0),
12,0.98,1.3086115e+1499,(1.308611494076742793402146030456235178086256663024057492800387391672824882669972485796630048657878470312443713482302520507290874279336815825798137966134171817209563438945782602704194381386815166255089001689980670627963981369213759254085138566415310502100150759684387753177056364514463467799621435181960692367224e+1499 +0),
12,1.03,4.5900665e+1374,(4.590066467994379369059692423293460827754528683101810100848759345900621810510694787230807214643323194236231922056095648169540420227752349509368472236501776100180091622625597325561541875415346611042767433422696352937978102791460163803453010192719206033554827761745725176333020520733644392428136314956274498856149e+1374 +0),
12,1.08,2.2295649e+1220,(2.229564854214337520319550704153220750853729547802098110555377436353849399846624903019481491135735547091779298838040981720470956800536981012334177643707216970304015118085392895364565178133192560480861710776617967731465440607917361892010278577834395909099705239741029171086699087053069461419306589104567022074493e+1220 +0),
12,1.13,3.6302036e+1031,(3.630203568030306679758298748298288308187191106584576451846608206355054181092283642884419198414743046646782614218679584810916789385576252480836695098754475116076624626176940614635691301830544702369246953194841785333438530298098648247117086679986774888849152900006370107496306551272953549805061171927005928411556e+1031 +0),
12,1.18,9.6567791e+801,(9.656779061308138481770886141437972500308393896679837646515833099024237089965299128439003417212798778431498687665193356849195555331224081289481876703083411905368453824647315935929003373757565264747882411462566866944835132898488317597916759310519803752391183280650417637010221395563458736860041741059118764891584e+801 +0),
