L,lambda,d[000],d[010],d[100],d[110],d[200],d[210],Z[000],Z[010],Z[100],Z[110],Z[200],Z[210],
10,0.43,2.5040829e+1021,2.5040829e+1021,2.5040829e+1021,2.5040829e+1021,2.5040829e+1021,2.5040829e+1021,(1.502449762738861436961304890282063239476449476353008872809066930592468571332434521959287804659227282510694428645005561022851961028882346423147333341544731796001094088813800271432007272483645683214887080531084110213270176131543215171101844400574743402304617005644272905924187176335722467500809519051570682008717e+1022 +0),(3.013167775527946797051735728570981823301683393602276128028051575974110177743559310695919809235261988693441775591494187154801811942317792148854638554658042558305040910736116306131946722231831392646225876143246672101084756136357957143956708465315043561938395599172052455796484934912201579933212187708267105762540e+993 6.861562876322829245883430789223622598253420113284498969849642558607966413813055147378999504475167058843174817745504386760318325360431918237510488929783219232073697479067785910449241124133548547465350736291295784851015378451109026327693653475329638895862111488051483175428375790291770350751411036488743608935877e+713),(1.055681179240883772459594884858388637366941763911929734744868252966761204238370844763467256943761921492841783134968839172478657158895088662358426190991974393272209049520905804581830541520845201335695747075718388739284905458282977449607809984059682911354394133651722920623940056269428004986347826907907904501095e+1011 4.700195435383838016180476922201458726258310648361635899418761967103282897713514127619355537958285715778106069827491354659338526267497799937418688874168674717421116186535558937329515963490977802189702016265784379418372605518847295861918929173567054076342985439240895396198176440859729544874362609620298798909072e+1010),(-3.009025546400061477409407701656422583296165660316515604864305112179829581395897494841739999365424248624272953908394658866291981306930660632548497107907484649966394415534083041334788846180135398387240569538531639540131611733008510891200669597803196670635506212895526629555120209304366498551520069183985516549515e+1010 6.758382030831765054164734362369141083243837940859131571471903899296114911103479073247530887069331445173817309523181870914862132416733887478198683706015948293872767752129114482500015955513955848064355169337163797813912276426435499780036093465134469807899202826292674138939206246248308735553921917076521014479819e+1010),(1.055681179240883772459594884858388637366941763911929734744868252966761204238370844763467256943761921492841783134968839172478657158895088662358426190991974393272209049520905804581830541520845201335695747075718388739284905458282977449607809984059682911354394133651722920623940056269428004986347826908736248973192e+1011 -4.700195435383838016180476922201458726258310648361635899418761967103282897713514127619355537958285715778106069827491354659338526267497799937418688874168674717421116186535558937329515963490977802189702016265784379418372605518847295861918929173567054076342985439240895396198176440859729544874362609606493057707453e+1010),(-3.009025546400061477409407701656422583296165660316515604864305112179829581395897494841739999365424248624272953908394658866291981306930660632548497107907484649966394415534083041334788846180135398387240569538531639540131611733008510891200669597803196670635506212895526629555120209304366498551520069183985516549515e+1010 -6.758382030831765054164734362369141083243837940859131571471903899296114911103479073247530887069331445173817309523181870914862132416733887478198683706015948293872767752129114482500015955513955848064355169337163797813912276426435499780036093465134469807899202826292674138939206246248308735553921917054431828557228e+1010),
10,0.48,3.9739912e+1079,3.9739912e+1079,3.9739912e+1079,3.9739912e+1079,3.9739912e+1079,3.9739912e+1079,(2.384394718637993229122946103198389748940701826590947957248807599394529079620920432979376547175625948672172787095580992872371555495956738689597509415708938385386143486128268511484789281463921932254258746657632899342465998168888005451449333567906809716272869192804151489107679571254338653641567573093046472721642e+1080 +0),(5.953027828386489622529169314705743688206330076906505400461553257913003832707394944459589231514186740758384590051454714426311345457411146415973181415724784852021219189320005094791741910452165358544462604865684112362394789284992323690200293575228119704875509237273959998685850118157584960352283347606799681804873e+1051 1.088933200274350636284364252499136444745318257825242509922990432716944450404089627212591462273403422706617808128093511128550357678500464503573022308352990069634242078144572496468749979637721649945204619511036085711302889716688799033641518860098624564695395475810380104087739729848674821517429081058805586189240e+772),(2.422133181891231035558834105487023527327333006714645021589108685260535486601297663371447346000745704569155922995150614955694249314665091087560555277016006433455883810285489557670398860241907348938036243047254019415014323646112629858912985109070033967686465997143537908065529167355329678801941739843225340286096e+1070 1.078403172215614287442845245697024424110982489659760755204123688456361297979111929257145046421105144283612931366239413429394869739553585065295645117384355156610322025386689331334849715768770174513514636150583371424450189434021068024204114584902856893849673071488311719047804338702996549824566808228925515153214e+1070),(-7.392774126287119292235837552862696922258211613717084022173930664183808664807519670759377590875288041773768787189037253533636722111756015994173591753236158435370694557978190648460831214574443650051960813368303855701043179164405699066477003154551723909960390928787527101615162601716736783511670092456906287868046e+1069 1.660444254880848093639145974475116463212017498117042250601333974296987744004117294327216027685013826859331248235832645390626730345064422759989414693853965408619506417762883763818985494572376262928439975839034625542624130301266882470610247960288178310099564579786054861375035595838330352015311340795316383100962e+1070),(2.422133181891231035558834105487023527327333006714645021589108685260535486601297663371447346000745704569155922995150614955694249314665091087560555277016006433455883810285489557670398860241907348938036243047254019415014323646112629858912985109070033967686465997143537908065529167355329678801941739843363996353384e+1070 -1.078403172215614287442845245697024424110982489659760755204123688456361297979111929257145046421105144283612931366239413429394869739553585065295645117384355156610322025386689331334849715768770174513514636150583371424450189434021068024204114584902856893849673071488311719047804338702996549824566808228648203018638e+1070),(-7.392774126287119292235837552862696922258211613717084022173930664183808664807519670759377590875288041773768787189037253533636722111756015994173591753236158435370694557978190648460831214574443650051960813368303855701043179164405699066477003154551723909960390928787527101615162601716736783511670092456732967783936e+1069 -1.660444254880848093639145974475116463212017498117042250601333974296987744004117294327216027685013826859331248235832645390626730345064422759989414693853965408619506417762883763818985494572376262928439975839034625542624130301266882470610247960288178310099564579786054861375035595838330352015311340794969742932742e+1070),
10,0.53,3.983674e+1126,3.983674e+1126,3.983674e+1126,3.983674e+1126,3.983674e+1126,3.983674e+1126,(2.390204402887617418297650837736383491318280474422851027255211413428497875785719245325970188171079186050017329337884114718485229341081160995880889984330950574455613543499187250924617761714547003407072576097119855148491500544715192190887384554109240917784993298218066515564000449699753190443916857712724694275802e+1127 +0),(7.357036865280222199132683506141452374826674891803232982250067856648261076122732939432654496103846034757994464384143097516114593583915919002848385923159618790519541945587249420015691572152810240631737942756301932988990364563684188557689036620349173803154403020800580519454072256922034028130573537320297116776013e+1098 1.091586434662548107585324449545927148553443571800519928939888027259321651661096291899859659221198729407843329131665539503986785500023937728132694154458635810761519862247442039688660575892601523342556075203264846115655232085722645278184676898555985145486782048640464867086230028766739519775745495561198216171685e+819),(2.096453163056593891836289296309173826437044928688401849542985351282738040453598493337084928678550233653513654608926805351251500351932040226846021844398493229258188792041586979632537463940173001217020962707162122403051462170586658616075731913119245850008849242253649441797540790781441001007565006555350867467471e+1118 9.334010855986094958136974276042087840954037831073343327044365362162510717481987053170673894574003837617196295469281421670359634997136918808421465310050272112990947961700595457318960403318796610602145651997033586460784489373774608464504496353258913586792458283903955858386246684736736695021854991942939446321683e+1117),(-6.666109616561865859476372385869698411678692183682873229797990903485329745075957382102430121636789299546801089622809066637622924401044461399851415838943262179611136831741940703234462982638234586629193853450414102656619866060597824834759946946508334976016169709976761426947504585825997461504181658974499471602743e+1117 1.497232733767448388398492491210136811754453219516851089978816401792160671987379088233969825973124604143091852505291336237164865461640357431320593490675032529625672883757400768221424189632645008925145258931818185983780413216066556318536234044574034717187569301326482847445015283290085176780364362877509789154223e+1118),(2.096453163056593891836289296309173826437044928688401849542985351282738040453598493337084928678550233653513654608926805351251500351932040226846021844398493229258188792041586979632537463940173001217020962707162122403051462170586658616075731913119245850008849242253649441797540790781441001007565006555366699191641e+1118 -9.334010855986094958136974276042087840954037831073343327044365362162510717481987053170673894574003837617196295469281421670359634997136918808421465310050272112990947961700595457318960403318796610602145651997033586460784489373774608464504496353258913586792458283903955858386246684736736695021854991942686138734974e+1117),(-6.666109616561865859476372385869698411678692183682873229797990903485329745075957382102430121636789299546801089622809066637622924401044461399851415838943262179611136831741940703234462982638234586629193853450414102656619866060597824834759946946508334976016169709976761426947504585825997461504181658974483639878574e+1117 -1.497232733767448388398492491210136811754453219516851089978816401792160671987379088233969825973124604143091852505291336237164865461640357431320593490675032529625672883757400768221424189632645008925145258931818185983780413216066556318536234044574034717187569301326482847445015283290085176780364362877481292050718e+1118),
10,0.58,2.4876151e+1162,2.4876151e+1162,2.4876151e+1162,2.4876151e+1162,2.487615e+1162,2.4876151e+1162,(1.492569044244253703656610018711359472319660735171017365461724549132193256488131945286336769248355370141886479282916412810679818692244054198017697182468270542718323048162133712771009147185002292977421080688531117359509770611396405025517070889829954989721133308415969695465804427614547300646689957122151606938138e+1163 +0),(5.620207229894391061612489015468342083615710181724500402044605938348967925939480523611128902058501917782692917253678579849243887094493058516621287524446107960863612142581674037784177704270659474667561732862744707756631863902158337037385252604382510406474472902604064279318663836633294409646118820196678953010025e+1134 6.816438458258822043788650341916445499596863558462729405234460767096281079441317739476678032008708552939966277810618672920000276023999784492597881267522412202639031793418859168825323582324963645857070110787321671990307576111919107070557293912442152397701334616626768329440001645312824010615245290613102299424350e+854),(7.734555191655067532464212343543342299333374325538790393337602981962039266911198109316296579304320027205717304804863214054998096128495162437430569406702256729123533608403484381649128974663104409253516849260565926010709108618973580341863587082714025268730528982919705819931505616448819897075819785095304324257747e+1154 3.443645839426898679544318593007969673934090640742589005562747789242783747959736647806539248716945786669036354981219720068590910714633297049110362603949267844993595177062937921464564264524356150972299690661350715059309183885084500238146393377183393659975416624302426658097472435489090573021559407393624973179897e+1154),(-2.518077265967174819830356538322510515960145833298541915126466242032114667429897782181640461758200258720033673869362063906628905514343244005481166364995466245438013504774186775628149890514898011178305013510866938048646992653861827461024724082678279540278465443109741745679940036164172262021676452066447811793033e+1154 5.655694138894461945769830840458232759493462008348013964519819669689386434635198336823190632847879756078682387334260658720424660673240374840231241901184639487822806158392003344280150197950741855760009855788040309822208414139748120717724175001810313302237063839226686282826744119028288910179633563603992398407456e+1154),(7.734555191655067532464212343543342299333374325538790393337602981962039266911198109316296579304320027205717304804863214054998096128495162437430569406702256729123533608403484381649128974663104409253516849260565926010709108618973580341863587082714025268730528982919705819931505616448819897075819785095312741846142e+1154 -3.443645839426898679544318593007969673934090640742589005562747789242783747959736647806539248716945786669036354981219720068590910714633297049110362603949267844993595177062937921464564264524356150972299690661350715059309183885084500238146393377183393659975416624302426658097472435489090573021559407393614451194403e+1154),(-2.518077265967174819830356538322510515960145833298541915126466242032114667429897782181640461758200258720033673869362063906628905514343244005481166364995466245438013504774186775628149890514898011178305013510866938048646992653861827461024724082678279540278465443109741745679940036164172262021676452066447811793033e+1154 -5.655694138894461945769830840458232759493462008348013964519819669689386434635198336823190632847879756078682387334260658720424660673240374840231241901184639487822806158392003344280150197950741855760009855788040309822208414139748120717724175001810313302237063839226686282826744119028288910179633563603973458833567e+1154),
10,0.63,7.3603714e+1186,7.3603716e+1186,7.3603714e+1186,7.3603709e+1186,7.3603707e+1186,7.360371e+1186,(4.416222709327265610057610565142908539811345353611939276247252641723382486149505861661135630511131907850131282488072434698943258083374763773568605264659297219399688560951727881353921658778091211789038396805296841040876585825305762342228379477682454113978600771138786472822404739688075251192961361403669161376058e+1187 +0),(2.023698809350808353338673112756547132233117710303208408417201565476436153867819042860665380471413767728729653737246681076179760997484455434750850632215876792774879148466819067359921792216939449759981664200913856522413636821643609332828265011416921217801594731685011464032136047716371061532933931635152774968849e+1159 2.016852113621090778500383208132753643351133889087965056944436410383628729954993413393825198204323909566025768481095689685451373420655567012634533827301959525573960295488683016983188103674942545173926080142007675756903450509618161378625195325073279682289220375144841893435155420705082780873139999255962518274988e+879),(1.013993748439540812256082287333672027846353272213599662063413840896272253494969918436078607690432825875148075558495059479075064461425638042791244935030940465840511608174389615064319157024733495990710976397773321372115124843948730528032150775181365299840475217449884465567296553705796404411596842109205657389739e+1180 4.514591035288112992293997190940222663081176100686036890246628143326514722165433147881753709076044792982201663637449945071145914078016887946308636896920834751854320244011245424504134681086011042126702517625502386289422808573961318211477330526048387845807790362457836096917514032772391868535347529208455911676784e+1179),(-3.341701630002982274499595312012461438447452360131833425440333674450396807795375024386346600528159747350274306717665343371930355501446654454690973530956544154973291483235207591297138173337487085262507656218672569332687267141956129812595355487433652903959761944342805817803878843230098645986769150445694182563885e+1179 7.505584748402358550265257281403230863575528518693027794055275293066186876840359217354389839494885171553295361629718060454335840723304482608871953189480081375880180150615939406439671028280363499098129310668203908851874016762382019427419436519113361142429574827669911951646720564187986504796464183945011435312168e+1179),(1.013993748439540812256082287333672027846353272213599662063413840896272253494969918436078607690432825875148075558495059479075064461425638042791244935030940465840511608174389615064319157024733495990710976397773321372115124843948730528032150775181365299840475217449884465567296553705796404411596842109205860914538e+1180 -4.514591035288112992293997190940222663081176100686036890246628143326514722165433147881753709076044792982201663637449945071145914078016887946308636896920834751854320244011245424504134681086011042126702517625502386289422808573961318211477330526048387845807790362457836096917514032772391868535347529208451332368807e+1179),(-3.341701630002982274499595312012461438447452360131833425440333674450396807795375024386346600528159747350274306717665343371930355501446654454690973530956544154973291483235207591297138173337487085262507656218672569332687267141956129812595355487433652903959761944342805817803878843230098645986769150445694436969884e+1179 -7.505584748402358550265257281403230863575528518693027794055275293066186876840359217354389839494885171553295361629718060454335840723304482608871953189480081375880180150615939406439671028280363499098129310668203908851874016762382019427419436519113361142429574827669911951646720564187986504796464183945004820756201e+1179),
10,0.68,6.0022552e+1199,6.0022559e+1199,6.0022553e+1199,6.0022537e+1199,6.0022532e+1199,6.0022542e+1199,(3.601352748993814454927486370813576194415800370634101823107750279467921370353458396852983878116131491773286750817937603760623617669577093341676675223286313616083877361049696290948592037169745764085063592810277332503438466255226081305312511965109222003286396581334100096436115009122230841069818871737365015671774e+1200 +0),(2.003907236058373200149230233259815414916049472436164201139412834596300368663172901573095064247573692185529351408713369635687419533236618935820073696010700002539751622015269891086192761827861877476253786852240524407287389331502806669380705737845712595505584236755122033013572169102265554265658991401954071703507e+1172 1.644707792558258861754207544764114171843473638099987421262088119327854479254838838077206579504020841056765962024341617133416212047090670345064727292836242656623479070504156533262228285485069836270166754212419453722757083371529552259661083184641471723802446962680464212682413301402491348968087266054738974601867e+892),(2.929373073143102792255440437586561772656084950606891982567359814848660924455025378777492082544129321443560169263577893258441294010140202133375473609970063882849034224102854343830457876268828704932848218542851921549288192739612649366543682890087938569411496309184508649543967846587396199687880295397270307694654e+1193 1.304240922133730003699917300025006553390950346973878328140314974877412571922240554226355138503923737539183039571230900545408455497507042449928470174885060321196813596591911709087577742239822410356046013398504159671766561155095681524585406998439476144792981935974983389244250946809664799812761140269360408426125e+1193),(-9.697393231550668761212389529261461465962371116729213989609307049159758747174377800468658696390476991681154394424476781137235055314570397765393711848883619556495879264862846133172223476419117513701755992962745591616012841715221722703654504102065690923139283189102691510544679434479666931334591716917343286176178e+1192 2.178070180907264449385700111477292035926261903002162179932802540190967250020700314949244470587130656656108016586857688044537212549060230151674179328462625504021810824187680837336065327773023656136098732920645445098286339234342647164156769575349890456209885535658838937546958700539145037443440049119924501760315e+1193),(2.929373073143102792255440437586561772656084950606891982567359814848660924455025378777492082544129321443560169263577893258441294010140202133375473609970063882849034224102854343830457876268828704932848218542851921549288192739612649366543682890087938569411496309184508649543967846587396199687880295397270531472537e+1193 -1.304240922133730003699917300025006553390950346973878328140314974877412571922240554226355138503923737539183039571230900545408455497507042449928470174885060321196813596591911709087577742239822410356046013398504159671766561155095681524585406998439476144792981935974983389244250946809664799812761140269360050381513e+1193),(-9.697393231550668761212389529261461465962371116729213989609307049159758747174377800468658696390476991681154394424476781137235055314570397765393711848883619556495879264862846133172223476419117513701755992962745591616012841715221722703654504102065690923139283189102691510544679434479666931334591716917343062398295e+1192 -2.178070180907264449385700111477292035926261903002162179932802540190967250020700314949244470587130656656108016586857688044537212549060230151674179328462625504021810824187680837336065327773023656136098732920645445098286339234342647164156769575349890456209885535658838937546958700539145037443440049119924009448972e+1193),
10,0.73,5.8787399e+1200,5.8787418e+1200,5.87874e+1200,5.8787354e+1200,5.8787341e+1200,5.8787368e+1200,(3.527242793228198671973108877550773265772461819072778031036493391729722132978909525826353324535738741422634179939384286089849765505937484997493628041008709056213600661004671528089144737804602886429424549513819137334527276320207078596212112373038597595279762180665245115547221869254112998033344773052070405994185e+1201 +0),(2.386503808661810232031667365848899294730189432636211203712003705477630209665411134834134096824125846468411772001587586595561644437105849724363185306413251144916701479892004447141101047751840498960101427607226255853110128616134030805328895550040155248922110577558535158760138437722955261227546893654952771051244e+1173 1.610862393273806402888344865367134444351182994357445058398070263913692713229665396692992256875875340402171254237392002355772380575965436276228339604893029715466042471644031248318329022878593938067611036117459326196489883958756077791823984029553338138316973949633177655404204600559488857171471229474715701527757e+893),(8.509380323034074891533497276875446310689208100279433261688749215106402409638226916373418238017838932441292362784054515526956890157896424558389310211061477766728213204731495192115740922795773284516948064393554556814053925353803750244476467938171676713730812083825074061601029191802339845056447193395971044739969e+1194 3.788620214014787936297554390946196433110321154208017635227918132236033287332687156106873165924473515505915519381523103221755586873844699214348147320781148788652124014424774457873308671058436545195265487919482764331282296800201225049959029031732819280063752223579083679124772611887147987713386466231318594172754e+1194),(-2.814512493886357896597085014887934644237036066442664499167951448309647436045792062620232539208838023221719581346668859661367840553127052061482435038686477413696282964604001025617125695241263322488383672098464897331265939728350818921293169484602258965544657573024108941802832684020126501766908633460503401016715e+1194 6.321498561881624899789107825493915110653930821534713655488167357432101846436193467482966252093650012616401969600460363363151932603563991977696649055332050172189930077488549272837130489054616504208373602604871042458160092975498836507189903706475191627734466298628463437515037035761407267241543509530122232359181e+1194),(8.509380323034074891533497276875446310689208100279433261688749215106402409638226916373418238017838932441292362784054515526956890157896424558389310211061477766728213204731495192115740922795773284516948064393554556814053925353803750244476467938171676713730812083825074061601029191802339845056447193395971187957814e+1194 -3.788620214014787936297554390946196433110321154208017635227918132236033287332687156106873165924473515505915519381523103221755586873844699214348147320781148788652124014424774457873308671058436545195265487919482764331282296800201225049959029031732819280063752223579083679124772611887147987713386466231318307737063e+1194),(-2.814512493886357896597085014887934644237036066442664499167951448309647436045792062620232539208838023221719581346668859661367840553127052061482435038686477413696282964604001025617125695241263322488383672098464897331265939728350818921293169484602258965544657573024108941802832684020126501766908633460503401016715e+1194 -6.321498561881624899789107825493915110653930821534713655488167357432101846436193467482966252093650012616401969600460363363151932603563991977696649055332050172189930077488549272837130489054616504208373602604871042458160092975498836507189903706475191627734466298628463437515037035761407267241543509530121802705646e+1194),
10,0.78,2.1806236e+1189,2.1806254e+1189,2.1806236e+1189,2.1806193e+1189,2.1806181e+1189,2.1806207e+1189,(1.308373061064211461665564835445216499654393678430552487438257720147597856404239698495458824684085411048295537109814650830472263920381999883918931591462265422505478801229889074333468368721702294066155527882357552785374066470676747126027736406352810569281504164779585978987331808049606680384666990946379438767330e+1190 +0),(1.082542343991579842454302678709732795766163988817740832025915007540238180141516625558938904634649709137105057753103999467308896378625286471597450377224150769024327353637729105782270882214393152437211803271461032207380102150032964551474170317676913495169489357999640636699533527163511463301228474788531482043214e+1162 5.975230751019406083371003752988424342096035415372619497479884692036540927343818919897699917801466627710629143431964208077215920331656247129352055643594064389128707347622030379408411708206260300571036566353384851032317491074942187059229515885136834745074645704840054955311797495215745926906264302163904783712101e+881),(8.107127955118595530878123657921030397194884550140459766828705320604955120543737768326103944379542820632236082554220200388031501838687317718604975100241813496042390995244395643276373087581018532065399639593216382516139997192104201810910029084577158130858610404370537730816935816697745729756353250941333684770789e+1183 3.609525921085533465533929096339827516247349655502192390566293204543899911779207400081221483923930221607252781664736717026074766524338326203355305454800200602098679554572614865373243486946335895590711083861889686632638508717326397131425534050339632595764211110134534558651026071718238614847972302698659734143870e+1183),(-2.669054108461381437643049168029059795493459437318565600616175517843031096449962450569015866490466722116817619255608800233254885673199151821327716439722172613935547906840935191973172575917737954810457926865550254815890686552317116025405305508873348072554134457331331641329751203385918611397441064085933156124672e+1183 5.994793679144394722548243786021779936536975381955423217460111670132637959577817919628358229153231448735981557134489309260310585342009449451225605825208243188510484818112319020747715636295097162285575759092967401364312913689630908569082868168644296195008496301820241146899319674644859200545545437268030706691938e+1183),(8.107127955118595530878123657921030397194884550140459766828705320604955120543737768326103944379542820632236082554220200388031501838687317718604975100241813496042390995244395643276373087581018532065399639593216382516139997192104201810910029084577158130858610404370537730816935816697745729756353250941333762924311e+1183 -3.609525921085533465533929096339827516247349655502192390566293204543899911779207400081221483923930221607252781664736717026074766524338326203355305454800200602098679554572614865373243486946335895590711083861889686632638508717326397131425534050339632595764211110134534558651026071718238614847972302698659616913586e+1183),(-2.669054108461381437643049168029059795493459437318565600616175517843031096449962450569015866490466722116817619255608800233254885673199151821327716439722172613935547906840935191973172575917737954810457926865550254815890686552317116025405305508873348072554134457331331641329751203385918611397441064085933156124672e+1183 -5.994793679144394722548243786021779936536975381955423217460111670132637959577817919628358229153231448735981557134489309260310585342009449451225605825208243188510484818112319020747715636295097162285575759092967401364312913689630908569082868168644296195008496301820241146899319674644859200545545437268030511308131e+1183),
10,0.83,6.6331438e+1164,6.6331561e+1164,6.633144e+1164,6.633114e+1164,6.6331057e+1164,6.6331234e+1164,(3.979878707654193728145213515977123544340757327570691666793821652467841915467615709070270323115691750221291031425436057683606858530962221798734748861726248101067017405698996948595789219103313446111816675943165841299156630772414342483816997120204310478703541681308135915561998771390369352806305685291953679057966e+1165 +0),(4.071013086859236556608872958042607829588598347859345237020036459668819635847975853368604642637039738957029187836877308772582896259053041363411868880092281397208805371235536165218345089452948979470669126034366090750667073395938293071250772696291967512504559620010602006631978337070747721495042579297427153748519e+1137 1.817577443849221705500449594777456926235985657504886516765283405068152713945084168067897199248020170449071845173721472676926015204419752634262075944771098888025034767380361198502395933320352318851162168954597171428054610310406946584005355373266110225176707286374334363841657479760546951955801488042312745058934e+857),(5.625660956874156911328960445853421939632504240612680439966997953996346110444052011872489467091393833779170492277293499409740399324560112661711911640643514017602836685631833164724475160028264763470143218768908159460055027383685112550310588301735443467703240673957791929650642073135953850937317346006340435154643e+1159 2.504705631820642430129775890837187324188137572181571669458180958045524046621580181823564456352592252854447380631340221647243373860359872082922046859607197738939625436485161773446397702274967788562251044192916109476603356687020101642075595203376843144328089475881713741601788372862255627429374500008927397011502e+1159),(-1.838554532648449352015363588439666693539531479063867746931845382382201935377212497788131624088435618287927358470806801813909173502343427235855293304029507667768468469007503126793133475850294183402714605115647774795796114429166533645294187960729746116693998918927544008450053528548185821909668118698449012479398e+1159 4.129461091156696753196305355090763298688904250619074540776672531350836019056502345022555715568975845948748747393014835748123967031259708024727825247786238353963146126934677197417740402665359674932888610660460089562839781654040772793981532310291319593067636334741334268974827096028023499646760583889846111402162e+1159),(5.625660956874156911328960445853421939632504240612680439966997953996346110444052011872489467091393833779170492277293499409740399324560112661711911640643514017602836685631833164724475160028264763470143218768908159460055027383685112550310588301735443467703240673957791929650642073135953850937317346006340456703669e+1159 -2.504705631820642430129775890837187324188137572181571669458180958045524046621580181823564456352592252854447380631340221647243373860359872082922046859607197738939625436485161773446397702274967788562251044192916109476603356687020101642075595203376843144328089475881713741601788372862255627429374500008927364687962e+1159),(-1.838554532648449352015363588439666693539531479063867746931845382382201935377212497788131624088435618287927358470806801813909173502343427235855293304029507667768468469007503126793133475850294183402714605115647774795796114429166533645294187960729746116693998918927544008450053528548185821909668118698449012479398e+1159 -4.129461091156696753196305355090763298688904250619074540776672531350836019056502345022555715568975845948748747393014835748123967031259708024727825247786238353963146126934677197417740402665359674932888610660460089562839781654040772793981532310291319593067636334741334268974827096028023499646760583889846052142340e+1159),
10,0.88,2.2798628e+1126,2.2798715e+1126,2.2798629e+1126,2.2798418e+1126,2.2798358e+1126,2.2798483e+1126,(1.367912306027318398926418964842459190529342725775119083202093231546758825290730591034181664337610959498107028825766987500365418642801840383736065802222335911531321489617052689410894276790167699214351622989325228564845039408235813692047431065358209331643822065236544669594072174582506471714605687896119906212265e+1127 +0),(1.759402456936625175030414431436466095312389815523347812144057771902047495986617340262589418235981309868909098853733751159637060820569184669225575852718826609151458486448841309486148193955872821236275550415943610032965444007960369883642706873900322985888134554218237648605084162479000960840161162606456505279384e+1099 6.247141521718600468224574549863665081005870553438687937910173244737364334051964766321512568012243853180679589821234489989902660443112955422931936817070320879780028870034052689973687504942531310352901059775230770125974328338114429970292777371422261564762312392429238846793358180157689133795403255055361136103224e+818),(3.993146269635410696489378714193089366803500423761103491737047700805357660408748696375025174848640742755453992864086689096367052850158156838068331528405566267496428537064784763529700560545647253030544218374145240352689070017338708004168576828887818585397452238899009990770915637081264093658848269078199655553348e+1121 1.777863263874459275630253640683844163317824638663611178100577851769718404883059074814740658983094472736311881310411905089453909730865128187539351210392431072895762763438672350600104321754206813646396044972536615921299241446794835393515069524838503182805360537762939175306422539316699609644437958271800341014182e+1121),(-1.292968145134063771496501766239989222397998007902562471460860290540575034708149705354417332949425339484492086803357461990644717190446035802168517655014901641321462985636932630395043683378225371859297453989259262824760937954188538035582608902309612878324967107707270522460022235418617638419479081765110190215099e+1121 2.904054001457830158957990416205996070096005799629531987690102756739391612744673039991944913207273289362654132557253221981937786573610940821049614980978365128210617270541519959473196940070577606397076673350668010514754996194896674394266170566895057873936928741781199129269196958636014828665847025073966890312728e+1121),(3.993146269635410696489378714193089366803500423761103491737047700805357660408748696375025174848640742755453992864086689096367052850158156838068331528405566267496428537064784763529700560545647253030544218374145240352689070017338708004168576828887818585397452238899009990770915637081264093658848269078199663469210e+1121 -1.777863263874459275630253640683844163317824638663611178100577851769718404883059074814740658983094472736311881310411905089453909730865128187539351210392431072895762763438672350600104321754206813646396044972536615921299241446794835393515069524838503182805360537762939175306422539316699609644437958271800329931975e+1121),(-1.292968145134063771496501766239989222397998007902562471460860290540575034708149705354417332949425339484492086803357461990644717190446035802168517655014901641321462985636932630395043683378225371859297453989259262824760937954188538035582608902309612878324967107707270522460022235418617638419479081765110191006685e+1121 -2.904054001457830158957990416205996070096005799629531987690102756739391612744673039991944913207273289362654132557253221981937786573610940821049614980978365128210617270541519959473196940070577606397076673350668010514754996194896674394266170566895057873936928741781199129269196958636014828665847025073966871314659e+1121),
