L,lambda,d[000],d[010],d[100],d[110],d[200],d[210],Z[000],Z[010],Z[100],Z[110],Z[200],Z[210],
8,0.43,4.4420695e+647,4.4420695e+647,4.4420695e+647,4.4420695e+647,4.4420695e+647,4.4420695e+647,(2.665241683786968524874063512376994446519127404886727461756018753416146113131187622964227873246782606567444950243303436722928347838539146288418855266796182864279657037592644602725799633479744362604519861046709099711440741680936464999307523808894079853636719623005659304253849969069727340110332326061585486606608e+648 +0),(2.418415634784357594295685276248074530863062403526731806008045879528466158521664433791260248357605191622024885487825103160023081688733105629075748495819530741017019362962277903464700098432699653268665295156246512741588773561109651291743646836432766107073441840024216529915963209388993076052262058375195373895449e+619 1.217193669128980676786314505715233215626196411574992105434921113011508238794070489990845406342128993356223429815229248823420891831374389012997136314202991489000209928846553952404601279693466415136013313785745549040166405937439763865600310333838957938133867691289172389468956597639633302822123183645480480469003e+340),(2.891602877319343739835337085741775355334188518329982351123597274010462665613676380777079915603468844314537512939324521964899747492122570238036610648699066080835313439937012550597927704427742918499529260407230855029810433098278632174726371292199084783960333989657377808220868813465192177683836123108020487477955e+637 7.748026558092289395728758012420477699970777364992696617030979062060281591883763053499337974384009012152696359546373187510492514682991990289039265396692062611743547397378323187306179055634063386759963826409612830423035793023398229354579926867507522735893110005606435998498116628420679859747088093904679536885748e+636),(-6.152577382096758300831154750739051010817793603093223423331606812168925605405125801610130504084534671276275224478952303997524468493920346713032605264496306775010438896191102381610080489312632362717958074243864164460003082838860165950762070431021937697002554134195940199460969944930766012855243054794532210854717e+636 2.296173138748421573804624491569959891316560734568933019052327346212862376400947492856484726020345968656589073318536650929159628403755869805548904543283277081181839558323547314658309814558605406199147744766269763880604594790291505716962229411047476560146275596812712344446612640057444262762664292075901929144310e+637),(2.891602877319343739835337085741775355334188518329982351123597274010462665613676380777079915603468844314537512939324521964899747492122570238036610648699066080835313439937012550597927704427742918499529260407230855029810433098278632174726371292199084783960333989657377808220868813465192177683836123109478949418073e+637 -7.748026558092289395728758012420477699970777364992696617030979062060281591883763053499337974384009012152696359546373187510492514682991990289039265396692062611743547397378323187306179055634063386759963826409612830423035793023398229354579926867507522735893110005606435998498116628420679859747088093875510298083388e+636),(-6.152577382096758300831154750739051010817793603093223423331606812168925605405125801610130504084534671276275224478952303997524468493920346713032605264496306775010438896191102381610080489312632362717958074243864164460003082838860165950762070431021937697002554134195940199460969944930766012855243054794532210854717e+636 -2.296173138748421573804624491569959891316560734568933019052327346212862376400947492856484726020345968656589073318536650929159628403755869805548904543283277081181839558323547314658309814558605406199147744766269763880604594790291505716962229411047476560146275596812712344446612640057444262762664292072255774294015e+637),
8,0.48,1.1928698e+684,1.1928698e+684,1.1928698e+684,1.1928698e+684,1.1928698e+684,1.1928698e+684,(7.157219041171322956056764629253020613730160788953774708666452297668384895143503193652770628839118810615984363955082475825312272483844652659218883427823179327198614652059489413637044047127030174719686654433976426348848386517183915634204196054504658019413628177145299099528967286495739885065161063627141101122768e+684 +0),(7.884780836384159839530159711303621972742999548906412654546742986899636612087285291960307895527109715187296327376341361127108450771350899774614795068657344889705703713716935365022897125942175471811180845194784041734032126062246606181898565235220960486694641305040311487367510922039854513728125972459576134979612e+655 3.268642299299807624119278237480082600056407136173081251896824880829613068111817591403928143135582792470192586271339506304039858553994033721222185052583416540546404655942611007598066366781486618402085132218407427994471048338741841185922272552785595530680053480646865066703967649566819364857122419686018818423734e+376),(1.079141774151935973920480019548790803030916698093453391495765649616627289538045777112064238240076721763256861655227155173906084919616446043203797006368173321179365811494450459471344383051039499976491125320346303489172256116793796639545879857119286213593676793100823771686945859730079948666195124298218131285740e+675 2.891551669027002517877015784742891223794520798011963395440451596432998983090873860359926795334611014799164070832021385773399524890943259319124335954055060609992504770840374605730119814138670039133839528935307534287646865259559983553195528968389658136507823481747643339808721030547104844501641603522236588829383e+674),(-2.403143752043018445145147522563235489689258584471501738663193560534604592900560709758909272361861493190238061609586793610915168524533614608252746547223613240055549505698286020481989080635638809589715097228544994324758699155738074519139289205865571319048818214114924037939959964001942002193054680803964118408611e+674 8.968654580516248800539458013109770581279556457697590527177019177205590930484313919295257145061462504918667067995736506344292999857759713911346103809952214936692817245758968137687723940097925628300369799485277572078742311374698753776070110138452496131529112980672473667180245073247203369083020407549295008487724e+674),(1.079141774151935973920480019548790803030916698093453391495765649616627289538045777112064238240076721763256861655227155173906084919616446043203797006368173321179365811494450459471344383051039499976491125320346303489172256116793796639545879857119286213593676793100823771686945859730079948666195124298237517570156e+675 -2.891551669027002517877015784742891223794520798011963395440451596432998983090873860359926795334611014799164070832021385773399524890943259319124335954055060609992504770840374605730119814138670039133839528935307534287646865259559983553195528968389658136507823481747643339808721030547104844501641603521848863141064e+674),(-2.403143752043018445145147522563235489689258584471501738663193560534604592900560709758909272361861493190238061609586793610915168524533614608252746547223613240055549505698286020481989080635638809589715097228544994324758699155738074519139289205865571319048818214114924037939959964001942002193054680803964118408611e+674 -8.968654580516248800539458013109770581279556457697590527177019177205590930484313919295257145061462504918667067995736506344292999857759713911346103809952214936692817245758968137687723940097925628300369799485277572078742311374698753776070110138452496131529112980672473667180245073247203369083020407548325694266928e+674),
8,0.53,2.1995854e+713,2.1995854e+713,2.1995854e+713,2.1995854e+713,2.1995854e+713,2.1995854e+713,(1.319751263587521531778427610048765836103021429651853554681192769249781118820712661823146071182818459559519217811472929292475962508267755789821033336811974226928356359323721228061574000216952029091721207387026802155134674062468376587031587844426911850406455509177954687196487168089799377336723559545746505810537e+714 +0),(1.799381136089051886014605344450834598615047877040649301073677134903560843206615629974250265736357258916014048955809774063708811529539460484116248485851663488813332031351737111868584796365246752323663220575749041094132955980289381996652347602865995902794886882018398193368985006892796940013279315941548251210285e+685 6.027194053866156068514853324908658476185101467447006554246316467291404200189664160644065699773324574371064169295320639147404579082325057886765104271311692588737545919244523179194045910346844813827863725197975999030565848151236827855581588610592603384215992994963666737560373456918643903284930697978702132935025e+405),(1.654062437622177676775564705853746885960218553051801629021872543308319761207880664377865986318325553189068149303222206239421273476253561816914505247089562396182684775866239426101510167850063152195043865017164209562718001794487636166994016879755664685742389094698853161610200701416814669420268677007416854927534e+705 4.432046943915167845547124291107222493978043327520762421590636098565329893131542639414275523236155815304537240081394734516047087155525590662017269564089234601425594142504529559811588043762026643210228407668089621381327237016074720969915804041896706526567863074165631049931475193668613470330956067168588788499496e+704),(-3.771767932556383574703462677856614345386181744001958772615688148582048467295073818904218050402668558363646965131576588410276421398660755970288643706322480384128110012408724884839547435619945590018172582168710584440840455523921999950485541792754027878986828609141872496943169240138648578828616850582360006592116e+704 1.407642955865944602625988994835549297489586957598846590788184094723523132763004285105206647054330967636642573055745689251533406548233376654296621120444664641990505869106207434410993307050405563059496946070992333532052714608081565490313507424596966170122260527139314907121479305765090606735310825400068982018815e+705),(1.654062437622177676775564705853746885960218553051801629021872543308319761207880664377865986318325553189068149303222206239421273476253561816914505247089562396182684775866239426101510167850063152195043865017164209562718001794487636166994016879755664685742389094698853161610200701416814669420268677007422998686303e+705 -4.432046943915167845547124291107222493978043327520762421590636098565329893131542639414275523236155815304537240081394734516047087155525590662017269564089234601425594142504529559811588043762026643210228407668089621381327237016074720969915804041896706526567863074165631049931475193668613470330956067168450553927194e+704),(-3.771767932556383574703462677856614345386181744001958772615688148582048467295073818904218050402668558363646965131576588410276421398660755970288643706322480384128110012408724884839547435619945590018172582168710584440840455523921999950485541792754027878986828609141872496943169240138648578828616850582367686290577e+704 -1.407642955865944602625988994835549297489586957598846590788184094723523132763004285105206647054330967636642573055745689251533406548233376654296621120444664641990505869106207434410993307050405563059496946070992333532052714608081565490313507424596966170122260527139314907121479305765090606735310825400050550742508e+705),
8,0.58,2.7589054e+735,2.7589054e+735,2.7589053e+735,2.7589053e+735,2.7589053e+735,2.7589053e+735,(1.655343192923228197489925439477670009799456525942482637854400715910877226290339828380074484412337895066981607931417216476615630057047315124693972955671072755583951042071292885517116381955850936598759998392938006056043124488936803859920585649366665616357924672702274101868540908986087676818517032159546226646771e+736 +0),(2.828399210457619012681845283745548742457261616709455830328701225964312867569339195633471369027034547343588625188650949712404418645592933736435346829399450933573573968702728883295007376080319316634272157636353730416472564109440742016336200038507608920321741237730619205770801404814228693060653283405410468156367e+707 7.559814432284536085556237952089502380817498290975005226121184450288510644339351620919601981228691415435992794299921153653082059783420760608592329172939753445134629770013570230245534100818709820245320665971368058959254003887171410670460302968090998347480525572208127774510193871814911203921802605292704550863273e+427),(1.183309039829643909104216689142832197499235962309981067110304624672119683198341488057106080983171053856875135608947259384403465830103365060754924871149828295922756485511188250329725785261557680045269775743108061731308529387557298735505697503020997981952031776321494514078804681087793119637652195169044617689493e+728 3.170667016188002989369911498414211716990620445883614221975868325415745686183695944417335474967318256501485190296676079575329328480241753733104061444113666287889366614551594834049215675774717967821606532405916480220036862921775053784408531850608096112506947227208706959625253494833074432646777403870989522332507e+727),(-2.726317482168531617323664579665370455286834129805039915027680463785296039383863916515429345754415129851492197081539550756381259208311265713464528110133102178571338103780388594540320394188703662751393941611118010071680960517560294225198890915924758736821477300573314865641252401723942359514281500840987471973045e+727 1.017475536101621664299038516202359548300969206626394472506706812933401387368393016627510348989751898943297732611877011700454476522507410503272327155406115181149638944544895812186918461691149880691466237162242918185962600570073517364940004205623419882474793220962212961841068195946322337235344926481690841470596e+728),(1.183309039829643909104216689142832197499235962309981067110304624672119683198341488057106080983171053856875135608947259384403465830103365060754924871149828295922756485511188250329725785261557680045269775743108061731308529387557298735505697503020997981952031776321494514078804681087793119637652195169045488081908e+728 -3.170667016188002989369911498414211716990620445883614221975868325415745686183695944417335474967318256501485190296676079575329328480241753733104061444113666287889366614551594834049215675774717967821606532405916480220036862921775053784408531850608096112506947227208706959625253494833074432646777403870973565138238e+727),(-2.726317482168531617323664579665370455286834129805039915027680463785296039383863916515429345754415129851492197081539550756381259208311265713464528110133102178571338103780388594540320394188703662751393941611118010071680960517560294225198890915924758736821477300573314865641252401723942359514281500840987471973045e+727 -1.017475536101621664299038516202359548300969206626394472506706812933401387368393016627510348989751898943297732611877011700454476522507410503272327155406115181149638944544895812186918461691149880691466237162242918185962600570073517364940004205623419882474793220962212961841068195946322337235344926481688085227950e+728),
8,0.63,1.9760553e+750,1.9760554e+750,1.9760553e+750,1.9760551e+750,1.9760551e+750,1.9760552e+750,(1.185633147822807534299065203401153544890652025706690703393470267624155705595664395143165040867204932639451838225234771107519083962566605412154919833218843482151309242255903853108827816077664005175795996490283153239252943950392284317551046666015885868175668266574660256682793391336910027617263196686359936699866e+751 +0),(2.562979364207694788764668706045856209864148639289356647205755638391087347872706386099170117565826164393757843917357012648934418442826883133589525818571494858445180597036188056635133022707807767133451899149537432658583159238433828289761106461680006968483605200402930221286807931203514138872109542383005492683900e+722 5.414687794424935623211840259742250209375663220020974465912053991586355981369193781308987250415279737603807313813291132111472183259394857585500075700628391122004435757392776179980202631048791119872660891294292353699185716558918473092675567718297951745072572617528957525056270301772975980020317701578557636018692e+442),(3.635730791996392887483475307957509106718763990286585978543889109999711638056277636631544641431727202071946228244545244240497029136025276931221551123953133532153712589212580387672312393884691114075037094456954265373035063056612273313211241692111167547476624053885557081465375357819237222108898188835683771287369e+743 9.741911296123996401668175995750667844373290484763222842878345337949316247005705680387107537340631977891863287430501619754227219473193115065916751780579985388908051325272013971408242252110794030211688361156391907457726858222233475524087406886847507243581308360064918167904367973305612738049972960208843662782757e+742),(-8.391866845589263811541047235631210592871175862510678029904353840331234626492785340527913465607346959547878642113903684622084084621716709958827876627566572479439563314156367410760658681441582652472347465052539783641874085105027608448132353642697888298445896866213757934194452935533857568779749156094298849963185e+742 3.131887343809189889715593031155124339354412394994931652339990759323455003115883649751133969300920975399533940341618621218149911950151016374096405698484998315312974325794305780270425986145732909233781830242491786450731370829798989495899116641931946987133021074032997168776326389595560875392837757981510215252063e+743),(3.635730791996392887483475307957509106718763990286585978543889109999711638056277636631544641431727202071946228244545244240497029136025276931221551123953133532153712589212580387672312393884691114075037094456954265373035063056612273313211241692111167547476624053885557081465375357819237222108898188835684424603861e+743 -9.741911296123996401668175995750667844373290484763222842878345337949316247005705680387107537340631977891863287430501619754227219473193115065916751780579985388908051325272013971408242252110794030211688361156391907457726858222233475524087406886847507243581308360064918167904367973305612738049972960208833863035371e+742),(-8.391866845589263811541047235631210592871175862510678029904353840331234626492785340527913465607346959547878642113903684622084084621716709958827876627566572479439563314156367410760658681441582652472347465052539783641874085105027608448132353642697888298445896866213757934194452935533857568779749156094298849963185e+742 -3.131887343809189889715593031155124339354412394994931652339990759323455003115883649751133969300920975399533940341618621218149911950151016374096405698484998315312974325794305780270425986145732909233781830242491786450731370829798989495899116641931946987133021074032997168776326389595560875392837757981508581960832e+743),
8,0.68,5.7183254e+757,5.7183259e+757,5.7183252e+757,5.7183231e+757,5.7183228e+757,5.7183243e+757,(3.430994669210513312534089744902642160979179695124241975240933370408136439094608703803193600665324378499544128354117205985464296094600103429041715919690378254594912049201758317647460607443888571729070544471073966019603822786921397592914287102839207685260737712547719813682780152438241839914343008564046676933002e+758 +0),(9.474153845096488719586748160845671724729542472957453026203061979303492739963550557891970464501949458382967651230641185072296940802192189293379997199016363666628392313871013499557546997732885599389389540296888309981946696996662942242747247698327096565403466343581675578926215118078814332433131996309629121403422e+729 1.566906677012679682947061443596334114308230241300873731502229846116604195958904249869483844126532217884833215937989296102670579313680691605117476354374565075858686452819450051762418140065310778255830575431215382341055304820399861607904285329826008752228024843840976334512352062145630088264774487783882105790214e+450),(3.617689759690650960480605019889625897049170979732604870786172741172204434831908252295852162297230429588216687517385135323744320509008699479318992031923632106264372860007641846160859255188145440842095856719547105071849047058170783693619951835826569774485520052896905261660722113469876646581149643872498675878616e+751 9.693570495754522951899584997405266910538979992791340422897632826541498340117757304726728775020660331553091445987615625486472462304312869422391809688200289712157033392083003756561635775607368062492546057495598257388449529196236279816597159706818113509559980382343190318121250244890524147839254903877200145046602e+750),(-8.318925525125721221401553646699460333822024544998952618436380034382833687350087609712621951718262269666510310065575397852119433352877128295324389166266329789963839575898000933839908728787844521969578097436430102038870389533352127698955335809104739329601523239075468245662516363937052442512170765016321769658653e+750 3.104665272415079449840150287859088194538356949342896543826040627107657363664675561709432995818955593406870815774580248315386664983887400111719173109436032767690755783641472140060921385483924397143431033730222286482320301581019787040886736067004543069125042780764039605624013463263339118574750839522277640667590e+751),(3.617689759690650960480605019889625897049170979732604870786172741172204434831908252295852162297230429588216687517385135323744320509008699479318992031923632106264372860007641846160859255188145440842095856719547105071849047058170783693619951835826569774485520052896905261660722113469876646581149643872498895095254e+751 -9.693570495754522951899584997405266910538979992791340422897632826541498340117757304726728775020660331553091445987615625486472462304312869422391809688200289712157033392083003756561635775607368062492546057495598257388449529196236279816597159706818113509559980382343190318121250244890524147839254903877197404838625e+750),(-8.318925525125721221401553646699460333822024544998952618436380034382833687350087609712621951718262269666510310065575397852119433352877128295324389166266329789963839575898000933839908728787844521969578097436430102038870389533352127698955335809104739329601523239075468245662516363937052442512170765016321769658653e+750 -3.104665272415079449840150287859088194538356949342896543826040627107657363664675561709432995818955593406870815774580248315386664983887400111719173109436032767690755783641472140060921385483924397143431033730222286482320301581019787040886736067004543069125042780764039605624013463263339118574750839522277147430154e+751),
8,0.73,3.9348022e+757,3.9348033e+757,3.9348017e+757,3.9347976e+757,3.9347971e+757,3.9348001e+757,(2.360880193582713854954118851664544496005030488430262675054014587754388506677207398608050270127412501240583398398134382970101697006340599550472009102692260507567209777709291761688074540322505949918442717223639829751933734667957356565515992231021650934231403305900718347293167686909188912747302331962530027244691e+758 +0),(8.429963614128986399152638527011514501777397477343026423340482445571491871410021097362397822532036566471453377063748715929738736305120139616176617135381729445161120648501240940590867718332073276255854567295639913521378570352403752468147240610690308750411945087203893102323352031343401628464917721799494053664098e+729 1.078194312614004194809448212510275476241097486148483492331627363687220372544235075522313092605284639596459761016664784194274931723119779641434221723117497814973481446354488257010422927242309110887842943262832754847270753939863368190964970912703654366933190280978770598405587832691214825621858816145254055502126e+450),(7.180496933529643465820340424872798251132816723601194826282004478647760837567510124206493449269144692536989021259714009468550996096326179767525551487289908106905738849183174172591347860132921244803533133921953037427500669790094221336124318654165306999840827118530575667023860529508927143112145903622766519900832e+751 1.924008354593420946470581144220144793879177762327970974267442071621742214189008162690032618775040388235016188885952459321969711636337562047591386529634025862658111470849973320518238694966383645123523967240991752196952009984036642336284689500106888381064395124114229511074267783422706063233227016291415531917613e+751),(-1.638876193961877572677290143963110449217188408886584738381452091435720399883810880294617342921585073213870519871524946397106510315979675148360721866417157810367660021082258064583846329510480253439083529846935614019660708062691993050957455391905828511350042708035981080868537771256771491985120170112973801871215e+751 6.116369223180833174959147554091393607280762995969991382163537038142526060362357238169981234083800859872908843148413403708945292310184106521050643039048149010964351651211636800779127678844333470479666869458499653116481588512378144229926146934337451844335495583717570759366958036185244377785244628612895411241376e+751),(7.180496933529643465820340424872798251132816723601194826282004478647760837567510124206493449269144692536989021259714009468550996096326179767525551487289908106905738849183174172591347860132921244803533133921953037427500669790094221336124318654165306999840827118530575667023860529508927143112145903622766656911231e+751 -1.924008354593420946470581144220144793879177762327970974267442071621742214189008162690032618775040388235016188885952459321969711636337562047591386529634025862658111470849973320518238694966383645123523967240991752196952009984036642336284689500106888381064395124114229511074267783422706063233227016291415367505135e+751),(-1.638876193961877572677290143963110449217188408886584738381452091435720399883810880294617342921585073213870519871524946397106510315979675148360721866417157810367660021082258064583846329510480253439083529846935614019660708062691993050957455391905828511350042708035981080868537771256771491985120170112973815572255e+751 -6.116369223180833174959147554091393607280762995969991382163537038142526060362357238169981234083800859872908843148413403708945292310184106521050643039048149010964351651211636800779127678844333470479666869458499653116481588512378144229926146934337451844335495583717570759366958036185244377785244628612895137220578e+751),
8,0.78,3.0832663e+749,3.0832685e+749,3.0832654e+749,3.0832575e+749,3.0832564e+749,3.0832622e+749,(1.849957622589943413943342391430389531613515319691652448303164167380364167820569728832622115787375632040777226952543701853021261641027571765898089668759104675444273410575989241154496151698407800972192931662002324376493883599558941009124937674473546995913042726787523204813124576786170759259678858904163406907449e+750 +0),(8.685587052765859167779422200444118638981310914309111344029392912084412071258348622169420235061958416860399257805039395700510336322785999669786506986205000632992646838588338724375937194847055258721815580319186246999304695126897323480623482256230098749606942357002576342181857823026069335168184759369277346281114e+721 8.448602316522080607425488808652873886499124598867724504802594316475461457215844898772104819088781466622578093075421425210229374319652763438232211087359203441114100647381545949769823101779062959824060966869404215649164741906855445764729516745240487373708156044507505615802943269659405312511608822448237785519355e+441),(1.407496005167795400655355407097579756080447571708747878497338301528602081142554725681763717173333018687018852573638270765056041785403373928882580727892722334575929827768623898958455528095475807733044821243911438862663157631552762443057750486293712887903864890090410156640669315768015965919431077772005710809399e+744 3.771374179347420889510271943231286671897079472367912190391240535851893955223903267366431050669789404789051601708699846467543406379232475569980218616585243719810711510130543787518151513287099005217446716396994679226000811108327185381097021700387198468585916076132307484435845587820085758794142637297429137942906e+743),(-3.180597949729225320819400345290174157818629930051239701705679663397536498767032778410835920618675632842206964684734596269989230807364627016994015204494190488353601169055996981120694532130043974097483474169354405707010145268237918896263751718291041525402403152719118490454170265506543279593255330922331531326319e+743 1.187015314683887070688258553413396995139395835879854257443760872288064042808129738009600345720169041559816786157458352360091721756789678095171528437718057497414022064932166090115642190287540572488411681387845402295108154924533612156024628167827830408085149286424939916001611056192312565797321364206481584235620e+744),(1.407496005167795400655355407097579756080447571708747878497338301528602081142554725681763717173333018687018852573638270765056041785403373928882580727892722334575929827768623898958455528095475807733044821243911438862663157631552762443057750486293712887903864890090410156640669315768015965919431077772005716934241e+744 -3.771374179347420889510271943231286671897079472367912190391240535851893955223903267366431050669789404789051601708699846467543406379232475569980218616585243719810711510130543787518151513287099005217446716396994679226000811108327185381097021700387198468585916076132307484435845587820085758794142637297428974613783e+743),(-3.180597949729225320819400345290174157818629930051239701705679663397536498767032778410835920618675632842206964684734596269989230807364627016994015204494190488353601169055996981120694532130043974097483474169354405707010145268237918896263751718291041525402403152719118490454170265506543279593255330922331531326319e+743 -1.187015314683887070688258553413396995139395835879854257443760872288064042808129738009600345720169041559816786157458352360091721756789678095171528437718057497414022064932166090115642190287540572488411681387845402295108154924533612156024628167827830408085149286424939916001611056192312565797321364206481559736252e+744),
8,0.83,1.0370668e+733,1.0370684e+733,1.0370661e+733,1.0370602e+733,1.0370594e+733,1.0370637e+733,(6.222384623359437907570090402826551875031797486528484961476444227300616028704531345511512966203267459074294933139584973396732849525189866741305544555729580572198065934729781903336060516673381699061574594312115511289275654861073147927997673085512758778424495534687372616106449188481142322026439231618749032512325e+733 +0),(3.928553853833885836799651861474061570055774850575875052634762594705004414128968120831271669403527742584405323693364419063819805310225525702746241117733543305218406227754900580638732184061975530238296090558596455674303198707914948284652459112383436600078214622214730697285465282481358983796066950223334726640160e+705 2.841711210098272890214830997986041379866978997218943279643502322138577690608978567960909529600260345457133646408182103703168065296180346360817768094209179693445373730639122298453894607321940823446576674379684170589646269042788228781465466380552306221026451644355324325512354406004983250328163172355461243369203e+425),(1.052700524490832064059745562551934211131788291585381239178204228513935229193581226055668505412233565184868087178359461057836612162135205244391218134819304705025209729310677748298059574307688010816536917406461803325722148408094943177975666087055268801226097533169478228081582846887007174807862905913888212378703e+728 2.820702554091377604921891135850908652792077955639726276186870492701303488865309962187622715646753821062911109042239857914853607439607586696587786673789941756234616663861629751231595128204037577975895001973712765626805973511447622579325603363191234341316163408163523848158427451682442818493743905659314893632002e+727),(-2.351301360921303856320888308881265171648155643665413350783414806845017169282496627898151679974408725187733909796255838320192322763580391335978860209563239936610679821735868019381262146380688402129991606426320699299384733442312180970178051866874379297113441583844610189908505849428001784140139905145807570493188e+727 8.775176142864151941465030013497111269747999713035321945655558388656352222997478478584015735878491585293738326234302354877667527613555310620792038359907349264935243379307100623310507663017592893252426595447050319893029740393961613958496154605756530760182197620792349876525454377843634376260606499756956128637920e+727),(1.052700524490832064059745562551934211131788291585381239178204228513935229193581226055668505412233565184868087178359461057836612162135205244391218134819304705025209729310677748298059574307688010816536917406461803325722148408094943177975666087055268801226097533169478228081582846887007174807862905913888215778674e+728 -2.820702554091377604921891135850908652792077955639726276186870492701303488865309962187622715646753821062911109042239857914853607439607586696587786673789941756234616663861629751231595128204037577975895001973712765626805973511447622579325603363191234341316163408163523848158427451682442818493743905659314836965829e+727),(-2.351301360921303856320888308881265171648155643665413350783414806845017169282496627898151679974408725187733909796255838320192322763580391335978860209563239936610679821735868019381262146380688402129991606426320699299384733442312180970178051866874379297113441583844610189908505849428001784140139905145807570493188e+727 -8.775176142864151941465030013497111269747999713035321945655558388656352222997478478584015735878491585293738326234302354877667527613555310620792038359907349264935243379307100623310507663017592893252426595447050319893029740393961613958496154605756530760182197620792349876525454377843634376260606499756956037972044e+727),
8,0.88,4.232635e+707,4.2326477e+707,4.2326285e+707,4.232581e+707,4.232574e+707,4.2326087e+707,(2.539567489911661203835845843550239878397172727984811474246686686080020453383202603909112354452746788804633083386339677641916446756743024085091157373087810236218567675576314539684879444404872452564991590451854020540891076617854175424275959796274505388146241558815366927847964497205610082044289576941727909308706e+708 +0),(2.218377165496170211827396521284960602964196734507474900488655610054383023712695104809350009855185278372995865801798455129151114678951583421125995880643844902234509415880576938963966965261765880853652483633168184893897434936984497609437707265678341357550443735790939964620440711184650086693104880877510575703528e+680 1.159799311953626295772269358962795425393227392322881526324157661125144367351021680760394857556925047951542322689747665157996790607862316142628017304576702793642799262087226556948159366627082883010279534737502738440695555977346000798744655778580456002545390174664797458936226830307711651862935276332278960538902e+400),(8.651497299341205011673492344529659953766569353095436997429129507655258047546322840186548626778244736353092844000129911513013351881880024019502627920279927644645325175818799814657603994284963589193358918712178210755245952884329058554565476262668008954674685544356256956905467629735024567135716813863842052657642e+702 2.318161714678514813294966714529682285607307262220396020359044264176032139304348397192130098286356454996868942572585021259330163547051450092490644671439380469427536372037442745357686254368395680406750726921834502530799559079006976506262256096240286269243359201909793989086841190349194887280746148407041902248196e+702),(-1.907925889450100714891284792731362942474592316464477031597874079899016994037454984394014639230191698397100376559784933208642287247294048724290092205800776350596014946704443301420627951433612487850960733772179245049638965026617306527587267488208620720434989896375389754781068352425446185567628085374728220734910e+702 7.120476356503814465801767943605023291799904985414615216937561352707478573144528240987194779059584744487714762051872768654156455647015349957195625941892943559817358552234243537971199052487984927817415043590819395348197712226371719725695496728137532589255729220608519149822163270849178416734625164572927851271607e+702),(8.651497299341205011673492344529659953766569353095436997429129507655258047546322840186548626778244736353092844000129911513013351881880024019502627920279927644645325175818799814657603994284963589193358918712178210755245952884329058554565476262668008954674685544356256956905467629735024567135716813863842067305504e+702 -2.318161714678514813294966714529682285607307262220396020359044264176032139304348397192130098286356454996868942572585021259330163547051450092490644671439380469427536372037442745357686254368395680406750726921834502530799559079006976506262256096240286269243359201909793989086841190349194887280746148407041875882044e+702),(-1.907925889450100714891284792731362942474592316464477031597874079899016994037454984394014639230191698397100376559784933208642287247294048724290092205800776350596014946704443301420627951433612487850960733772179245049638965026617306527587267488208620720434989896375389754781068352425446185567628085374728222199696e+702 -7.120476356503814465801767943605023291799904985414615216937561352707478573144528240987194779059584744487714762051872768654156455647015349957195625941892943559817358552234243537971199052487984927817415043590819395348197712226371719725695496728137532589255729220608519149822163270849178416734625164572927816116737e+702),
