L,lambda,d[0],d[1],Z[0],Z[1],
9,0.43,7.5770001e+828,7.5770001e+828,(1.515400024959401635782497878417322702798219217693398229775624740131184412951698367394629614130520849578936534045969658176346786398156063311627095182353214265914928897378541153406248395153257820221935578313648193490283668525432188365604081266779927602622178858034720431912004465174552033332003185356438826724832e+829 +0),(3.573761898198771799929849439606756469994192381121767337763935600505395681506194142817642797821540403083262412021588889477577484517259134808251991904673077196548136831782869934740286054369967419097874397798326853921748366742900878110523703281140547905123618557782205577497735405119103804858910991404545695873468e+778 6.920705644816546352524810013530779702069203523380796950539349207090060497138879539805008017764958604507117471151013173114422221481610638918845813037958939461870781756949225465632672712992286744060381840924441429216044982678355044323480361108921395113712074712247230613163241617948803387068376156780391417071973e+520),
9,0.48,1.2826185e+876,1.2826185e+876,(2.565237057835742480004163680347940414518841288099362894027134800933091554765850780562716942393403524692736659668650658757435531544976222780304807003560401897860569570866113775354456368918991807503244869148625212018576944378297807689748522911612764095767077749827540507461814493551942985758061140059004623054330e+876 +0),(3.774198370434137489392636803129981155465227204015951764341201656897084916393022836938190052804879356412048929348101262098286075199981059807077921600572147068373560106492705126939682308297925916821105243875840494755609874063377459206950926982189399425291768424175140687407796255462387016017974390108412257100929e+831 1.171522389735478016499769914755305092051902007462353855234501677732612538412539003077300169669984237682013324122923850694431079474785809431871661285773644378837213856818379592022234546809669551031357717555128892602085306911448037952487478656571792282961274151020082310967988807062069977920191922372609062287808e+568),
9,0.53,1.7948408e+914,1.7948408e+914,(3.589681627912569192448840948958830846241098761203502138750161023358685935592421052359333570241254712225394865473946628740539536686764981274718617178670486266386205521317777990885066944529226930078030754328806550140120632638345511949100447162339047127744200222580554077357287515695516826087633961319652756924414e+914 +0),(1.731512943279064173957346851669108384008492908447821768712221308887656844905758389621859923561627070002588541469192371103715636170063213519779652314982763319896759904847842000007722792171395253606481703212349130668332015500680881231986367979027947346347904680077843317485406860080421123920796603398640131298678e+874 1.639377688808889092747748084643049528853723126457099953788801006419568424150211665193881442086235712141274067086376707179093100557472272695595782126666675394829159770517863108218992206052884286461203830696835580187411709370160886096476309682485040212806323236980053517481110269856042853223080045678945257198053e+606),
9,0.58,2.0636699e+943,2.0636699e+943,(4.127339700986289165094409461240266406399874484885270365231833630954976841906737359957770264550034108802709683894701283937160142262354521841237215631120396193830054369306924350301256968206290230361989454403523079565972634032191082273167274300318208624974332909337570265904776589025181513424692699105563539760637e+943 +0),(9.065216027987254667836598655389505108973488450222517723367690841798219978802061633765735983668959124059940583954050609952901985199970053623455494496928360853578302222834300456657382816272486187418352607725331249658763878749592137648288663190946028890117788150085586103422919744532060781599064845929380306626424e+906 1.884921650800190222179951230705758927931155746882687676825425973095266483932192791987903072429396630794651719093590770346005583491492368904077222167273124744135653046981429680655635234745547582113389647569064191496384440386642208096717938627859519167340925975775972664881934386623340058690722034287709947873526e+635),
9,0.63,1.5673083e+963,1.5673083e+963,(3.134616687169107922157344191180930820379720961891155448973469794283828640388827256817676956469297876087606634005515404178192523895181635337346465461940415134732067454562300046098432880101527975845996184996412209404261217069332199612114440290760791071954611069272796550325501662352115150555273794386937265368375e+963 +0),(7.436215243585626322216720958856608019885041914150295670123678796952454787160093186380828774515011741756023048966964690852229116964473999921800548724136488216115222005548500064257207852612910461010321728321265392622413971029473075748410668821666464176504511017665548880720243462817894447162029885048225005123424e+929 1.431553322153902870200003862453259988459874626198024982871432120016394521985063433449017832637373358867521140146406994428537114745028844315252132810874327873496891273861470982683098312918548838108179022681486578815310660721110825485563453433620016641365580169249545435059139313118049390820658645468117832900220e+655),
9,0.68,5.0802655e+973,5.0802655e+973,(1.016053094852926380838506554197665747631308483715783319883921362970439570783889491718354275590441989602047182931026089425251815224491524785657552009884294106244972101869701829735168655477158260029740904763241830986520799563702110674762513478738913668227457275253048666764717916267226201921382455980187759161952e+974 +0),(8.736169051813781062787720864428089576085071018621994901446046778980667764314805708973137388679562079940690079262796606785195538946745554542668329272027552213979722246861497764563988716572144515568682879285599540268944055555208008216388397800580398374252826434939399172935616489012652202441718555295059662397338e+942 4.640229822597736292600355320735454268826176940090038868160475869422726793386344670529531642099864201714017953028879657589531946709562268310364139763001131202954481134378591104651984426984353152261758758935759600790333077177714973223408346133766702417916546017410125561019240586640368577094360602268861929505114e+665),
9,0.73,3.5905006e+974,3.5905006e+974,(7.181001116546734377521233383644630687981182838958573721858412991133112361829514023711022531779868152282238125076096882952282806875628221029279817336658353444665023002349618427915441377958060010022281974040253152714223270775542919924809532193124580727224249034492588733911049822847571756876199275391614758404122e+974 +0),(9.542490760513921260313409420751159034976007409885898160637733492636254211612171573682486599749121064886580440770202736627703579042829695815147552734338467498823399055455239611554525951275924262980637643755743403180729619611057620493545234716535180057497220009185240188733822032863526616701908099054282808235210e+945 3.279503374962022413201768743073548278689499082155206208478726000217449550215098860683396746126714746693848843212357087794655303424878215870702536090017659895370621584390603508103552501535845318490602693149521868940597835477801193229307872042112052749121259293088677913513142520175379874424755323475397020826511e+666),
9,0.78,2.1733827e+965,2.1733827e+965,(4.346765354451650726033315709852580483102430050207827797650919101588492204192344100441291936236622821387208600385649602766182342380993898947323507088770346650160644512646641863552397061223930337625591290017823873150783412367696400280509770654242968711003180184605526406875991462390917385604691908004309511179964e+965 +0),(4.521025793093365855983843855413656556028205952125242163540120806293636002204003181264153326097690893120741886104142974089540329530389047337896230996011875078054659457216393509048448010650964303597763814441052071196518554537148670724121984885226748711448767595353901120839222972374960381271672812072304283182503e+938 1.985131518395775796840766270046090638662870970204752184700408203861646774087485056647383859439157917694849049769417625783503086684004355195688271313956113676413808250059154765196098351964488269378922694996487814757334852991836104200918516952680072708300318346601286897636296659717262751554208956821531562057372e+657),
9,0.83,3.2615195e+945,3.2615195e+945,(6.523038946058104231950337410631622494923425833101298079765265315412389488259981687633733711885211129832015094263891390938769461450150687509782077662119022064771114773169468112920918008440834277845050542651597863244304506513600928231679409078683534354638411143849762508400837431000808681242184179558814469176072e+945 +0),(3.052599227244247997971807914562347995629243603389522333378380290628157947888929509217819332201064338503633806540685162523420746235401045321996482225998450811985655998427395814919532606711576358736171120108779749203719126482244396319683714594887419405049195515003797308654726664524642247675291438537020433487988e+920 2.979017534103045138683986350106284412820626509307558406206227701701253434487408069846738997788854963513925525403245261484591752709623302027845389506139165251404229195541206253841524227320591336893508494057493920440458317112055554098003557409052494666069236522493070721659435118888708722187021822944428589824935e+637),
9,0.88,2.4333651e+914,2.4333651e+914,(4.866730214153952170696567406914396190508255160550462891731513771544401243393770339913130805407068077235410003438565128271421527828175656315736390671684177014382036075623052155347465597480658462164282858333111170063893085922432048462072453616907291769008400039472096586368407204493802069127636640700721927045150e+914 +0),(6.477644482655392226678348183072683092634295478287757455910556577084840100451882177326727779427195057278631250885278114629807879630161499757723069416333434264164554117019534752655741910408088525946299527845909838893231113264458680226432627461106107172626069805279306941054300291583193953635715191022263420611267e+890 2.222595137267259418624048855010458816428795088074550857373321625160684859986261319703127557964077966711672205480468983936039191171239980751415180330687195744084862563061436320984758843572296885467405568201372803751536000536086074238964436023204531630327542192308192516772712396587737875732327692897236415713362e+606),
