L,lambda,
8,0.43,
8,0.48,
8,0.53,
8,0.58,
8,0.63,
8,0.68,
8,0.73,
8,0.78,
8,0.83,
8,0.88,
8,0.93,
8,0.98,
8,1.03,
8,1.08,
8,1.13,
8,1.18,
