L,lambda,d[000],d[001],d[002],d[010],d[011],d[012],Z[000],Z[001],Z[002],Z[010],Z[011],Z[012],
8,0.43,4.4420695e+647,4.4420695e+647,4.4420695e+647,4.4420695e+647,4.4420695e+647,4.4420695e+647,(2.665241683786968524874063512376994446519127404886727461756018753416146113131187622964227873246782606567444950243303436722928347838539146288418855266796182864279657037592644602725799633479744362604519861046709099711440741680936464999307523808894079853636719623005659304253849969069727340110332326061585486606637e+648 +0),(2.891602877319343739835337085741775355334188518329982351123597274010462665613676380777079915603468844314537512939324521964899747492122570238036610648699066080835313439937012550597927704427742918499529260407230855029810433098278632174726371292199084783960333989657377808220868813465192177683836123107291256507896e+637 7.748026558092289395728758012420477699970777364992696617030979062060281591883763053499337974384009012152696359546373187510492514682991990289039265396692062611743547397378323187306179055634063386759963826409612830423035793023398229354579926867507522735893110005606435998498116628420679859747088093908325691736043e+636),(2.891602877319343739835337085741775355334188518329982351123597274010462665613676380777079915603468844314537512939324521964899747492122570238036610648699066080835313439937012550597927704427742918499529260407230855029810433098278632174726371292199084783960333989657377808220868813465192177683836123108749718448014e+637 -7.748026558092289395728758012420477699970777364992696617030979062060281591883763053499337974384009012152696359546373187510492514682991990289039265396692062611743547397378323187306179055634063386759963826409612830423035793023398229354579926867507522735893110005606435998498116628420679859747088093886448762634273e+636),(-2.418415634784357594295685276248074530863062403526731806008045879528466158521664433791260248357605191622024885487825103160023081688733105629075748495819530741017019362962277903464700098432699653268665295156246512741588773561109651291743646836432766107073441840024216529915963209389357691537291559512166086996593e+619 1.217193669128980676786314505737322621010247519339482779955077715055735718069150625069670154666134261534607915295498012819651509989797719997473941191716603761091692146836083851896163830400298766348864184600093283100928576759732539892556811486346215889335131028760895332864038470082927768246807112233555940424494e+340),(6.152577382096758300831154750739051010817793603093223423331606812168925605405125801610130504084534671276275224478952303997524468493920346713032605264496306775010438896191102381610080489312632362717958074243864164460003082838860165950762070431021937697002554134195940199460969944930766012855243054800001443130160e+636 -2.296173138748421573804624491569959891316560734568933019052327346212862376400947492856484726020345968656589073318536650929159628403755869805548904543283277081181839558323547314658309814558605406199147744766269763880604594790291505716962229411047476560146275596812712344446612640057444262762664292072255774294015e+637),(6.152577382096758300831154750739051010817793603093223423331606812168925605405125801610130504084534671276275224478952303997524468493920346713032605264496306775010438896191102381610080489312632362717958074243864164460003082838860165950762070431021937697002554134195940199460969944930766012855243054800001443130160e+636 2.296173138748421573804624491569959891316560734568933019052327346212862376400947492856484726020345968656589073318536650929159628403755869805548904543283277081181839558323547314658309814558605406199147744766269763880604594790291505716962229411047476560146275596812712344446612640057444262762664292075901929144310e+637),
8,0.48,1.1928698e+684,1.1928698e+684,1.1928698e+684,1.1928698e+684,1.1928698e+684,1.1928698e+684,(7.157219041171322956056764629253020613730160788953774708666452297668384895143503193652770628839118810615984363955082475825312272483844652659218883427823179327198614652059489413637044047127030174719686654433976426348848386517183915634204196054504658019413628177145299099528967286495739885065161063627141101122768e+684 +0),(1.079141774151935973920480019548790803030916698093453391495765649616627289538045777112064238240076721763256861655227155173906084919616446043203797006368173321179365811494450459471344383051039499976491125320346303489172256116793796639545879857119286213593676793100823771686945859730079948666195124298237517570156e+675 2.891551669027002517877015784742891223794520798011963395440451596432998983090873860359926795334611014799164070832021385773399524890943259319124335954055060609992504770840374605730119814138670039133839528935307534287646865259559983553195528968389658136507823481747643339808721030547104844501641603522333520251462e+674),(1.079141774151935973920480019548790803030916698093453391495765649616627289538045777112064238240076721763256861655227155173906084919616446043203797006368173321179365811494450459471344383051039499976491125320346303489172256116793796639545879857119286213593676793100823771686945859730079948666195124298276290138988e+675 -2.891551669027002517877015784742891223794520798011963395440451596432998983090873860359926795334611014799164070832021385773399524890943259319124335954055060609992504770840374605730119814138670039133839528935307534287646865259559983553195528968389658136507823481747643339808721030547104844501641603521655000296905e+674),(-7.884780836384159839530159711303621972742999548906412654546742986899636612087285291960307895527109715187296327376341361127108450771350899774614795068657344889705703713716935365022897125942175471811180845194784041734032126062246606181898565235220960486694641305040311487367510922042762456390513425222687998356379e+655 3.268642299299807624119278237552100874233177189543924684931390558225408229174352081148745807278546737028019850029487195387810484010608610374630035098995766576025086622430602060202766188297339315179111062560286228872401479991398129008205748903120094595178056986481143933287384602956265023143575771667901524563567e+376),(2.403143752043018445145147522563235489689258584471501738663193560534604592900560709758909272361861493190238061609586793610915168524533614608252746547223613240055549505698286020481989080635638809589715097228544994324758699155738074519139289205865571319048818214114924037939959964001942002193054680803721789853412e+674 -8.968654580516248800539458013109770581279556457697590527177019177205590930484313919295257145061462504918667067995736506344292999857759713911346103809952214936692817245758968137687723940097925628300369799485277572078742311374698753776070110138452496131529112980672473667180245073247203369083020407548325694266928e+674),(2.403143752043018445145147522563235489689258584471501738663193560534604592900560709758909272361861493190238061609586793610915168524533614608252746547223613240055549505698286020481989080635638809589715097228544994324758699155738074519139289205865571319048818214114924037939959964001942002193054680803721789853412e+674 8.968654580516248800539458013109770581279556457697590527177019177205590930484313919295257145061462504918667067995736506344292999857759713911346103809952214936692817245758968137687723940097925628300369799485277572078742311374698753776070110138452496131529112980672473667180245073247203369083020407549391939909803e+674),
8,0.53,2.1995854e+713,2.1995854e+713,2.1995854e+713,2.1995854e+713,2.1995854e+713,2.1995854e+713,(1.319751263587521531778427610048765836103021429651853554681192769249781118820712661823146071182818459559519217811472929292475962508267755789821033336811974226928356359323721228061574000216952029091721207387026802155134674062468376587031587844426911850406455509177954687196487168089799377336723559545746505810537e+714 +0),(1.654062437622177676775564705853746885960218553051801629021872543308319761207880664377865986318325553189068149303222206239421273476253561816914505247089562396182684775866239426101510167850063152195043865017164209562718001794487636166994016879755664685742389094698853161610200701416814669420268677007422998686303e+705 4.432046943915167845547124291107222493978043327520762421590636098565329893131542639414275523236155815304537240081394734516047087155525590662017269564089234601425594142504529559811588043762026643210228407668089621381327237016074720969915804041896706526567863074165631049931475193668613470330956067168558069705651e+704),(1.654062437622177676775564705853746885960218553051801629021872543308319761207880664377865986318325553189068149303222206239421273476253561816914505247089562396182684775866239426101510167850063152195043865017164209562718001794487636166994016879755664685742389094698853161610200701416814669420268677007429142445072e+705 -4.432046943915167845547124291107222493978043327520762421590636098565329893131542639414275523236155815304537240081394734516047087155525590662017269564089234601425594142504529559811588043762026643210228407668089621381327237016074720969915804041896706526567863074165631049931475193668613470330956067168450553927194e+704),(-1.799381136089051886014605344450834598615047877040649301073677134903560843206615629974250265736357258916014048955809774063708811529539460484116248485851663488813332031351737111868584796365246752323663220575749041094132955980289381996652347602865995902794886882018398193368985006892028970167153330537162036732748e+685 6.027194053866156068514853325073010950523242430039203474181594348565616250920216105648775180260857110360797138848183442436783752019610417997224436895007230939641219782371284061056474184372275410320303304258518203745036937637237832247441810881233668333394407665109109904811865117591999341432868425106205114442010e+405),(3.771767932556383574703462677856614345386181744001958772615688148582048467295073818904218050402668558363646965131576588410276421398660755970288643706322480384128110012408724884839547435619945590018172582168710584440840455523921999950485541792754027878986828609141872496943169240138648578828616850582352326893655e+704 -1.407642955865944602625988994835549297489586957598846590788184094723523132763004285105206647054330967636642573055745689251533406548233376654296621120444664641990505869106207434410993307050405563059496946070992333532052714608081565490313507424596966170122260527139314907121479305765090606735310825400049014802816e+705),(3.771767932556383574703462677856614345386181744001958772615688148582048467295073818904218050402668558363646965131576588410276421398660755970288643706322480384128110012408724884839547435619945590018172582168710584440840455523921999950485541792754027878986828609141872496943169240138648578828616850582344647195194e+704 1.407642955865944602625988994835549297489586957598846590788184094723523132763004285105206647054330967636642573055745689251533406548233376654296621120444664641990505869106207434410993307050405563059496946070992333532052714608081565490313507424596966170122260527139314907121479305765090606735310825400065910139431e+705),
8,0.58,2.7589054e+735,2.7589053e+735,2.7589053e+735,2.7589054e+735,2.7589053e+735,2.7589053e+735,(1.655343192923228197489925439477670009799456525942482637854400715910877226290339828380074484412337895066981607931417216476615630057047315124693972955671072755583951042071292885517116381955850936598759998392938006056043124488936803859920585649366665616357924672702274101868540908986087676818517032159546226646771e+736 +0),(1.183309039829643909104216689142832197499235962309981067110304624672119683198341488057106080983171053856875135608947259384403465830103365060754924871149828295922756485511188250329725785261557680045269775743108061731308529387557298735505697503020997981952031776321494514078804681087793119637652195169044762754896e+728 3.170667016188002989369911498414211716990620445883614221975868325415745686183695944417335474967318256501485190296676079575329328480241753733104061444113666287889366614551594834049215675774717967821606532405916480220036862921775053784408531850608096112506947227208706959625253494833074432646777403870992423640556e+727),(1.183309039829643909104216689142832197499235962309981067110304624672119683198341488057106080983171053856875135608947259384403465830103365060754924871149828295922756485511188250329725785261557680045269775743108061731308529387557298735505697503020997981952031776321494514078804681087793119637652195169045778212713e+728 -3.170667016188002989369911498414211716990620445883614221975868325415745686183695944417335474967318256501485190296676079575329328480241753733104061444113666287889366614551594834049215675774717967821606532405916480220036862921775053784408531850608096112506947227208706959625253494833074432646777403870975015792262e+727),(-2.828399210457619012681845283745548742457261616709455830328701225964312867569339195633471369027034547343588625188650949712404418645592933736435346829399450933573573968702728883295007376080319316634272157636353730416472564109440742016336200038507608920321741237730619205770801404813648431450861297433595909460956e+707 7.559814432284536085556237952347843651230676731196879931064389539938651727665249364964315796655763698881840278945179677822942770919960499801798088032679045588681721978097817431039871463260780907025929735074741775078509048356138712770804342834685263514396879597057057654186052203511905279724928120852594845482310e+427),(2.726317482168531617323664579665370455286834129805039915027680463785296039383863916515429345754415129851492197081539550756381259208311265713464528110133102178571338103780388594540320394188703662751393941611118010071680960517560294225198890915924758736821477300573314865641252401723942359514281500840983120010972e+727 -1.017475536101621664299038516202359548300969206626394472506706812933401387368393016627510348989751898943297732611877011700454476522507410503272327155406115181149638944544895812186918461691149880691466237162242918185962600570073517364940004205623419882474793220962212961841068195946322337235344926481687214835535e+728),(2.726317482168531617323664579665370455286834129805039915027680463785296039383863916515429345754415129851492197081539550756381259208311265713464528110133102178571338103780388594540320394188703662751393941611118010071680960517560294225198890915924758736821477300573314865641252401723942359514281500840984570664996e+727 1.017475536101621664299038516202359548300969206626394472506706812933401387368393016627510348989751898943297732611877011700454476522507410503272327155406115181149638944544895812186918461691149880691466237162242918185962600570073517364940004205623419882474793220962212961841068195946322337235344926481689826012779e+728),
8,0.63,1.9760554e+750,1.9760551e+750,1.9760552e+750,1.9760553e+750,1.9760553e+750,1.9760551e+750,(1.185633147822807534299065203401153544890652025706690703393470267624155705595664395143165040867204932639451838225234771107519083962566605412154919833218843482151309242255903853108827816077664005175795996490283153239252943950392284317551046666015885868175668266574660256682793391336910027617263196686359936699866e+751 +0),(3.635730791996392887483475307957509106718763990286585978543889109999711638056277636631544641431727202071946228244545244240497029136025276931221551123953133532153712589212580387672312393884691114075037094456954265373035063056612273313211241692111167547476624053885557081465375357819237222108898188835683771287369e+743 9.741911296123996401668175995750667844373290484763222842878345337949316247005705680387107537340631977891863287430501619754227219473193115065916751780579985388908051325272013971408242252110794030211688361156391907457726858222233475524087406886847507243581308360064918167904367973305612738049972960208845296073988e+742),(3.635730791996392887483475307957509106718763990286585978543889109999711638056277636631544641431727202071946228244545244240497029136025276931221551123953133532153712589212580387672312393884691114075037094456954265373035063056612273313211241692111167547476624053885557081465375357819237222108898188835684424603861e+743 -9.741911296123996401668175995750667844373290484763222842878345337949316247005705680387107537340631977891863287430501619754227219473193115065916751780579985388908051325272013971408242252110794030211688361156391907457726858222233475524087406886847507243581308360064918167904367973305612738049972960208833863035371e+742),(-2.562979364207694788764668706045856209864148639289356647205755638391087347872706386099170117565826164393757843917357012648934418442826883133589525818571494858445180597036188056635133022707807767133451899149537432658583159238433828289761106461680006968483605200402930221286807931203514138872109542383005492683900e+722 5.414687794424935623211840259976348473349173669097907230496775850793824000951955141627632337578477474425255609229143462660963333404220059406474930620267250902764357372287897792030496919540855962707760062300634971949687859373452767553460279904185673723794531508950529297917951961712020456894399597584454986493626e+442),(8.391866845589263811541047235631210592871175862510678029904353840331234626492785340527913465607346959547878642113903684622084084621716709958827876627566572479439563314156367410760658681441582652472347465052539783641874085105027608448132353642697888298445896866213757934194452935533857568779749156094301299900032e+742 -3.131887343809189889715593031155124339354412394994931652339990759323455003115883649751133969300920975399533940341618621218149911950151016374096405698484998315312974325794305780270425986145732909233781830242491786450731370829798989495899116641931946987133021074032997168776326389595560875392837757981508091973462e+743),(8.391866845589263811541047235631210592871175862510678029904353840331234626492785340527913465607346959547878642113903684622084084621716709958827876627566572479439563314156367410760658681441582652472347465052539783641874085105027608448132353642697888298445896866213757934194452935533857568779749156094301299900032e+742 3.131887343809189889715593031155124339354412394994931652339990759323455003115883649751133969300920975399533940341618621218149911950151016374096405698484998315312974325794305780270425986145732909233781830242491786450731370829798989495899116641931946987133021074032997168776326389595560875392837757981509888593817e+743),
8,0.68,5.7183259e+757,5.7183231e+757,5.7183243e+757,5.7183254e+757,5.7183252e+757,5.7183228e+757,(3.430994669210513312534089744902642160979179695124241975240933370408136439094608703803193600665324378499544128354117205985464296094600103429041715919690378254594912049201758317647460607443888571729070544471073966019603822786921397592914287102839207685260737712547719813682780152438241839914343008564046676933046e+758 +0),(3.617689759690650960480605019889625897049170979732604870786172741172204434831908252295852162297230429588216687517385135323744320509008699479318992031923632106264372860007641846160859255188145440842095856719547105071849047058170783693619951835826569774485520052896905261660722113469876646581149643872498621074456e+751 9.693570495754522951899584997405266910538979992791340422897632826541498340117757304726728775020660331553091445987615625486472462304312869422391809688200289712157033392083003756561635775607368062492546057495598257388449529196236279816597159706818113509559980382343190318121250244890524147839254903877200145046602e+750),(3.617689759690650960480605019889625897049170979732604870786172741172204434831908252295852162297230429588216687517385135323744320509008699479318992031923632106264372860007641846160859255188145440842095856719547105071849047058170783693619951835826569774485520052896905261660722113469876646581149643872498840291095e+751 -9.693570495754522951899584997405266910538979992791340422897632826541498340117757304726728775020660331553091445987615625486472462304312869422391809688200289712157033392083003756561635775607368062492546057495598257388449529196236279816597159706818113509559980382343190318121250244890524147839254903877196856797029e+750),(-9.474153845096488719586748160845671724729542472957453026203061979303492739963550557891970464501949458382967651230641185072296940802192189293379997199016363666628392313871013499557546997732885599389389540296888309981946696996662942242747247698327096565403466343581675578926215118079362374028607528165060802465302e+729 1.566906677012679682947061443682869456680784648042898679126619790354032699839233236285904666738780911994961693928745941845606065600847619855625689988027105535012606247222519322774331781791485563473464106436283283062272514787363900014576105699215002612464772355463187387282770210187930657984901323329638010391102e+450),(8.318925525125721221401553646699460333822024544998952618436380034382833687350087609712621951718262269666510310065575397852119433352877128295324389166266329789963839575898000933839908728787844521969578097436430102038870389533352127698955335809104739329601523239075468245662516363937052442512170765016322043679451e+750 -3.104665272415079449840150287859088194538356949342896543826040627107657363664675561709432995818955593406870815774580248315386664983887400111719173109436032767690755783641472140060921385483924397143431033730222286482320301581019787040886736067004543069125042780764039605624013463263339118574750839522277037821835e+751),(8.318925525125721221401553646699460333822024544998952618436380034382833687350087609712621951718262269666510310065575397852119433352877128295324389166266329789963839575898000933839908728787844521969578097436430102038870389533352127698955335809104739329601523239075468245662516363937052442512170765016322043679451e+750 3.104665272415079449840150287859088194538356949342896543826040627107657363664675561709432995818955593406870815774580248315386664983887400111719173109436032767690755783641472140060921385483924397143431033730222286482320301581019787040886736067004543069125042780764039605624013463263339118574750839522277531059271e+751),
8,0.73,3.9348033e+757,3.9347976e+757,3.9348001e+757,3.9348022e+757,3.9348017e+757,3.9347971e+757,(2.360880193582713854954118851664544496005030488430262675054014587754388506677207398608050270127412501240583398398134382970101697006340599550472009102692260507567209777709291761688074540322505949918442717223639829751933734667957356565515992231021650934231403305900718347293167686909188912747302331962530027244713e+758 +0),(7.180496933529643465820340424872798251132816723601194826282004478647760837567510124206493449269144692536989021259714009468550996096326179767525551487289908106905738849183174172591347860132921244803533133921953037427500669790094221336124318654165306999840827118530575667023860529508927143112145903622766629509151e+751 1.924008354593420946470581144220144793879177762327970974267442071621742214189008162690032618775040388235016188885952459321969711636337562047591386529634025862658111470849973320518238694966383645123523967240991752196952009984036642336284689500106888381064395124114229511074267783422706063233227016291415531917613e+751),(7.180496933529643465820340424872798251132816723601194826282004478647760837567510124206493449269144692536989021259714009468550996096326179767525551487289908106905738849183174172591347860132921244803533133921953037427500669790094221336124318654165306999840827118530575667023860529508927143112145903622766739117470e+751 -1.924008354593420946470581144220144793879177762327970974267442071621742214189008162690032618775040388235016188885952459321969711636337562047591386529634025862658111470849973320518238694966383645123523967240991752196952009984036642336284689500106888381064395124114229511074267783422706063233227016291415340103055e+751),(-8.429963614128986399152638527011514501777397477343026423340482445571491871410021097362397822532036566471453377063748715929738736305120139616176617135381729445161120648501240940590867718332073276255854567295639913521378570352403752468147240610690308750411945087203893102323352031343949670060393253654925734725977e+729 1.078194312614004194809448212587273359056182650744413175819552053319777474146861839483533764805024225102466568539409122311617134715258210870071009363912499860673069093697289911231423152250430452651506230140911064547633488641721171665046997901941978886722110970147709702852883463530509032213241589727555101190675e+450),(1.638876193961877572677290143963110449217188408886584738381452091435720399883810880294617342921585073213870519871524946397106510315979675148360721866417157810367660021082258064583846329510480253439083529846935614019660708062691993050957455391905828511350042708035981080868537771256771491985120170112973870376415e+751 -6.116369223180833174959147554091393607280762995969991382163537038142526060362357238169981234083800859872908843148413403708945292310184106521050643039048149010964351651211636800779127678844333470479666869458499653116481588512378144229926146934337451844335495583717570759366958036185244377785244628612895137220578e+751),(1.638876193961877572677290143963110449217188408886584738381452091435720399883810880294617342921585073213870519871524946397106510315979675148360721866417157810367660021082258064583846329510480253439083529846935614019660708062691993050957455391905828511350042708035981080868537771256771491985120170112973856675375e+751 6.116369223180833174959147554091393607280762995969991382163537038142526060362357238169981234083800859872908843148413403708945292310184106521050643039048149010964351651211636800779127678844333470479666869458499653116481588512378144229926146934337451844335495583717570759366958036185244377785244628612895438643456e+751),
8,0.78,3.0832685e+749,3.0832575e+749,3.0832622e+749,3.0832663e+749,3.0832654e+749,3.0832564e+749,(1.849957622589943413943342391430389531613515319691652448303164167380364167820569728832622115787375632040777226952543701853021261641027571765898089668759104675444273410575989241154496151698407800972192931662002324376493883599558941009124937674473546995913042726787523204813124576786170759259678858904163406907449e+750 +0),(1.407496005167795400655355407097579756080447571708747878497338301528602081142554725681763717173333018687018852573638270765056041785403373928882580727892722334575929827768623898958455528095475807733044821243911438862663157631552762443057750486293712887903864890090410156640669315768015965919431077772005712851013e+744 3.771374179347420889510271943231286671897079472367912190391240535851893955223903267366431050669789404789051601708699846467543406379232475569980218616585243719810711510130543787518151513287099005217446716396994679226000811108327185381097021700387198468585916076132307484435845587820085758794142637297429117526766e+743),(1.407496005167795400655355407097579756080447571708747878497338301528602081142554725681763717173333018687018852573638270765056041785403373928882580727892722334575929827768623898958455528095475807733044821243911438862663157631552762443057750486293712887903864890090410156640669315768015965919431077772005724079890e+744 -3.771374179347420889510271943231286671897079472367912190391240535851893955223903267366431050669789404789051601708699846467543406379232475569980218616585243719810711510130543787518151513287099005217446716396994679226000811108327185381097021700387198468585916076132307484435845587820085758794142637297428974613783e+743),(-8.685587052765859167779422200444118638981310914309111344029392912084412071258348622169420235061958416860399257805039395700510336322785999669786506986205000632992646838588338724375937194847055258721815580319186246999304695126897323480623482256230098749606942357002576342181857823027294303591451911951606145041318e+721 8.448602316522080607425488809446200933543783065207773446897838184195293984432703410470325190591569671495762701927251913606492989762874357023851683841523719389518234787455903315233476705012564716750078768185358892589143962437728060497554823085943029499278806362718655870535970844315994240893315017781850598869792e+441),(3.180597949729225320819400345290174157818629930051239701705679663397536498767032778410835920618675632842206964684734596269989230807364627016994015204494190488353601169055996981120694532130043974097483474169354405707010145268237918896263751718291041525402403152719118490454170265506543279593255330922331612990880e+743 -1.187015314683887070688258553413396995139395835879854257443760872288064042808129738009600345720169041559816786157458352360091721756789678095171528437718057497414022064932166090115642190287540572488411681387845402295108154924533612156024628167827830408085149286424939916001611056192312565797321364206481555653024e+744),(3.180597949729225320819400345290174157818629930051239701705679663397536498767032778410835920618675632842206964684734596269989230807364627016994015204494190488353601169055996981120694532130043974097483474169354405707010145268237918896263751718291041525402403152719118490454170265506543279593255330922331623198950e+743 1.187015314683887070688258553413396995139395835879854257443760872288064042808129738009600345720169041559816786157458352360091721756789678095171528437718057497414022064932166090115642190287540572488411681387845402295108154924533612156024628167827830408085149286424939916001611056192312565797321364206481578110778e+744),
8,0.83,1.0370684e+733,1.0370602e+733,1.0370637e+733,1.0370668e+733,1.0370661e+733,1.0370594e+733,(6.222384623359437907570090402826551875031797486528484961476444227300616028704531345511512966203267459074294933139584973396732849525189866741305544555729580572198065934729781903336060516673381699061574594312115511289275654861073147927997673085512758778424495534687372616106449188481142322026439231618749032512235e+733 +0),(1.052700524490832064059745562551934211131788291585381239178204228513935229193581226055668505412233565184868087178359461057836612162135205244391218134819304705025209729310677748298059574307688010816536917406461803325722148408094943177975666087055268801226097533169478228081582846887007174807862905913888212945365e+728 2.820702554091377604921891135850908652792077955639726276186870492701303488865309962187622715646753821062911109042239857914853607439607586696587786673789941756234616663861629751231595128204037577975895001973712765626805973511447622579325603363191234341316163408163523848158427451682442818493743905659314893632002e+727),(1.052700524490832064059745562551934211131788291585381239178204228513935229193581226055668505412233565184868087178359461057836612162135205244391218134819304705025209729310677748298059574307688010816536917406461803325722148408094943177975666087055268801226097533169478228081582846887007174807862905913888216911997e+728 -2.820702554091377604921891135850908652792077955639726276186870492701303488865309962187622715646753821062911109042239857914853607439607586696587786673789941756234616663861629751231595128204037577975895001973712765626805973511447622579325603363191234341316163408163523848158427451682442818493743905659314831299212e+727),(-3.928553853833885836799651861474061570055774850575875052634762594705004414128968120831271669403527742584405323693364419063819805310225525702746241117733543305218406227754900580638732184061975530238296090558596455674303198707914948284652459112383436600078214622214730697285465282480792322067754463922734571664173e+705 2.841711210098272890214830998344868942020706184496983986393234784087668730685938740160594243262461738129892417955975288984240347663623052505842652025360206605909490639262293674931000243440608465953729010547104304877958079998881193155369122448938839997840620374156023368605221667492838073661984635159593022452381e+425),(2.351301360921303856320888308881265171648155643665413350783414806845017169282496627898151679974408725187733909796255838320192322763580391335978860209563239936610679821735868019381262146380688402129991606426320699299384733442312180970178051866874379297113441583844610189908505849428001784140139905145807576159806e+727 -8.775176142864151941465030013497111269747999713035321945655558388656352222997478478584015735878491585293738326234302354877667527613555310620792038359907349264935243379307100623310507663017592893252426595447050319893029740393961613958496154605756530760182197620792349876525454377843634376260606499756956100304834e+727),(2.351301360921303856320888308881265171648155643665413350783414806845017169282496627898151679974408725187733909796255838320192322763580391335978860209563239936610679821735868019381262146380688402129991606426320699299384733442312180970178051866874379297113441583844610189908505849428001784140139905145807581826423e+727 8.775176142864151941465030013497111269747999713035321945655558388656352222997478478584015735878491585293738326234302354877667527613555310620792038359907349264935243379307100623310507663017592893252426595447050319893029740393961613958496154605756530760182197620792349876525454377843634376260606499756956196637328e+727),
8,0.88,4.2326477e+707,4.232581e+707,4.2326087e+707,4.232635e+707,4.2326285e+707,4.232574e+707,(2.539567489911661203835845843550239878397172727984811474246686686080020453383202603909112354452746788804633083386339677641916446756743024085091157373087810236218567675576314539684879444404872452564991590451854020540891076617854175424275959796274505388146241558815366927847964497205610082044289576941727909308706e+708 +0),(8.651497299341205011673492344529659953766569353095436997429129507655258047546322840186548626778244736353092844000129911513013351881880024019502627920279927644645325175818799814657603994284963589193358918712178210755245952884329058554565476262668008954674685544356256956905467629735024567135716813863842039474565e+702 2.318161714678514813294966714529682285607307262220396020359044264176032139304348397192130098286356454996868942572585021259330163547051450092490644671439380469427536372037442745357686254368395680406750726921834502530799559079006976506262256096240286269243359201909793989086841190349194887280746148407041893459479e+702),(8.651497299341205011673492344529659953766569353095436997429129507655258047546322840186548626778244736353092844000129911513013351881880024019502627920279927644645325175818799814657603994284963589193358918712178210755245952884329058554565476262668008954674685544356256956905467629735024567135716813863842051192855e+702 -2.318161714678514813294966714529682285607307262220396020359044264176032139304348397192130098286356454996868942572585021259330163547051450092490644671439380469427536372037442745357686254368395680406750726921834502530799559079006976506262256096240286269243359201909793989086841190349194887280746148407041867093327e+702),(-2.218377165496170211827396521284960602964196734507474900488655610054383023712695104809350009855185278372995865801798455129151114678951583421125995880643844902234509415880576938963966965261765880853652483633168184893897434936984497609437707265678341357550443735790939964620440711184620790968383888392296868181039e+680 1.159799311953626295772269359165418298809014526008263522775046288963509826415211908153998701823389350240837743128366272964045478911744287909309703743483938074330848574103939956890162790434800746851942560869755551824001176286647888418950878580224775863575236074004405568033659994882325570598739644124007499694651e+400),(1.907925889450100714891284792731362942474592316464477031597874079899016994037454984394014639230191698397100376559784933208642287247294048724290092205800776350596014946704443301420627951433612487850960733772179245049638965026617306527587267488208620720434989896375389754781068352425446185567628085374728213410979e+702 -7.120476356503814465801767943605023291799904985414615216937561352707478573144528240987194779059584744487714762051872768654156455647015349957195625941892943559817358552234243537971199052487984927817415043590819395348197712226371719725695496728137532589255729220608519149822163270849178416734625164572927833694172e+702),(1.907925889450100714891284792731362942474592316464477031597874079899016994037454984394014639230191698397100376559784933208642287247294048724290092205800776350596014946704443301420627951433612487850960733772179245049638965026617306527587267488208620720434989896375389754781068352425446185567628085374728211946193e+702 7.120476356503814465801767943605023291799904985414615216937561352707478573144528240987194779059584744487714762051872768654156455647015349957195625941892943559817358552234243537971199052487984927817415043590819395348197712226371719725695496728137532589255729220608519149822163270849178416734625164572927868849041e+702),
