L,lambda,d[000],d[100],Z[000],Z[100],
12,0.43,2.9546918e+1488,2.9546918e+1488,(5.909383691775272796264906273246171465777658895124124462526968283819787009200864536358262973787748613701971480176413784555478627724853098099648989606677218497849226836850957030872663931822270139247087793031587751794976280794465178755392212718344514557295397755586828369959552789251103244387052614495283220238989e+1488 +0),(8.843330489021381562088782745153222729301857812069790699184734641819898007365734575362178360087676137051214876169739530267129240707325322500855722974020450614384936173781878081001401554203927188847704565309436111895479179321632977376352942267057929848551586663710194793205776820022802828071985901567457545738652e+1462 2.698766292692362037464353214362040109212944435891102467916496937145186978849518808304749631210731561218057416760144109157039642221422400894533830460274053708524756248545270933779538549070823462875682864056269677216591220720718251328076908972767733364132229780870443592781569795531603534995442967237155053636622e+1180),
12,0.48,2.7781344e+1574,2.7781344e+1574,(5.556268845179556903978231373100299211578698935415406973927898558976517958400929344055240481141791292929384812332797905255212959594370154673855626628002806385156499532464678328296129977868005920372848708650899862720584563063232003200639243836538723270289425290966498116661280362392803742328849002715218081564994e+1574 +0),(4.589986751998981175207595725362512798060948031554719139760973515980828044757773108248489314936986536311509774181890203495429550332656139602192762639227333758592252434109022679639777359078894652095162756791544789590059995147100564564112688175108041540264004255085194558569871769588719083266404181303854247567708e+1551 2.537501684545812046814289862561198858557586075849466664706626278082650207239595649553790682376081809571991107403130479102296748813274880178574351663735507083866430171047351323085058885779212272399355781296330229769663421006594443866438147706465699267570262394978201560093785753574991892330966717630139155494677e+1266),
12,0.53,1.9225999e+1644,1.9225999e+1644,(3.845199811877426514423287414494067608985950776588578925137111338114169893807550430284005269107602988699334552556851902243957721544204405916627681410690005019046466703951204905376223873049885695017094163709625337837676306172593962789646917599059458156008496362809735015856457020204242448897987593194564105022155e+1644 +0),(5.093742319759172539277764606463946209534381261508575793039376015651734338161759572836859504423122096018285320568637362888489937754804905620078879251847382966067333180876795676431797063182815134619487113376782448282482937253740516931364859819191470263454777017811058671788451292717162932612128637588789376096123e+1623 1.756070714346237639805635836491850514674209664255874555346696531729642499223407270336152177170050078360563832898452449942217972801468461715334561808026404308129728017018091580802707913823272078479731654848225476624952359117637891471491989508780407097536648899257943805359725698165779256112226311497088613728274e+1336),
12,0.58,9.5971844e+1697,9.5971844e+1697,(1.919436887587533410059729703733025236160168084611627002115293525789392689381463925200775262801116924328436605452419774023875317978891436017067289381106266081293293147722144722992902454943821339682147105349622525243428398106118982590041264606176563610022904165441347111235454733833328068576961370050110618312954e+1698 +0),(1.651723088378334550964484773065298940917701516254614693546914481752752449959714019201938579501100851224186203633078357020666186355441238066960277929879606156575402774051710208498558596720474825830723419943478272823336766873702053147939360230281742620071396410010556058707204006888432913987452046674858499905665e+1679 8.765908330476652026223194806365920785926073861396990307794716280338282921759395889163806012619043829081915403145911766695021072812467922815611893330685164682987768957807266865763138166887645974466114789833449987809799802383868094382084089846408244157746519726242133640156969492969951933905460798582622865656714e+1389),
12,0.63,2.3278138e+1735,2.3278138e+1735,(4.655627679094566098516637788314559153825269977652700750095267756425677070711296458609252944277779665320231501615213149846819124573984918623283739553260737919504486978326492893237167353493228947666167312384671199690741245012114618026714911594946764409116842950605402528239840382605818175762832701720119821717785e+1735 +0),(1.316493443289388797223575383949853296285704744467146869364193554556909327580545864192321040424783784392560889943582601026178940704664237732015913713025621290502842723323473466775802278098479835194495736125066963624178325438785122645591112749043327590014311222203622476977233525910431838698687107772847789429989e+1718 2.126186368496141274811426704518715739685854566630245532985120676710523655776986882479605438421883091125158842034365906961967971914850470515620843034709127320013468452485848679351347231224944938538756412847249555323809013558035229220710754081355757804388009586125004540926733803150428520263750201605749142378260e+1427),
12,0.68,1.2549184e+1756,1.2549184e+1756,(2.509836847631928583245123274242113883358403692620779025237194957223427586150561681255665692679408321199987871482723629695814525566175669616182870704312709746833568700097970600433979515355293424158048820313486072229542798606120111500126056181072376638331509201362728725897854293566851323230069701754984670360885e+1756 +0),(1.376574115400016274858592524386776191595634688660569522010059552131512142333926923970602096772263671090082751663318755692949249067090170035350647329331980599735100697525745303535259616774098075965029588584639320822836069542502462760440022964642513281192515789425530659555597028438303382825773905452349674854857e+1740 1.146221575352039509254347118211151289346033475108651497875779379259576674159776960077986447452298980045172190278519536871849267263013416225722250575477962963702049680128527520633146425574394012216702548729671226556821300035669785159652626169121689018250087291790855478452509164922584615592637395839456527049054e+1448),
12,0.73,4.5334697e+1759,4.5334697e+1759,(9.066939312355176799263631661144543085456277707378443779211879442765600435941791918301226298871179246518940457179197376989180624554235956288854957179807724613140462027832443943636104842038476128098208098446838400258867920022226957859442672110880505487712711611061811651681431969746384024610913485304868479004013e+1759 +0),(6.358990497703123979751971542437323011441559013166468252028693677488251546109351946377056065616785790312547805178066500593325847451189457443793903049936205942900485024794807371584015385630860747451488362745733685306290930264978327817033203083701929677887301194518072246957085630343207497320029689773979386878812e+1744 4.140795634598632035517120141781630818664288147256103513688069765581627215457219402227628896192627236785854065761187736156295530176650358216289759438623910739588381440061104809106626418585200214964416611177364280890453362392447242118460889848369576760891721398349052860000412013193503748816971381112100791825015e+1451),
12,0.78,2.0741094e+1745,2.0741094e+1745,(4.148218731543305554936389041822526538465846276810829738644913946588064749489955053865239308562901392617556302808707731396567669715948995516757951374539341121173674447338457218444482019647058881760388404139966468662261932457203126132667441863096032844310832610897455667693460751433451302892917872360019147058215e+1745 +0),(2.660326527411610573035637461357223642459490443690278056285682099027478534938877681151342645135970226960309870765173970773682861907111901734107489497902531858451946883232190636833057499755169291801790505710373213043212631400244123413989394211888693922497186622073900622250755015381815750368765241765671576182884e+1731 1.894456930083158924999510750528520273302268023639098580877047174088200899892730323756103711570443524722553711246458694067128203995517345310752458470513865573903027060524979420821753228670763854848970706369305369781385545720254751533141611141062071255257245602796399817630740632723200679954173232393912527376309e+1437),
12,0.83,1.3194102e+1712,1.3194102e+1712,(2.638820325766351566159675397283327132177346534571534128566187050753040970236232666075584421048313064616751864560921239108282303260658062083994310485539921438600405155646611794504369263848724382166578031100306753750492011162446827144352731231650457286803093788821347942628730401170401728236935024864803587661872e+1712 +0),(1.176272055632817515453626351512111349947845877326766241154457085202906931338597687747687983636282569770967027936650736439554935761259825371919491251961616863645190560612169101234821349544118884047828483700093389291828827017419290795784005826208239827626652288291742786882605326442891362374200527127611893028650e+1699 1.205127255074202266178280872547075955078369703430020851113035856953241290228162476099806213397153189986193378904941787230142848367142489583281467401987235165679288927311237546335183812068556887885101997636324281534781820461535229821763768093830056075337800381838493764561284999665799529627469863496025499100145e+1404),
12,0.88,6.6648436e+1658,6.6648436e+1658,(1.332968726645307969556281369069899804025185772289367737393000952179146816110453876172342562645552291512431265440393678175410822365937365205035350919081059046756143493954087946074309600395973149552584496223970772945217522549830083682080139011688727503565344228086335203419571526517928683315853711355258793349493e+1659 +0),(3.288701379210748239048638124973697431492565512685235097163232828367330144694285243665986840577113712477617147272434438567342029706562242699458839947339865403286808003791248438418573289961139997440805345649366984507673818984510145546202910401927032283282885784363698562061686613156527440891332541727690393006353e+1646 6.087557106317835549709335788776825287681392717174937294496771201975757866064083177962357767035132899595263848953391316196912987550940602797701238997229770143973642198058682186650433361448998649882400463930269804059117141861854629602439370253786908561220680660326275952596956826818783337454506661197260740269487e+1350),
12,0.93,6.7776289e+1583,6.7776289e+1583,(1.355525778643098013221515872190054924158682185808085815009451102972544214581550680072362725951536263141029279204916059846666251435973887767649932498948209893285157610551100756837265296516775885129537187106326863408689803731840031178343913681387393878433837249044205501626326680839444732924468498031491769842498e+1584 +0),(1.527688411679389851566733198381065935575838642938095586758347603116856315261926867500144806493669190270575406324905586603619443877678874461122340252947591109512338412239795208748594846527154927876536011647936053625695865552872211463169482724976386238437313061881350823909274482877501101604058847559478920517194e+1572 6.190573283242744554597524639243104944856544866230301141461057609625624314789008324583681232601186725170441956664661469775063393291164579577079896361799193580988816094310847515364928246282701585350972783659638004415765874508915042942793158763083725401469793197223744195943299468697688555102449798173547470570516e+1275),
12,0.98,1.2425127e+1485,1.2425127e+1485,(2.485025365954173838282264709386258288859890136834220268259441316047813667270962241889627578041900221945231447048582204454263886556402379628746160830253121821558760954112612721695028908706408308748823171239216994195403382736733468969471795261249340603871025378087858543948268782630358003120625376417765952870767e+1485 +0),(1.085273972478573496697652273753586497699960606154451983547143853463003316649822754271780549461529783005886008156373097312278560057647419684849017100058491107357584768375854332352089435860939374288474621492925500156410085864395753137794194360037009353103123062763651849078140801343512092406297560857719548506046e+1474 1.134890378404012038912136346521402060649222115536230172856396218785376423061770300156213101845584651858080334282918051506496988451296856042275515591900648698327309090095185011039626637746382912942432167892505259532130100557557556767589934176897502365143186279187113661855263914207158040682096647935972263199692e+1177),
12,1.03,9.2955984e+1359,9.2955984e+1359,(1.859119682460801458271141873752726325822330128471463785422264513500380184035067963242818211376652444318760567183209315098122461953581972819096773429931365187923561070888243010077752037535542036201530297572407394368782708228556299786676403254442824616260167444452197463625072856835580577140583981705905073503008e+1360 +0),(2.725393427904582124560535413852162500281509358636106460087812261345862314264993473533921780820314521046883163897360529846503306041381019714098066963284460415575180341047582700488784907503594306435065364354179224202115387782013120611791675166026544438619896377163998247658929254319909725850267041626411159721715e+1349 8.490444680408458859129487551258935654069089155339746570952248684732206415515395190326742471581951921602973174297503437397457104227504803564930291259493141114322834413683385825596758073200789337588673808850198127218468618405483529973491041067585158290612651523677197432586963019392209222616384693074062442878109e+1051),
12,1.08,9.8367164e+1204,9.8367164e+1204,(1.967343289682320289431270179305520624509535309154609477499718130727696060656837070572331290294765898692129884723084819155712851431004385460957575309680456864235754157142404657368390916411106207919133136187942273277828344781944801793770701650586363525586956694902400241257638570068476116692229951177468285853086e+1205 +0),(8.516374127770685436447657867514059517656257679150180040109267633326796710284982438451781175708421212363805930491990947194120121392657684438595685186806296374912118747036202853198975555594015811868162944469815005276043818602263452263594744169479434517531155149451022769701323901690577333431370141929609700348479e+1194 8.984692876702149077919801010515955519720391310911538615630590280231599198919229932749976941350207745622908861674112803785911288799493358780707427316157996029595919459333727567239043111840334455989933206609689633661307719435074609438667170532410837318388820771769537664870395751308153832828386961409944799001445e+896),
12,1.13,3.5982941e+1015,3.5982941e+1015,(7.196588140745674887112928891108266068847856849135078996319686819869063789959556733979318169599401886039480566084483809320935217974158690782354308716526337254412749476753530199912095464135911975651838618510345592547972033801919751032880424425340275002283561393672171996468692677572249081182484872476431067397861e+1015 +0),(8.181476538205452697494890750098411556168746676329695875948302747659471934599757732162293642123059195803719564078591001260040680917436405381972006235530370812048762569487032673851328561951850196070648175739616312085496026773177939332873946755175367753596755193001333495927698691842522663381578937473170207134426e+1005 3.286621838662736063713849813574081135473510216995279310216249411016707414430962038784074627494727999164397110913533240108863996150451265712745319261954699319947457024178381790948436491937447624880947069318140699519010983068725229946948417835570162786459455686944858153700216691185820891736711810647264122481527e+707),
