L,lambda,Z
4,0.43,1.9024143e+159
4,0.48,6.2543189e+172
4,0.53,2.0782948e+183
4,0.58,1.7660444e+191
4,0.63,6.0605112e+196
4,0.68,1.0605631e+200
4,0.73,1.0320043e+201
4,0.78,5.4340986e+199
4,0.83,1.3621624e+196
4,0.88,1.2933886e+190
4,0.93,3.3160665e+181
4,0.98,1.4369708e+170
4,1.03,5.5938855e+155
4,1.08,8.371532e+137
4,1.13,1.5252512e+116
4,1.18,6.9111545e+89
