L,lambda,Z
12,0.43,5.1320682e+1487
12,0.48,5.0486429e+1578
12,0.53,2.4020342e+1652
12,0.58,1.3026553e+1709
12,0.63,8.8116437e+1748
12,0.68,4.6783138e+1771
12,0.73,7.3496147e+1776
12,0.78,7.5966935e+1763
12,0.83,6.4043038e+1731
12,0.88,2.7586274e+1679
12,0.93,1.6530958e+1605
12,0.98,1.3042021e+1507
12,1.03,3.1988631e+1382
12,1.08,8.7188625e+1227
12,1.13,6.5816976e+1038
12,1.18,6.8572671e+808
