L,lambda,Z
10,0.43,6.3411471e+1030
10,0.48,1.5023073e+1095
10,0.53,1.4697031e+1147
10,0.58,1.4095878e+1187
10,0.63,1.6352859e+1215
10,0.68,1.8317351e+1231
10,0.73,1.076162e+1235
10,0.78,1.2257302e+1226
10,0.83,6.5859024e+1203
10,0.88,2.5071201e+1167
10,0.93,5.659058e+1115
10,0.98,3.0291825e+1047
10,1.03,5.8451094e+960
10,1.08,1.6615557e+853
10,1.13,4.4651383e+721
10,1.18,4.8035551e+561
