L,lambda,Z
9,0.43,3.5393848e+833
9,0.48,2.6660145e+886
9,0.53,1.1154133e+929
9,0.58,6.1826842e+961
9,0.63,5.9026658e+984
9,0.68,8.5869018e+997
9,0.73,1.2106558e+1001
9,0.78,7.6145658e+993
9,0.83,6.9561383e+975
9,0.88,2.0220492e+946
9,0.93,2.5418731e+904
9,0.98,1.0297831e+849
9,1.03,4.5672597e+778
9,1.08,2.5953e+691
9,1.13,4.9303037e+584
9,1.18,9.0289055e+454
