L,lambda,Z
8,0.43,1.2469121e+657
8,0.48,4.8210477e+699
8,0.53,8.2964505e+733
8,0.58,1.5246727e+760
8,0.63,4.078752e+778
8,0.68,1.5408183e+789
8,0.73,6.0202328e+791
8,0.78,1.3626726e+786
8,0.83,7.5485739e+771
8,0.88,3.1428226e+748
8,0.93,2.062445e+715
8,0.98,2.774409e+671
8,1.03,5.336088e+615
8,1.08,4.4023015e+546
8,1.13,1.4260703e+462
8,1.18,2.9103826e+359
