L,lambda,d[0],Z[0],
5,0.43,3.3533903e+259,(3.353390329341307419527036779665533235301024849621016632783871804254937877626690986522573837914853171077368146343374176346447600114753931419350699758212271420005800643808613549413171654122000888952943733655250462750030621400635678012518943018721173603683590507726013892900901103495196236407547643064880289701407e+259 +0),
5,0.48,1.7087954e+274,(1.708795350930116252024596789055756400546763291356171424109939851889290688433712281614044651353581045220302738158188029513064447315555989557228675343362257634089395505077477195550122381240369146382799304625870659356702727679683434562714462624955623281545928388275278938499955815274745395846339061132538569453436e+274 +0),
5,0.53,1.3729058e+286,(1.372905767860374882096714545898800697224567783930239836183556669461302339181843620385592597702543167857248539386269857762674363676582209935187862560368231060043645234722288385677232241292659980693827806380649843923189810180356148585382143759644749883899831263201865846106480726288292803810242394951767619297269e+286 +0),
5,0.58,1.7307253e+295,(1.730725289927483606486514780551226345147963664647060853749155543262720606616721138240752596373360760354067754347079428814359712464707737001171142516662241649020296081868811770966782109942829393537051610933764168443534681913620903540197656391248895967077790478665215146928985097820909354431128742673156440171442e+295 +0),
5,0.63,3.1966512e+301,(3.196651154687474565167163423191266848294576767252361510194969380165380903797213163231609517512534943807299802179472548191981661287390942815066566743473313268978812778379138218595252025158819765630752824448289715296581135732066015836983647432956698313169205593570266791511404903674536071257537380767731868521905e+301 +0),
5,0.68,7.5537167e+304,(7.553716653232610973211894594709071873182559547129678370052715558257805042212065770603502626262249520438568033113273765404561408051269456263721868484760337676602059419103464958357638687866022372769819436676449938692213826381354510458359193889420920636169188845723597846053297388686918274398127077848092571289307e+304 +0),
5,0.73,1.854786e+305,(1.854785993756982049868890264965419697306927585120604991330367406167533775405295671264020058933813596852604680320780891931287636472281771982046473727592704318360342785268144920231694406778144718433107951733026298997103981203218005069868995273825046318328542504981775913987637733549982416591701546401978697324023e+305 +0),
5,0.78,3.5443039e+302,(3.544303893339440643762913390878291184175520697394544133042974228082774939929470384979463090740019374843674624874367287433760245695653639216243165804130858774103875563413403242032632396646056306545866177749930869413691088940690083583805091306797858637985091017069105466810776677795376011615151085065402938630142e+302 +0),
5,0.83,3.5921329e+296,(3.592132929795943262472035579548711946681301633225135811357267674232701810884053738291182204276676792681467100548066202737990305633726128248292284012377160602983778558159754896686064154309658150329949535889846153460294952032764915554113993742676804852963946300862607378342146643962615338986941814877346053522124e+296 +0),
5,0.88,1.1748172e+287,(1.174817241344844530765594707130233951514317064687050305437976715695801273117978235734767697844946692416895356560274370771031473993236066669682682279745513338439254710635852359200329566416112268783546171148158760097087556230952416558608819739648860193431011090544174207325901529414348204339493527718436933168867e+287 +0),
5,0.93,6.5526371e+273,(6.552637137381705183932228469533168860201619632534188452246392874124806144304705841566564534393262901795718092417752718874522871735345749545031183381776350025695307795027849008914918717886763214128411098069822794624280114241451678310297770182466239914417321105137687556385434828236853034720864295881881179539505e+273 +0),
5,0.98,2.7504165e+256,(2.750416540329625328489851344786356975137699355977628704517943312217844945773926873465013896621664984371757534636142589819584341198164079767749091049952833760151080888308007143695963317970854984644789297610189124302928993383020480029788862605266511632561393731366604565058091625281030465445406394398302973570947e+256 +0),
5,1.03,3.0216042e+234,(3.021604195123928544623651490480127693975785174190830292591687010212885614623881063163883154016528573287264068722966148343998072763069346596773504764649690611879057930464817318282959443986554685260717660713833333147205512416679291443495902558854605650907069114169132381516033249635222230189547190894045258932994e+234 +0),
5,1.08,2.184143e+207,(2.184143001836104462293467252148104364765602282282751493110894031663171917070646376429432087538696638662202355334818534885573301036731164855886803349846091855382259005104712856011803018668845612875428317171164098294247880807536422393974373329365780532791344540204464257431174476397953317432813764942758231341571e+207 +0),
5,1.13,1.6507252e+174,(1.650725168309373763840263355869401982818062219380432318593507359065909718146255294098068011294672536245211652255094847144555853898969462417729015129307423515106757892333800551605552401176533898406163102957313298627758110146154167794152237099168584322413717299861167144679867823540593415924871757090605016153433e+174 +0),
5,1.18,1.0554546e+134,(1.055454628870403459224923348508292935922852157370855350490588230792731293644196159699167624927857623506470685842313792192734510701443610025319000723306113705928049058937579322368533998818879330433824996191996374696024213853352129500965205352031515952298095573735998636788496024122083113937520285102879109655063e+134 +0),
