L,lambda,d[0],Z[0],
9,0.43,3.6730024e+840,(3.673002413451635364555879141847343625094014397530507847621981983708831713473321412476395703592789801823515478266683710285382787620168094124680274841722702681031163074688667537669804108853264425552778612249635345369539794766442378733026100162360963811877533350281846123163635144822244209146476762987786683950532e+840 +0),
9,0.48,1.4942152e+889,(1.494215208531119525280494267768686470980260401080511052882324063110305446187509861165452763650706330241885876037155901842736697074170490912690051367447355072033623297511678548216982810897367394010624268333154227411079657924740809147414731676794507021521331027607899612133801636346079769791989122596806795822530e+889 +0),
9,0.53,5.0229807e+928,(5.022980747030002718531107248853180771378436266369749375926629772678166219207902698100045600321395119865352068329619603653493362263922310884437717716821832463346509343184337397308897931848132415382184032268471608996723299723670505670514424805275492428107140604302849678540784698770677845368538308616797167463318e+928 +0),
9,0.58,1.3846666e+959,(1.384666597889087512508316223891690670782417343267708287407323789627908263507200860727510750350094367571747254360171757827620752350751092436880856740858358644161266593878350248628290296457336474023397460688013568513495390885839560000309993572392729870593469340683597826786067287233940429412020432934735266770453e+959 +0),
9,0.63,2.5125988e+980,(2.512598752398829551258991108636790100935979248214277231091428095620383347909381410424479177537332104304741874972995806038392324935536322102056151080835759054726257595447718440673936257893587766689373770400541404826261825529246221998626407340180231447730354805147245788975879852357098799682636184503783388199002e+980 +0),
9,0.68,1.9361427e+992,(1.936142652580022073212561673133405063233879381037977455033989982101581790926196682395459789346234023673103539673913250607909935657838931387650205062060604796684020109284064302940077281237160634741830307335881208377432053001086678774205156843855629998770376013041284593712851456422116419054838238456427221546265e+992 +0),
9,0.73,3.2311845e+994,(3.231184472406774466160746854131191112972915425944221688477725085019700616112881814806417294270437022648089071849989337436830962962871020021363277937771291392111162037608288362141358147005995746055896348378529627910372707333064851280951496311448252848935041303195747637996961131860882512414571421542350954689777e+994 +0),
9,0.78,4.5781719e+986,(4.578171941497315558511779990180822577254553400501716548678508954955183026833462518503142372924383002736111038992532220750142104494808373743625504732341304123899114291971272365126766065647197560616332878333429262633910875401133828322271035992137726322050400486696227631671662547408663533315366774393909526726666e+986 +0),
9,0.83,1.5900075e+968,(1.590007519092470306982066144719699690185585234397976495499733861989011955901055522416336870593425420053719365439775293909861980661360582278836490299804108249190267989248337665626501745516946578518727161179405059126413562179018199774653372807098959972801311310561427315776309498258384472638596156547086615284926e+968 +0),
9,0.88,2.7048985e+938,(2.704898547259481983005097067645006437544794514851197903953867796855631330576648184936337447113221980139803661804112456575618890731530195111125631801956136558045247295720175316518781394460609030643978791963149293024702855497629410300270775969880723664179686263001286261164646142603608810513481922605383532411125e+938 +0),
9,0.93,2.8514178e+896,(2.851417783394315526219858142151303822846840853077457041982278949725623074077040240320402064841498218925955724125772395411821840403806396381228020357509686023802336841518937846184778317156236636759451153497324677633871470011602949202834327858911419340512528631729995994744280221219199481209553904259220095852326e+896 +0),
9,0.98,1.3115961e+841,(1.311596055905922743484720826396125566191746503318702522366864644589352491711446894296535996654895344494614683940999413118313110681641978650592948201489155519600489052550258745570752490789924414576671068568309468394971633780550410299198541875344493802393215344605988539306169599051969551593741227061447584839516e+841 +0),
9,1.03,8.5465933e+770,(8.546593347720665463223385886927319110295851616974921734911361432376992985550366230429724362103031247869313753398146294714662960993485202555876906485970488789626070279127367930569639318269469342155731542698567441060622769796935470809300105661858013233141889311699005689718571619810480124885629345074983511840363e+770 +0),
9,1.08,8.9051211e+683,(8.905121133196976646918431033665907982484588518571282756955487278738590741366819282879985971250986009080790084333016684685034897180496692956809283328792233455292569373734397235598788816003787966720297803616501697034301488327314736707716450707385211258151878925043648141095349998636773597165212567013681112321624e+683 +0),
9,1.13,3.7634422e+577,(3.763442213930805693920112074832897614144066294972937355536043066722213775191091858856424272318898139482683306997288850715899662260283868942126221657136791926874905871057549501225733900789878386070970610184767381420069546457057223364052472542407649787296038914891616563160482193325108921303857048218687942480341e+577 +0),
9,1.18,1.8218761e+448,(1.821876054634944650341085584923930495358687265353775919649746639879039960414171107196939967323077687599771340239449253899840739925131608954308048158422874525995526850633238360188563301267353747118718424716562619514417038388698332864999944269160435148898209115742919445155574979345376659575536357572312086785570e+448 +0),
