L,lambda,d[0],Z[0],
6,0.43,9.9105981e+369,(9.910598083192618004971683279026315178968464956103144826762028994153514286698256959457081847576550317369448092985128489927264708584230816394608102925636283323453385730432571759260839444154197155626405729931421869214092607078877685051709605290379944537249739340660608855628240524108800341091004370441634169933498e+369 +0),
6,0.48,2.2277335e+393,(2.227733515545589392283922826364162758204475157274534092399687282223629391450352602659356676182148558519385960813610273584811695339313723679167988577954540790435898364509505954111937354483323267010175251442726175266354315049720517301584059828622457927021627467958107003286100065806960884462447123661572834478059e+393 +0),
6,0.53,1.4326689e+412,(1.432668868914994598478874480429457535406663230440408450391686155098976129369529309547859919881580972652435436050494332301761416847492125008785562386216575946208808533077037342087765781549867813122271360299184566501342307684680313511409872257622323607115626358304459703999655655300259300590238150750544181093563e+412 +0),
6,0.58,3.6181359e+426,(3.618135946617283776692982027738208003530348531475027727488387705762108887849334379499081044897345045112167547506231475956703823313460368694538190695144172619861936159469044267301757306182164101006149446587140549443503649466675495492285975017635375064993531685685858203038472306616101720115045680886012787624444e+426 +0),
6,0.63,4.0159647e+436,(4.015964685175453468710605905251528141150163841379823062724266542101538270979459414732036271137964171151114767500145006690816468005463340374568372547106870782326019020348764818926303961262473793662093376865748376046213250608918787019579376268802103169250277122705904316094274918074188978976360403710435412048696e+436 +0),
6,0.68,1.8634298e+442,(1.863429785327087833803293518549560808091113761424502544506062107975714843237141262055610061293740557506746322960646806487208886358654094336634973191910857298375183347139196823769984496180850540783437126130085194670005822822164701604842079293265021397372073249330980174120818463596943228907617520844639488415186e+442 +0),
6,0.73,2.9715245e+443,(2.971524460764685559956527290824385740788218474836242917147593401517859632811185792602241198821834938216610815809494056161334493361986858265943840777142432036296968000921745963800745727732549190161076542248624925026805083123298844513589044887601473298618107075942251037436601834250626778300985648252479747848344e+443 +0),
6,0.78,1.1589827e+440,(1.158982725265632356133837220286045029542881060011374064200981416813058031833508296740033697189122024108593113160127001471286119439707194549891438649595248399185393017950682597897360279090308794528775373448403355826398160860859130814936287775202186301862854443287019511742108364032621535854713343704779156143714e+440 +0),
6,0.83,6.7416378e+431,(6.741637788682606269649822933859111821129292072272272324372029871663762116158760107238261876985299733915345811360876590438587934576572460733163592126943637877960638863245461978949118935732656518290880643257678619468787713616376574143731540424832079931214416990426265102873358008323427869331925677563223125756873e+431 +0),
6,0.88,2.9887461e+418,(2.988746063200051245931957461371432819094342107627254254896123010715144687216176386317841554803165485518420831181937543642097740063365459339662883810516302426072645051835107552276145019837014041457234520042960504665266043138349310083242449466733296423312369123658208153215448330084193526781204763846468337516848e+418 +0),
6,0.93,4.1721398e+399,(4.172139814213752262494315418834362510607410062892761626489328543456304565255203385145852888703407886257737525663651362375017392974672506799627017922191308234615957900964937145571083443875938476513508392153540405157056116078960031693552724461502854232179432254398186615941952888042441164642069694205257174754144e+399 +0),
6,0.98,5.8000624e+374,(5.800062438830536116103423655846965032243140028152729011931726951920510870219872390250860819073408388800496311095674835560137945914966095615562413172282240145629121421997792025722813255183112377340330913478981287957132482169781819651206067248750352337372355607250888625628815447918818201497442268859286531866620e+374 +0),
6,1.03,1.7913271e+343,(1.791327060114129469624178655332496814372313661163062306964970772018007957813484274891169618693452129127700848212077514183001133115171353865717031202983467656189076934585404693463165107913914666618616872916302735209049598706315478660537188536428660599020747618263914808411514207762306553673931095848195779548472e+343 +0),
6,1.08,1.7084435e+304,(1.708443475137877255670311288971852937234185672999721268426684070774175961826113067017010898597642599361299499253673843498459388144755482354010592733611396760933247369161572287653249002632107021293629098130225605105287815404469079877749399329502970190576742902346806786908896359084051588667694411348913850391431e+304 +0),
6,1.13,3.5935121e+256,(3.593512101543881319525026678888739438355905940521173576686621195523863441894730003458336031050099938756996420222521503275911972893998264506045266272825006345362839287774803974157329698077553381962171716742129197561074040466053488531133967214669103355412709237399102884431590161231975351939633873363097694374050e+256 +0),
6,1.18,4.4806005e+198,(4.480600474974722908616698355510335535923398843456882143850884349209380727072451719495669522900613797810539856305457067335803647134208524081993476010450589248713580286812429640334117467396567665780586203082780652398081203602543370321688973638129860597683042060884057464501060750229798690742775254221751754759782e+198 +0),
